team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Flyers,away,D,Rasmus Andersson D,21:54,0,0,1,0,3,0,1,1,0/0
Flames,Flyers,away,D,Kevin Bahl D,19:22,0,0,1,1,1,0,0,0,0/0
Flames,Flyers,away,D,Jake Bean D,14:38,0,1,0,2,2,0,0,5,0/0
Flames,Flyers,away,D,Daniil Miromanov D,18:51,0,0,1,1,2,0,0,0,0/0
Flames,Flyers,away,D,Brayden Pachal D,15:29,0,0,0,0,2,2,0,1,0/0
Flames,Flyers,away,D,MacKenzie Weegar D,23:21,1,1,2,1,1,0,0,2,0/0
Flames,Flyers,away,D,Rasmus Andersson D,21:54,0,0,1,0,3,0,1,1,0/0
Flames,Flyers,away,D,Kevin Bahl D,19:22,0,0,1,1,1,0,0,0,0/0
Flames,Flyers,away,D,Jake Bean D,14:38,0,1,0,2,2,0,0,5,0/0
Flames,Flyers,away,D,Daniil Miromanov D,18:51,0,0,1,1,2,0,0,0,0/0
Flames,Flyers,away,D,Brayden Pachal D,15:29,0,0,0,0,2,2,0,1,0/0
Flames,Flyers,away,D,MacKenzie Weegar D,23:21,1,1,2,1,1,0,0,2,0/0
Flames,Flyers,away,F,Mikael Backlund C,19:03,1,0,0,4,0,2,0,0,12/24
Flames,Flyers,away,F,Blake Coleman C,20:13,0,1,0,6,0,0,0,2,1/1
Flames,Flyers,away,F,Samuel Honzek L,12:43,0,0,0,3,0,2,0,1,0/0
Flames,Flyers,away,F,Jonathan Huberdeau C,18:07,2,2,0,2,0,0,1,3,3/3
Flames,Flyers,away,F,Nazem Kadri C,19:03,2,0,0,3,2,0,0,1,3/14
Flames,Flyers,away,F,Justin Kirkland C,12:19,0,0,0,0,0,0,0,0,4/11
Flames,Flyers,away,F,Adam Klapka R,10:45,0,0,0,2,2,2,1,0,0/1
Flames,Flyers,away,F,Andrei Kuzmenko L,17:12,0,3,1,1,1,0,0,2,0/0
Flames,Flyers,away,F,Ryan Lomberg L,10:33,0,0,0,1,0,0,1,0,0/0
Flames,Flyers,away,F,Anthony Mantha R,11:07,0,1,1,3,0,0,0,1,0/0
Flames,Flyers,away,F,Martin Pospisil C,09:09,0,2,2,0,0,5,0,1,6/11
Flames,Flyers,away,F,Connor Zary C,18:46,0,1,1,2,1,2,1,1,1/1
Flames,Flyers,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Flyers,away,F,Rasmus Andersson D,21:54,0,0,1,0,3,0,1,1,0/0
Flames,Flyers,away,F,Kevin Bahl D,19:22,0,0,1,1,1,0,0,0,0/0
Flames,Flyers,away,F,Jake Bean D,14:38,0,1,0,2,2,0,0,5,0/0
Flames,Flyers,away,F,Daniil Miromanov D,18:51,0,0,1,1,2,0,0,0,0/0
Flames,Flyers,away,F,Brayden Pachal D,15:29,0,0,0,0,2,2,0,1,0/0
Flames,Flyers,away,F,MacKenzie Weegar D,23:21,1,1,2,1,1,0,0,2,0/0
Flames,Flyers,away,F,Mikael Backlund C,19:03,1,0,0,4,0,2,0,0,12/24
Flames,Flyers,away,F,Blake Coleman C,20:13,0,1,0,6,0,0,0,2,1/1
Flames,Flyers,away,F,Samuel Honzek L,12:43,0,0,0,3,0,2,0,1,0/0
Flames,Flyers,away,F,Jonathan Huberdeau C,18:07,2,2,0,2,0,0,1,3,3/3
Flames,Flyers,away,F,Nazem Kadri C,19:03,2,0,0,3,2,0,0,1,3/14
Flames,Flyers,away,F,Justin Kirkland C,12:19,0,0,0,0,0,0,0,0,4/11
Flames,Flyers,away,F,Adam Klapka R,10:45,0,0,0,2,2,2,1,0,0/1
Flames,Flyers,away,F,Andrei Kuzmenko L,17:12,0,3,1,1,1,0,0,2,0/0
Flames,Flyers,away,F,Ryan Lomberg L,10:33,0,0,0,1,0,0,1,0,0/0
Flames,Flyers,away,F,Anthony Mantha R,11:07,0,1,1,3,0,0,0,1,0/0
Flames,Flyers,away,F,Martin Pospisil C,09:09,0,2,2,0,0,5,0,1,6/11
Flames,Flyers,away,F,Connor Zary C,18:46,0,1,1,2,1,2,1,1,1/1
Flames,Flyers,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Flyers,away,F,Rasmus Andersson D,21:54,0,0,1,0,3,0,1,1,0/0
Flames,Flyers,away,F,Kevin Bahl D,19:22,0,0,1,1,1,0,0,0,0/0
Flames,Flyers,away,F,Jake Bean D,14:38,0,1,0,2,2,0,0,5,0/0
Flames,Flyers,away,F,Daniil Miromanov D,18:51,0,0,1,1,2,0,0,0,0/0
Flames,Flyers,away,F,Brayden Pachal D,15:29,0,0,0,0,2,2,0,1,0/0
Flames,Flyers,away,F,MacKenzie Weegar D,23:21,1,1,2,1,1,0,0,2,0/0
