team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Blackhawks,away,D,Rasmus Andersson D,23:09,0,1,1,1,3,2,0,4,0/0
Flames,Blackhawks,away,D,Kevin Bahl D,20:16,0,0,1,2,4,0,0,0,0/0
Flames,Blackhawks,away,D,Jake Bean D,16:47,0,0,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,D,Daniil Miromanov D,18:10,0,0,0,0,2,0,1,0,0/0
Flames,Blackhawks,away,D,Brayden Pachal D,12:53,0,0,0,1,1,2,0,3,0/0
Flames,Blackhawks,away,D,MacKenzie Weegar D,23:58,0,0,0,4,3,0,0,1,0/0
Flames,Blackhawks,away,D,Rasmus Andersson D,23:09,0,1,1,1,3,2,0,4,0/0
Flames,Blackhawks,away,D,Kevin Bahl D,20:16,0,0,1,2,4,0,0,0,0/0
Flames,Blackhawks,away,D,Jake Bean D,16:47,0,0,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,D,Daniil Miromanov D,18:10,0,0,0,0,2,0,1,0,0/0
Flames,Blackhawks,away,D,Brayden Pachal D,12:53,0,0,0,1,1,2,0,3,0/0
Flames,Blackhawks,away,D,MacKenzie Weegar D,23:58,0,0,0,4,3,0,0,1,0/0
Flames,Blackhawks,away,F,Mikael Backlund C,18:45,0,1,1,2,0,0,0,2,9/18
Flames,Blackhawks,away,F,Blake Coleman C,16:53,0,0,0,4,1,0,0,1,0/1
Flames,Blackhawks,away,F,Matt Coronato R,12:46,2,0,2,3,0,0,0,0,0/0
Flames,Blackhawks,away,F,Samuel Honzek L,13:48,0,0,-1,0,0,0,0,0,0/0
Flames,Blackhawks,away,F,Jonathan Huberdeau C,18:48,0,1,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,F,Nazem Kadri C,17:04,0,0,-1,3,0,0,1,1,11/18
Flames,Blackhawks,away,F,Justin Kirkland C,11:56,0,1,1,1,3,0,1,0,8/15
Flames,Blackhawks,away,F,Andrei Kuzmenko L,13:49,1,0,-1,2,1,0,0,1,0/0
Flames,Blackhawks,away,F,Ryan Lomberg L,11:34,0,0,1,1,0,0,0,1,0/0
Flames,Blackhawks,away,F,Anthony Mantha R,16:02,0,0,1,1,0,0,1,0,0/1
Flames,Blackhawks,away,F,Martin Pospisil C,12:44,0,0,0,1,0,0,0,1,6/13
Flames,Blackhawks,away,F,Connor Zary C,17:06,0,1,0,0,1,0,1,4,0/0
Flames,Blackhawks,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Blackhawks,away,F,Rasmus Andersson D,23:09,0,1,1,1,3,2,0,4,0/0
Flames,Blackhawks,away,F,Kevin Bahl D,20:16,0,0,1,2,4,0,0,0,0/0
Flames,Blackhawks,away,F,Jake Bean D,16:47,0,0,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,F,Daniil Miromanov D,18:10,0,0,0,0,2,0,1,0,0/0
Flames,Blackhawks,away,F,Brayden Pachal D,12:53,0,0,0,1,1,2,0,3,0/0
Flames,Blackhawks,away,F,MacKenzie Weegar D,23:58,0,0,0,4,3,0,0,1,0/0
Flames,Blackhawks,away,F,Mikael Backlund C,18:45,0,1,1,2,0,0,0,2,9/18
Flames,Blackhawks,away,F,Blake Coleman C,16:53,0,0,0,4,1,0,0,1,0/1
Flames,Blackhawks,away,F,Matt Coronato R,12:46,2,0,2,3,0,0,0,0,0/0
Flames,Blackhawks,away,F,Samuel Honzek L,13:48,0,0,-1,0,0,0,0,0,0/0
Flames,Blackhawks,away,F,Jonathan Huberdeau C,18:48,0,1,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,F,Nazem Kadri C,17:04,0,0,-1,3,0,0,1,1,11/18
Flames,Blackhawks,away,F,Justin Kirkland C,11:56,0,1,1,1,3,0,1,0,8/15
Flames,Blackhawks,away,F,Andrei Kuzmenko L,13:49,1,0,-1,2,1,0,0,1,0/0
Flames,Blackhawks,away,F,Ryan Lomberg L,11:34,0,0,1,1,0,0,0,1,0/0
Flames,Blackhawks,away,F,Anthony Mantha R,16:02,0,0,1,1,0,0,1,0,0/1
Flames,Blackhawks,away,F,Martin Pospisil C,12:44,0,0,0,1,0,0,0,1,6/13
Flames,Blackhawks,away,F,Connor Zary C,17:06,0,1,0,0,1,0,1,4,0/0
Flames,Blackhawks,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Blackhawks,away,F,Rasmus Andersson D,23:09,0,1,1,1,3,2,0,4,0/0
Flames,Blackhawks,away,F,Kevin Bahl D,20:16,0,0,1,2,4,0,0,0,0/0
Flames,Blackhawks,away,F,Jake Bean D,16:47,0,0,0,0,1,0,0,0,0/0
Flames,Blackhawks,away,F,Daniil Miromanov D,18:10,0,0,0,0,2,0,1,0,0/0
Flames,Blackhawks,away,F,Brayden Pachal D,12:53,0,0,0,1,1,2,0,3,0/0
Flames,Blackhawks,away,F,MacKenzie Weegar D,23:58,0,0,0,4,3,0,0,1,0/0
