team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Penguins,away,D,Rasmus Andersson D,25:20,1,1,1,3,4,0,1,1,0/0
Flames,Penguins,away,D,Kevin Bahl D,18:20,0,0,-1,1,0,0,0,2,0/0
Flames,Penguins,away,D,Jake Bean D,16:03,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,D,Daniil Miromanov D,15:45,0,1,0,2,0,0,1,1,0/0
Flames,Penguins,away,D,Brayden Pachal D,15:29,0,0,0,0,1,0,0,1,0/0
Flames,Penguins,away,D,MacKenzie Weegar D,26:09,1,0,1,2,2,0,0,1,0/0
Flames,Penguins,away,D,Rasmus Andersson D,25:20,1,1,1,3,4,0,1,1,0/0
Flames,Penguins,away,D,Kevin Bahl D,18:20,0,0,-1,1,0,0,0,2,0/0
Flames,Penguins,away,D,Jake Bean D,16:03,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,D,Daniil Miromanov D,15:45,0,1,0,2,0,0,1,1,0/0
Flames,Penguins,away,D,Brayden Pachal D,15:29,0,0,0,0,1,0,0,1,0/0
Flames,Penguins,away,D,MacKenzie Weegar D,26:09,1,0,1,2,2,0,0,1,0/0
Flames,Penguins,away,F,Mikael Backlund C,22:11,0,0,0,1,0,2,0,1,10/25
Flames,Penguins,away,F,Blake Coleman C,21:54,0,2,2,2,0,0,1,1,0/0
Flames,Penguins,away,F,Matt Coronato R,13:11,0,0,-1,1,0,0,0,2,0/1
Flames,Penguins,away,F,Jonathan Huberdeau C,19:32,0,0,1,1,1,0,0,3,0/0
Flames,Penguins,away,F,Nazem Kadri C,22:33,1,0,-1,2,0,0,0,2,9/27
Flames,Penguins,away,F,Justin Kirkland C,14:28,0,1,1,0,2,0,0,0,5/12
Flames,Penguins,away,F,Adam Klapka R,06:55,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,F,Andrei Kuzmenko L,16:58,0,0,0,2,1,2,0,0,0/0
Flames,Penguins,away,F,Ryan Lomberg L,08:11,0,1,1,0,0,0,0,0,1/2
Flames,Penguins,away,F,Anthony Mantha R,16:44,0,0,0,0,0,0,0,0,0/1
Flames,Penguins,away,F,Martin Pospisil C,10:22,0,0,0,2,0,4,0,0,3/7
Flames,Penguins,away,F,Connor Zary C,19:28,0,0,0,4,1,0,0,0,0/1
Flames,Penguins,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Penguins,away,F,Rasmus Andersson D,25:20,1,1,1,3,4,0,1,1,0/0
Flames,Penguins,away,F,Kevin Bahl D,18:20,0,0,-1,1,0,0,0,2,0/0
Flames,Penguins,away,F,Jake Bean D,16:03,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,F,Daniil Miromanov D,15:45,0,1,0,2,0,0,1,1,0/0
Flames,Penguins,away,F,Brayden Pachal D,15:29,0,0,0,0,1,0,0,1,0/0
Flames,Penguins,away,F,MacKenzie Weegar D,26:09,1,0,1,2,2,0,0,1,0/0
Flames,Penguins,away,F,Mikael Backlund C,22:11,0,0,0,1,0,2,0,1,10/25
Flames,Penguins,away,F,Blake Coleman C,21:54,0,2,2,2,0,0,1,1,0/0
Flames,Penguins,away,F,Matt Coronato R,13:11,0,0,-1,1,0,0,0,2,0/1
Flames,Penguins,away,F,Jonathan Huberdeau C,19:32,0,0,1,1,1,0,0,3,0/0
Flames,Penguins,away,F,Nazem Kadri C,22:33,1,0,-1,2,0,0,0,2,9/27
Flames,Penguins,away,F,Justin Kirkland C,14:28,0,1,1,0,2,0,0,0,5/12
Flames,Penguins,away,F,Adam Klapka R,06:55,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,F,Andrei Kuzmenko L,16:58,0,0,0,2,1,2,0,0,0/0
Flames,Penguins,away,F,Ryan Lomberg L,08:11,0,1,1,0,0,0,0,0,1/2
Flames,Penguins,away,F,Anthony Mantha R,16:44,0,0,0,0,0,0,0,0,0/1
Flames,Penguins,away,F,Martin Pospisil C,10:22,0,0,0,2,0,4,0,0,3/7
Flames,Penguins,away,F,Connor Zary C,19:28,0,0,0,4,1,0,0,0,0/1
Flames,Penguins,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Penguins,away,F,Rasmus Andersson D,25:20,1,1,1,3,4,0,1,1,0/0
Flames,Penguins,away,F,Kevin Bahl D,18:20,0,0,-1,1,0,0,0,2,0/0
Flames,Penguins,away,F,Jake Bean D,16:03,0,0,1,1,0,0,0,1,0/0
Flames,Penguins,away,F,Daniil Miromanov D,15:45,0,1,0,2,0,0,1,1,0/0
Flames,Penguins,away,F,Brayden Pachal D,15:29,0,0,0,0,1,0,0,1,0/0
Flames,Penguins,away,F,MacKenzie Weegar D,26:09,1,0,1,2,2,0,0,1,0/0
