team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Hurricanes,away,D,Rasmus Andersson D,23:56,0,1,-1,1,1,0,0,3,0/0
Flames,Hurricanes,away,D,Kevin Bahl D,21:01,0,0,0,0,2,0,1,3,0/0
Flames,Hurricanes,away,D,Jake Bean D,15:28,1,0,0,3,1,0,0,1,0/0
Flames,Hurricanes,away,D,Daniil Miromanov D,19:48,0,0,-1,1,1,0,0,1,0/0
Flames,Hurricanes,away,D,Brayden Pachal D,12:56,0,0,1,1,1,2,1,3,0/0
Flames,Hurricanes,away,D,MacKenzie Weegar D,23:11,0,0,-1,1,3,2,1,0,0/0
Flames,Hurricanes,away,D,Rasmus Andersson D,23:56,0,1,-1,1,1,0,0,3,0/0
Flames,Hurricanes,away,D,Kevin Bahl D,21:01,0,0,0,0,2,0,1,3,0/0
Flames,Hurricanes,away,D,Jake Bean D,15:28,1,0,0,3,1,0,0,1,0/0
Flames,Hurricanes,away,D,Daniil Miromanov D,19:48,0,0,-1,1,1,0,0,1,0/0
Flames,Hurricanes,away,D,Brayden Pachal D,12:56,0,0,1,1,1,2,1,3,0/0
Flames,Hurricanes,away,D,MacKenzie Weegar D,23:11,0,0,-1,1,3,2,1,0,0/0
Flames,Hurricanes,away,F,Mikael Backlund C,18:49,0,1,0,5,0,0,1,1,13/25
Flames,Hurricanes,away,F,Blake Coleman C,18:26,0,0,0,3,3,2,1,2,0/0
Flames,Hurricanes,away,F,Matt Coronato R,10:21,0,0,0,1,0,0,0,3,0/0
Flames,Hurricanes,away,F,Jonathan Huberdeau C,16:21,1,0,0,2,2,0,0,0,0/0
Flames,Hurricanes,away,F,Nazem Kadri C,19:14,0,0,-2,7,0,0,0,1,10/21
Flames,Hurricanes,away,F,Justin Kirkland C,14:28,0,1,1,0,3,0,0,0,4/17
Flames,Hurricanes,away,F,Andrei Kuzmenko L,19:08,0,0,-1,1,0,0,0,1,0/0
Flames,Hurricanes,away,F,Ryan Lomberg L,06:42,0,0,0,1,2,2,0,0,0/1
Flames,Hurricanes,away,F,Anthony Mantha R,13:08,0,0,0,0,1,0,0,2,0/0
Flames,Hurricanes,away,F,Martin Pospisil C,16:29,0,0,-2,3,1,0,0,1,0/0
Flames,Hurricanes,away,F,Kevin Rooney C,08:09,0,0,0,0,1,2,0,1,3/9
Flames,Hurricanes,away,F,Connor Zary C,16:39,0,1,0,2,0,0,0,1,0/0
Flames,Hurricanes,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Hurricanes,away,F,Rasmus Andersson D,23:56,0,1,-1,1,1,0,0,3,0/0
Flames,Hurricanes,away,F,Kevin Bahl D,21:01,0,0,0,0,2,0,1,3,0/0
Flames,Hurricanes,away,F,Jake Bean D,15:28,1,0,0,3,1,0,0,1,0/0
Flames,Hurricanes,away,F,Daniil Miromanov D,19:48,0,0,-1,1,1,0,0,1,0/0
Flames,Hurricanes,away,F,Brayden Pachal D,12:56,0,0,1,1,1,2,1,3,0/0
Flames,Hurricanes,away,F,MacKenzie Weegar D,23:11,0,0,-1,1,3,2,1,0,0/0
Flames,Hurricanes,away,F,Mikael Backlund C,18:49,0,1,0,5,0,0,1,1,13/25
Flames,Hurricanes,away,F,Blake Coleman C,18:26,0,0,0,3,3,2,1,2,0/0
Flames,Hurricanes,away,F,Matt Coronato R,10:21,0,0,0,1,0,0,0,3,0/0
Flames,Hurricanes,away,F,Jonathan Huberdeau C,16:21,1,0,0,2,2,0,0,0,0/0
Flames,Hurricanes,away,F,Nazem Kadri C,19:14,0,0,-2,7,0,0,0,1,10/21
Flames,Hurricanes,away,F,Justin Kirkland C,14:28,0,1,1,0,3,0,0,0,4/17
Flames,Hurricanes,away,F,Andrei Kuzmenko L,19:08,0,0,-1,1,0,0,0,1,0/0
Flames,Hurricanes,away,F,Ryan Lomberg L,06:42,0,0,0,1,2,2,0,0,0/1
Flames,Hurricanes,away,F,Anthony Mantha R,13:08,0,0,0,0,1,0,0,2,0/0
Flames,Hurricanes,away,F,Martin Pospisil C,16:29,0,0,-2,3,1,0,0,1,0/0
Flames,Hurricanes,away,F,Kevin Rooney C,08:09,0,0,0,0,1,2,0,1,3/9
Flames,Hurricanes,away,F,Connor Zary C,16:39,0,1,0,2,0,0,0,1,0/0
Flames,Hurricanes,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Hurricanes,away,F,Rasmus Andersson D,23:56,0,1,-1,1,1,0,0,3,0/0
Flames,Hurricanes,away,F,Kevin Bahl D,21:01,0,0,0,0,2,0,1,3,0/0
Flames,Hurricanes,away,F,Jake Bean D,15:28,1,0,0,3,1,0,0,1,0/0
Flames,Hurricanes,away,F,Daniil Miromanov D,19:48,0,0,-1,1,1,0,0,1,0/0
Flames,Hurricanes,away,F,Brayden Pachal D,12:56,0,0,1,1,1,2,1,3,0/0
Flames,Hurricanes,away,F,MacKenzie Weegar D,23:11,0,0,-1,1,3,2,1,0,0/0
