team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Jets,away,D,Rasmus Andersson D,23:42,1,0,0,3,2,4,3,2,0/0
Flames,Jets,away,D,Kevin Bahl D,22:55,0,1,2,1,3,0,0,1,0/0
Flames,Jets,away,D,Joel Hanley D,10:36,0,0,0,2,2,0,0,0,0/0
Flames,Jets,away,D,Daniil Miromanov D,18:20,0,0,0,3,2,0,0,0,0/0
Flames,Jets,away,D,Brayden Pachal D,10:09,0,0,0,0,0,0,0,2,0/0
Flames,Jets,away,D,MacKenzie Weegar D,27:13,0,0,-1,6,1,2,0,2,0/0
Flames,Jets,away,D,Rasmus Andersson D,23:42,1,0,0,3,2,4,3,2,0/0
Flames,Jets,away,D,Kevin Bahl D,22:55,0,1,2,1,3,0,0,1,0/0
Flames,Jets,away,D,Joel Hanley D,10:36,0,0,0,2,2,0,0,0,0/0
Flames,Jets,away,D,Daniil Miromanov D,18:20,0,0,0,3,2,0,0,0,0/0
Flames,Jets,away,D,Brayden Pachal D,10:09,0,0,0,0,0,0,0,2,0/0
Flames,Jets,away,D,MacKenzie Weegar D,27:13,0,0,-1,6,1,2,0,2,0/0
Flames,Jets,away,F,Mikael Backlund C,21:07,1,0,0,1,2,0,1,1,16/27
Flames,Jets,away,F,Blake Coleman C,18:20,0,0,0,1,3,0,0,1,0/0
Flames,Jets,away,F,Jonathan Huberdeau C,18:02,0,0,0,1,1,0,0,0,0/0
Flames,Jets,away,F,Nazem Kadri C,18:36,1,0,-1,3,0,12,0,3,11/24
Flames,Jets,away,F,Justin Kirkland C,09:01,0,0,0,1,0,0,0,0,6/8
Flames,Jets,away,F,Adam Klapka R,09:15,0,0,0,1,2,2,0,0,0/1
Flames,Jets,away,F,Andrei Kuzmenko L,17:17,0,2,0,0,0,0,2,0,0/0
Flames,Jets,away,F,Ryan Lomberg L,08:38,0,0,0,1,1,0,1,0,0/0
Flames,Jets,away,F,Anthony Mantha R,12:28,0,0,-1,1,0,0,0,1,1/1
Flames,Jets,away,F,Martin Pospisil C,10:53,0,0,1,0,2,2,0,2,4/9
Flames,Jets,away,F,Yegor Sharangovich C,19:23,0,0,-1,0,1,0,0,1,0/1
Flames,Jets,away,F,Connor Zary C,17:25,0,1,0,4,1,0,0,0,1/2
Flames,Jets,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Jets,away,F,Rasmus Andersson D,23:42,1,0,0,3,2,4,3,2,0/0
Flames,Jets,away,F,Kevin Bahl D,22:55,0,1,2,1,3,0,0,1,0/0
Flames,Jets,away,F,Joel Hanley D,10:36,0,0,0,2,2,0,0,0,0/0
Flames,Jets,away,F,Daniil Miromanov D,18:20,0,0,0,3,2,0,0,0,0/0
Flames,Jets,away,F,Brayden Pachal D,10:09,0,0,0,0,0,0,0,2,0/0
Flames,Jets,away,F,MacKenzie Weegar D,27:13,0,0,-1,6,1,2,0,2,0/0
Flames,Jets,away,F,Mikael Backlund C,21:07,1,0,0,1,2,0,1,1,16/27
Flames,Jets,away,F,Blake Coleman C,18:20,0,0,0,1,3,0,0,1,0/0
Flames,Jets,away,F,Jonathan Huberdeau C,18:02,0,0,0,1,1,0,0,0,0/0
Flames,Jets,away,F,Nazem Kadri C,18:36,1,0,-1,3,0,12,0,3,11/24
Flames,Jets,away,F,Justin Kirkland C,09:01,0,0,0,1,0,0,0,0,6/8
Flames,Jets,away,F,Adam Klapka R,09:15,0,0,0,1,2,2,0,0,0/1
Flames,Jets,away,F,Andrei Kuzmenko L,17:17,0,2,0,0,0,0,2,0,0/0
Flames,Jets,away,F,Ryan Lomberg L,08:38,0,0,0,1,1,0,1,0,0/0
Flames,Jets,away,F,Anthony Mantha R,12:28,0,0,-1,1,0,0,0,1,1/1
Flames,Jets,away,F,Martin Pospisil C,10:53,0,0,1,0,2,2,0,2,4/9
Flames,Jets,away,F,Yegor Sharangovich C,19:23,0,0,-1,0,1,0,0,1,0/1
Flames,Jets,away,F,Connor Zary C,17:25,0,1,0,4,1,0,0,0,1/2
Flames,Jets,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Jets,away,F,Rasmus Andersson D,23:42,1,0,0,3,2,4,3,2,0/0
Flames,Jets,away,F,Kevin Bahl D,22:55,0,1,2,1,3,0,0,1,0/0
Flames,Jets,away,F,Joel Hanley D,10:36,0,0,0,2,2,0,0,0,0/0
Flames,Jets,away,F,Daniil Miromanov D,18:20,0,0,0,3,2,0,0,0,0/0
Flames,Jets,away,F,Brayden Pachal D,10:09,0,0,0,0,0,0,0,2,0/0
Flames,Jets,away,F,MacKenzie Weegar D,27:13,0,0,-1,6,1,2,0,2,0/0
