team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Golden Knights,home,D,Rasmus Andersson D,25:40,0,0,-3,1,6,0,0,0,0/0
Flames,Golden Knights,home,D,Kevin Bahl D,23:03,0,0,-2,0,4,2,0,0,0/0
Flames,Golden Knights,home,D,Joel Hanley D,14:43,0,0,-2,1,2,0,0,1,0/0
Flames,Golden Knights,home,D,Daniil Miromanov D,18:35,0,0,0,0,0,0,1,1,0/0
Flames,Golden Knights,home,D,Brayden Pachal D,14:33,0,0,-2,1,2,0,0,2,0/0
Flames,Golden Knights,home,D,MacKenzie Weegar D,22:39,0,0,-1,1,0,0,2,3,0/0
Flames,Golden Knights,home,D,Rasmus Andersson D,25:40,0,0,-3,1,6,0,0,0,0/0
Flames,Golden Knights,home,D,Kevin Bahl D,23:03,0,0,-2,0,4,2,0,0,0/0
Flames,Golden Knights,home,D,Joel Hanley D,14:43,0,0,-2,1,2,0,0,1,0/0
Flames,Golden Knights,home,D,Daniil Miromanov D,18:35,0,0,0,0,0,0,1,1,0/0
Flames,Golden Knights,home,D,Brayden Pachal D,14:33,0,0,-2,1,2,0,0,2,0/0
Flames,Golden Knights,home,D,MacKenzie Weegar D,22:39,0,0,-1,1,0,0,2,3,0/0
Flames,Golden Knights,home,F,Mikael Backlund C,16:07,0,0,-1,1,1,0,0,0,6/19
Flames,Golden Knights,home,F,Blake Coleman C,16:48,0,0,-1,2,1,0,0,4,0/0
Flames,Golden Knights,home,F,Jonathan Huberdeau C,16:47,0,0,-1,1,3,0,0,0,0/0
Flames,Golden Knights,home,F,Nazem Kadri C,17:38,0,0,-3,0,3,0,2,1,10/21
Flames,Golden Knights,home,F,Justin Kirkland C,09:25,0,0,-2,0,2,2,1,2,0/1
Flames,Golden Knights,home,F,Andrei Kuzmenko L,11:57,0,0,-1,0,0,0,1,1,0/0
Flames,Golden Knights,home,F,Ryan Lomberg L,12:04,0,0,-2,0,0,0,1,0,0/0
Flames,Golden Knights,home,F,Anthony Mantha R,14:27,0,0,0,0,0,0,1,0,0/0
Flames,Golden Knights,home,F,Martin Pospisil C,16:25,0,0,-1,2,0,0,0,2,4/10
Flames,Golden Knights,home,F,Kevin Rooney C,10:24,0,0,-1,0,1,0,0,0,3/7
Flames,Golden Knights,home,F,Yegor Sharangovich C,15:39,0,0,-1,3,2,0,1,1,3/4
Flames,Golden Knights,home,F,Connor Zary C,19:06,0,0,-1,3,0,0,1,0,1/2
Flames,Golden Knights,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Golden Knights,home,F,Rasmus Andersson D,25:40,0,0,-3,1,6,0,0,0,0/0
Flames,Golden Knights,home,F,Kevin Bahl D,23:03,0,0,-2,0,4,2,0,0,0/0
Flames,Golden Knights,home,F,Joel Hanley D,14:43,0,0,-2,1,2,0,0,1,0/0
Flames,Golden Knights,home,F,Daniil Miromanov D,18:35,0,0,0,0,0,0,1,1,0/0
Flames,Golden Knights,home,F,Brayden Pachal D,14:33,0,0,-2,1,2,0,0,2,0/0
Flames,Golden Knights,home,F,MacKenzie Weegar D,22:39,0,0,-1,1,0,0,2,3,0/0
Flames,Golden Knights,home,F,Mikael Backlund C,16:07,0,0,-1,1,1,0,0,0,6/19
Flames,Golden Knights,home,F,Blake Coleman C,16:48,0,0,-1,2,1,0,0,4,0/0
Flames,Golden Knights,home,F,Jonathan Huberdeau C,16:47,0,0,-1,1,3,0,0,0,0/0
Flames,Golden Knights,home,F,Nazem Kadri C,17:38,0,0,-3,0,3,0,2,1,10/21
Flames,Golden Knights,home,F,Justin Kirkland C,09:25,0,0,-2,0,2,2,1,2,0/1
Flames,Golden Knights,home,F,Andrei Kuzmenko L,11:57,0,0,-1,0,0,0,1,1,0/0
Flames,Golden Knights,home,F,Ryan Lomberg L,12:04,0,0,-2,0,0,0,1,0,0/0
Flames,Golden Knights,home,F,Anthony Mantha R,14:27,0,0,0,0,0,0,1,0,0/0
Flames,Golden Knights,home,F,Martin Pospisil C,16:25,0,0,-1,2,0,0,0,2,4/10
Flames,Golden Knights,home,F,Kevin Rooney C,10:24,0,0,-1,0,1,0,0,0,3/7
Flames,Golden Knights,home,F,Yegor Sharangovich C,15:39,0,0,-1,3,2,0,1,1,3/4
Flames,Golden Knights,home,F,Connor Zary C,19:06,0,0,-1,3,0,0,1,0,1/2
Flames,Golden Knights,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Golden Knights,home,F,Rasmus Andersson D,25:40,0,0,-3,1,6,0,0,0,0/0
Flames,Golden Knights,home,F,Kevin Bahl D,23:03,0,0,-2,0,4,2,0,0,0/0
Flames,Golden Knights,home,F,Joel Hanley D,14:43,0,0,-2,1,2,0,0,1,0/0
Flames,Golden Knights,home,F,Daniil Miromanov D,18:35,0,0,0,0,0,0,1,1,0/0
Flames,Golden Knights,home,F,Brayden Pachal D,14:33,0,0,-2,1,2,0,0,2,0/0
Flames,Golden Knights,home,F,MacKenzie Weegar D,22:39,0,0,-1,1,0,0,2,3,0/0
