team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Hockey Club,home,D,Rasmus Andersson D,23:39,0,0,-1,2,1,0,0,1,0/0
Flames,Hockey Club,home,D,Kevin Bahl D,20:22,0,0,0,3,1,0,0,3,0/0
Flames,Hockey Club,home,D,Tyson Barrie D,14:33,0,0,-1,1,1,0,0,0,0/0
Flames,Hockey Club,home,D,Jake Bean D,14:06,0,0,-2,1,1,0,0,1,0/0
Flames,Hockey Club,home,D,Brayden Pachal D,20:26,0,0,0,2,4,0,0,2,0/0
Flames,Hockey Club,home,D,MacKenzie Weegar D,22:21,0,1,0,1,2,2,2,3,0/0
Flames,Hockey Club,home,D,Rasmus Andersson D,23:39,0,0,-1,2,1,0,0,1,0/0
Flames,Hockey Club,home,D,Kevin Bahl D,20:22,0,0,0,3,1,0,0,3,0/0
Flames,Hockey Club,home,D,Tyson Barrie D,14:33,0,0,-1,1,1,0,0,0,0/0
Flames,Hockey Club,home,D,Jake Bean D,14:06,0,0,-2,1,1,0,0,1,0/0
Flames,Hockey Club,home,D,Brayden Pachal D,20:26,0,0,0,2,4,0,0,2,0/0
Flames,Hockey Club,home,D,MacKenzie Weegar D,22:21,0,1,0,1,2,2,2,3,0/0
Flames,Hockey Club,home,F,Mikael Backlund C,16:20,0,0,-1,2,0,0,0,2,10/17
Flames,Hockey Club,home,F,Blake Coleman C,13:45,0,0,-1,0,2,2,0,0,0/0
Flames,Hockey Club,home,F,Samuel Honzek L,10:52,0,0,-1,0,1,0,1,1,0/0
Flames,Hockey Club,home,F,Jonathan Huberdeau C,16:42,0,0,0,3,2,0,0,0,0/3
Flames,Hockey Club,home,F,Nazem Kadri C,17:22,0,0,-1,4,1,2,0,2,5/16
Flames,Hockey Club,home,F,Justin Kirkland C,11:53,0,1,1,0,2,0,0,0,6/14
Flames,Hockey Club,home,F,Andrei Kuzmenko L,14:50,0,0,-1,2,0,0,0,1,0/0
Flames,Hockey Club,home,F,Ryan Lomberg L,11:43,0,0,0,1,2,0,0,2,0/0
Flames,Hockey Club,home,F,Anthony Mantha R,15:28,1,0,1,1,2,2,0,0,0/1
Flames,Hockey Club,home,F,Martin Pospisil C,12:03,0,0,0,4,0,2,1,0,0/0
Flames,Hockey Club,home,F,Yegor Sharangovich C,17:33,0,0,-1,2,0,0,0,1,6/14
Flames,Hockey Club,home,F,Connor Zary C,17:47,0,0,-1,2,0,0,0,1,0/1
Flames,Hockey Club,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Hockey Club,home,F,Rasmus Andersson D,23:39,0,0,-1,2,1,0,0,1,0/0
Flames,Hockey Club,home,F,Kevin Bahl D,20:22,0,0,0,3,1,0,0,3,0/0
Flames,Hockey Club,home,F,Tyson Barrie D,14:33,0,0,-1,1,1,0,0,0,0/0
Flames,Hockey Club,home,F,Jake Bean D,14:06,0,0,-2,1,1,0,0,1,0/0
Flames,Hockey Club,home,F,Brayden Pachal D,20:26,0,0,0,2,4,0,0,2,0/0
Flames,Hockey Club,home,F,MacKenzie Weegar D,22:21,0,1,0,1,2,2,2,3,0/0
Flames,Hockey Club,home,F,Mikael Backlund C,16:20,0,0,-1,2,0,0,0,2,10/17
Flames,Hockey Club,home,F,Blake Coleman C,13:45,0,0,-1,0,2,2,0,0,0/0
Flames,Hockey Club,home,F,Samuel Honzek L,10:52,0,0,-1,0,1,0,1,1,0/0
Flames,Hockey Club,home,F,Jonathan Huberdeau C,16:42,0,0,0,3,2,0,0,0,0/3
Flames,Hockey Club,home,F,Nazem Kadri C,17:22,0,0,-1,4,1,2,0,2,5/16
Flames,Hockey Club,home,F,Justin Kirkland C,11:53,0,1,1,0,2,0,0,0,6/14
Flames,Hockey Club,home,F,Andrei Kuzmenko L,14:50,0,0,-1,2,0,0,0,1,0/0
Flames,Hockey Club,home,F,Ryan Lomberg L,11:43,0,0,0,1,2,0,0,2,0/0
Flames,Hockey Club,home,F,Anthony Mantha R,15:28,1,0,1,1,2,2,0,0,0/1
Flames,Hockey Club,home,F,Martin Pospisil C,12:03,0,0,0,4,0,2,1,0,0/0
Flames,Hockey Club,home,F,Yegor Sharangovich C,17:33,0,0,-1,2,0,0,0,1,6/14
Flames,Hockey Club,home,F,Connor Zary C,17:47,0,0,-1,2,0,0,0,1,0/1
Flames,Hockey Club,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Hockey Club,home,F,Rasmus Andersson D,23:39,0,0,-1,2,1,0,0,1,0/0
Flames,Hockey Club,home,F,Kevin Bahl D,20:22,0,0,0,3,1,0,0,3,0/0
Flames,Hockey Club,home,F,Tyson Barrie D,14:33,0,0,-1,1,1,0,0,0,0/0
Flames,Hockey Club,home,F,Jake Bean D,14:06,0,0,-2,1,1,0,0,1,0/0
Flames,Hockey Club,home,F,Brayden Pachal D,20:26,0,0,0,2,4,0,0,2,0/0
Flames,Hockey Club,home,F,MacKenzie Weegar D,22:21,0,1,0,1,2,2,2,3,0/0
