team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Devils,away,D,Rasmus Andersson D,25:35,0,1,2,3,5,0,0,3,0/0
Flames,Devils,away,D,Kevin Bahl D,20:42,0,1,2,2,2,0,0,0,0/0
Flames,Devils,away,D,Tyson Barrie D,16:36,0,0,0,2,0,2,0,0,0/0
Flames,Devils,away,D,Daniil Miromanov D,15:02,0,0,1,0,1,0,0,0,0/0
Flames,Devils,away,D,Brayden Pachal D,14:57,0,0,0,2,0,0,0,0,0/0
Flames,Devils,away,D,MacKenzie Weegar D,23:32,0,0,1,4,2,0,0,4,0/0
Flames,Devils,away,D,Rasmus Andersson D,25:35,0,1,2,3,5,0,0,3,0/0
Flames,Devils,away,D,Kevin Bahl D,20:42,0,1,2,2,2,0,0,0,0/0
Flames,Devils,away,D,Tyson Barrie D,16:36,0,0,0,2,0,2,0,0,0/0
Flames,Devils,away,D,Daniil Miromanov D,15:02,0,0,1,0,1,0,0,0,0/0
Flames,Devils,away,D,Brayden Pachal D,14:57,0,0,0,2,0,0,0,0,0/0
Flames,Devils,away,D,MacKenzie Weegar D,23:32,0,0,1,4,2,0,0,4,0/0
Flames,Devils,away,F,Mikael Backlund C,19:33,0,0,2,2,1,0,0,0,14/24
Flames,Devils,away,F,Blake Coleman C,15:37,2,0,2,4,2,0,1,0,0/0
Flames,Devils,away,F,Matt Coronato R,16:06,0,0,2,3,0,0,1,2,0/1
Flames,Devils,away,F,Jonathan Huberdeau C,19:04,1,0,1,1,1,2,2,1,1/1
Flames,Devils,away,F,Nazem Kadri C,16:50,0,0,0,3,1,0,0,1,11/20
Flames,Devils,away,F,Andrei Kuzmenko L,10:25,0,0,0,2,0,0,0,1,0/0
Flames,Devils,away,F,Ryan Lomberg L,07:39,0,0,0,0,0,5,0,1,0/0
Flames,Devils,away,F,Anthony Mantha R,14:06,0,1,1,1,3,2,0,0,1/1
Flames,Devils,away,F,Martin Pospisil C,11:11,0,0,0,1,1,0,0,0,1/2
Flames,Devils,away,F,Kevin Rooney C,10:34,0,0,0,0,0,0,0,0,1/4
Flames,Devils,away,F,Yegor Sharangovich C,19:35,0,0,1,1,0,0,0,1,5/11
Flames,Devils,away,F,Connor Zary C,16:57,0,0,0,1,1,2,1,0,0/2
Flames,Devils,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Devils,away,F,Rasmus Andersson D,25:35,0,1,2,3,5,0,0,3,0/0
Flames,Devils,away,F,Kevin Bahl D,20:42,0,1,2,2,2,0,0,0,0/0
Flames,Devils,away,F,Tyson Barrie D,16:36,0,0,0,2,0,2,0,0,0/0
Flames,Devils,away,F,Daniil Miromanov D,15:02,0,0,1,0,1,0,0,0,0/0
Flames,Devils,away,F,Brayden Pachal D,14:57,0,0,0,2,0,0,0,0,0/0
Flames,Devils,away,F,MacKenzie Weegar D,23:32,0,0,1,4,2,0,0,4,0/0
Flames,Devils,away,F,Mikael Backlund C,19:33,0,0,2,2,1,0,0,0,14/24
Flames,Devils,away,F,Blake Coleman C,15:37,2,0,2,4,2,0,1,0,0/0
Flames,Devils,away,F,Matt Coronato R,16:06,0,0,2,3,0,0,1,2,0/1
Flames,Devils,away,F,Jonathan Huberdeau C,19:04,1,0,1,1,1,2,2,1,1/1
Flames,Devils,away,F,Nazem Kadri C,16:50,0,0,0,3,1,0,0,1,11/20
Flames,Devils,away,F,Andrei Kuzmenko L,10:25,0,0,0,2,0,0,0,1,0/0
Flames,Devils,away,F,Ryan Lomberg L,07:39,0,0,0,0,0,5,0,1,0/0
Flames,Devils,away,F,Anthony Mantha R,14:06,0,1,1,1,3,2,0,0,1/1
Flames,Devils,away,F,Martin Pospisil C,11:11,0,0,0,1,1,0,0,0,1/2
Flames,Devils,away,F,Kevin Rooney C,10:34,0,0,0,0,0,0,0,0,1/4
Flames,Devils,away,F,Yegor Sharangovich C,19:35,0,0,1,1,0,0,0,1,5/11
Flames,Devils,away,F,Connor Zary C,16:57,0,0,0,1,1,2,1,0,0/2
Flames,Devils,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Devils,away,F,Rasmus Andersson D,25:35,0,1,2,3,5,0,0,3,0/0
Flames,Devils,away,F,Kevin Bahl D,20:42,0,1,2,2,2,0,0,0,0/0
Flames,Devils,away,F,Tyson Barrie D,16:36,0,0,0,2,0,2,0,0,0/0
Flames,Devils,away,F,Daniil Miromanov D,15:02,0,0,1,0,1,0,0,0,0/0
Flames,Devils,away,F,Brayden Pachal D,14:57,0,0,0,2,0,0,0,0,0/0
Flames,Devils,away,F,MacKenzie Weegar D,23:32,0,0,1,4,2,0,0,4,0/0
