team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Oilers,away,D,Rasmus Andersson D,25:32,0,0,-2,4,3,0,0,1,0/0
Flames,Oilers,away,D,Kevin Bahl D,22:19,0,1,-1,3,3,0,0,2,0/0
Flames,Oilers,away,D,Tyson Barrie D,14:05,0,1,0,2,1,0,0,1,0/0
Flames,Oilers,away,D,Daniil Miromanov D,19:56,0,0,0,0,3,0,1,1,0/0
Flames,Oilers,away,D,Brayden Pachal D,12:15,0,0,0,1,1,0,1,0,0/0
Flames,Oilers,away,D,MacKenzie Weegar D,23:49,0,0,-1,2,4,0,0,3,0/0
Flames,Oilers,away,D,Rasmus Andersson D,25:32,0,0,-2,4,3,0,0,1,0/0
Flames,Oilers,away,D,Kevin Bahl D,22:19,0,1,-1,3,3,0,0,2,0/0
Flames,Oilers,away,D,Tyson Barrie D,14:05,0,1,0,2,1,0,0,1,0/0
Flames,Oilers,away,D,Daniil Miromanov D,19:56,0,0,0,0,3,0,1,1,0/0
Flames,Oilers,away,D,Brayden Pachal D,12:15,0,0,0,1,1,0,1,0,0/0
Flames,Oilers,away,D,MacKenzie Weegar D,23:49,0,0,-1,2,4,0,0,3,0/0
Flames,Oilers,away,F,Mikael Backlund C,19:06,0,1,-1,2,0,0,0,3,11/25
Flames,Oilers,away,F,Blake Coleman C,15:05,0,0,-1,4,0,0,1,4,0/0
Flames,Oilers,away,F,Matt Coronato R,15:38,0,0,-2,1,0,0,0,1,0/0
Flames,Oilers,away,F,Jonathan Huberdeau C,17:27,0,0,-2,3,0,4,0,0,0/0
Flames,Oilers,away,F,Nazem Kadri C,18:12,0,0,-1,1,1,0,0,0,8/14
Flames,Oilers,away,F,Andrei Kuzmenko L,15:59,0,0,0,1,0,0,1,2,0/0
Flames,Oilers,away,F,Ryan Lomberg L,07:37,0,0,0,0,1,0,0,0,0/0
Flames,Oilers,away,F,Anthony Mantha R,16:20,1,0,1,4,0,0,0,1,1/2
Flames,Oilers,away,F,Martin Pospisil C,12:05,0,0,0,0,1,2,0,2,1/2
Flames,Oilers,away,F,Kevin Rooney C,10:55,0,0,0,1,0,0,0,0,4/5
Flames,Oilers,away,F,Yegor Sharangovich C,18:37,1,0,-1,2,0,0,0,1,8/14
Flames,Oilers,away,F,Connor Zary C,11:52,0,0,0,0,0,0,0,0,0/0
Flames,Oilers,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Oilers,away,F,Rasmus Andersson D,25:32,0,0,-2,4,3,0,0,1,0/0
Flames,Oilers,away,F,Kevin Bahl D,22:19,0,1,-1,3,3,0,0,2,0/0
Flames,Oilers,away,F,Tyson Barrie D,14:05,0,1,0,2,1,0,0,1,0/0
Flames,Oilers,away,F,Daniil Miromanov D,19:56,0,0,0,0,3,0,1,1,0/0
Flames,Oilers,away,F,Brayden Pachal D,12:15,0,0,0,1,1,0,1,0,0/0
Flames,Oilers,away,F,MacKenzie Weegar D,23:49,0,0,-1,2,4,0,0,3,0/0
Flames,Oilers,away,F,Mikael Backlund C,19:06,0,1,-1,2,0,0,0,3,11/25
Flames,Oilers,away,F,Blake Coleman C,15:05,0,0,-1,4,0,0,1,4,0/0
Flames,Oilers,away,F,Matt Coronato R,15:38,0,0,-2,1,0,0,0,1,0/0
Flames,Oilers,away,F,Jonathan Huberdeau C,17:27,0,0,-2,3,0,4,0,0,0/0
Flames,Oilers,away,F,Nazem Kadri C,18:12,0,0,-1,1,1,0,0,0,8/14
Flames,Oilers,away,F,Andrei Kuzmenko L,15:59,0,0,0,1,0,0,1,2,0/0
Flames,Oilers,away,F,Ryan Lomberg L,07:37,0,0,0,0,1,0,0,0,0/0
Flames,Oilers,away,F,Anthony Mantha R,16:20,1,0,1,4,0,0,0,1,1/2
Flames,Oilers,away,F,Martin Pospisil C,12:05,0,0,0,0,1,2,0,2,1/2
Flames,Oilers,away,F,Kevin Rooney C,10:55,0,0,0,1,0,0,0,0,4/5
Flames,Oilers,away,F,Yegor Sharangovich C,18:37,1,0,-1,2,0,0,0,1,8/14
Flames,Oilers,away,F,Connor Zary C,11:52,0,0,0,0,0,0,0,0,0/0
Flames,Oilers,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Oilers,away,F,Rasmus Andersson D,25:32,0,0,-2,4,3,0,0,1,0/0
Flames,Oilers,away,F,Kevin Bahl D,22:19,0,1,-1,3,3,0,0,2,0/0
Flames,Oilers,away,F,Tyson Barrie D,14:05,0,1,0,2,1,0,0,1,0/0
Flames,Oilers,away,F,Daniil Miromanov D,19:56,0,0,0,0,3,0,1,1,0/0
Flames,Oilers,away,F,Brayden Pachal D,12:15,0,0,0,1,1,0,1,0,0/0
Flames,Oilers,away,F,MacKenzie Weegar D,23:49,0,0,-1,2,4,0,0,3,0/0
