team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Canadiens,home,D,Rasmus Andersson D,24:57,0,0,1,4,1,0,1,0,0/0
Flames,Canadiens,home,D,Kevin Bahl D,22:57,0,0,0,1,3,0,0,3,0/0
Flames,Canadiens,home,D,Tyson Barrie D,13:20,0,0,0,2,0,0,1,0,0/0
Flames,Canadiens,home,D,Daniil Miromanov D,20:56,0,1,2,2,0,2,0,0,0/0
Flames,Canadiens,home,D,Brayden Pachal D,13:05,0,0,0,0,2,0,0,1,0/0
Flames,Canadiens,home,D,MacKenzie Weegar D,24:15,0,0,1,1,4,0,0,4,0/0
Flames,Canadiens,home,D,Rasmus Andersson D,24:57,0,0,1,4,1,0,1,0,0/0
Flames,Canadiens,home,D,Kevin Bahl D,22:57,0,0,0,1,3,0,0,3,0/0
Flames,Canadiens,home,D,Tyson Barrie D,13:20,0,0,0,2,0,0,1,0,0/0
Flames,Canadiens,home,D,Daniil Miromanov D,20:56,0,1,2,2,0,2,0,0,0/0
Flames,Canadiens,home,D,Brayden Pachal D,13:05,0,0,0,0,2,0,0,1,0/0
Flames,Canadiens,home,D,MacKenzie Weegar D,24:15,0,0,1,1,4,0,0,4,0/0
Flames,Canadiens,home,F,Mikael Backlund C,19:57,0,0,2,4,1,0,0,0,11/24
Flames,Canadiens,home,F,Blake Coleman C,17:37,0,1,1,3,1,0,1,0,0/0
Flames,Canadiens,home,F,Matt Coronato R,16:35,2,0,2,3,0,0,0,0,0/0
Flames,Canadiens,home,F,Jonathan Huberdeau C,18:18,0,0,-1,0,1,0,1,0,0/2
Flames,Canadiens,home,F,Nazem Kadri C,15:33,0,1,0,3,0,0,1,0,6/15
Flames,Canadiens,home,F,Justin Kirkland C,08:55,0,0,0,0,1,2,0,1,2/5
Flames,Canadiens,home,F,Andrei Kuzmenko L,15:52,0,0,0,2,0,0,2,0,0/0
Flames,Canadiens,home,F,Ryan Lomberg L,08:10,0,0,0,0,0,2,0,0,0/0
Flames,Canadiens,home,F,Anthony Mantha R,05:06,0,0,0,1,0,0,0,0,0/0
Flames,Canadiens,home,F,Martin Pospisil C,11:47,0,0,0,3,0,0,0,2,0/2
Flames,Canadiens,home,F,Yegor Sharangovich C,18:55,0,0,-1,5,0,0,0,0,10/20
Flames,Canadiens,home,F,Connor Zary C,18:10,1,0,1,2,0,0,0,0,0/0
Flames,Canadiens,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Canadiens,home,F,Rasmus Andersson D,24:57,0,0,1,4,1,0,1,0,0/0
Flames,Canadiens,home,F,Kevin Bahl D,22:57,0,0,0,1,3,0,0,3,0/0
Flames,Canadiens,home,F,Tyson Barrie D,13:20,0,0,0,2,0,0,1,0,0/0
Flames,Canadiens,home,F,Daniil Miromanov D,20:56,0,1,2,2,0,2,0,0,0/0
Flames,Canadiens,home,F,Brayden Pachal D,13:05,0,0,0,0,2,0,0,1,0/0
Flames,Canadiens,home,F,MacKenzie Weegar D,24:15,0,0,1,1,4,0,0,4,0/0
Flames,Canadiens,home,F,Mikael Backlund C,19:57,0,0,2,4,1,0,0,0,11/24
Flames,Canadiens,home,F,Blake Coleman C,17:37,0,1,1,3,1,0,1,0,0/0
Flames,Canadiens,home,F,Matt Coronato R,16:35,2,0,2,3,0,0,0,0,0/0
Flames,Canadiens,home,F,Jonathan Huberdeau C,18:18,0,0,-1,0,1,0,1,0,0/2
Flames,Canadiens,home,F,Nazem Kadri C,15:33,0,1,0,3,0,0,1,0,6/15
Flames,Canadiens,home,F,Justin Kirkland C,08:55,0,0,0,0,1,2,0,1,2/5
Flames,Canadiens,home,F,Andrei Kuzmenko L,15:52,0,0,0,2,0,0,2,0,0/0
Flames,Canadiens,home,F,Ryan Lomberg L,08:10,0,0,0,0,0,2,0,0,0/0
Flames,Canadiens,home,F,Anthony Mantha R,05:06,0,0,0,1,0,0,0,0,0/0
Flames,Canadiens,home,F,Martin Pospisil C,11:47,0,0,0,3,0,0,0,2,0/2
Flames,Canadiens,home,F,Yegor Sharangovich C,18:55,0,0,-1,5,0,0,0,0,10/20
Flames,Canadiens,home,F,Connor Zary C,18:10,1,0,1,2,0,0,0,0,0/0
Flames,Canadiens,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Canadiens,home,F,Rasmus Andersson D,24:57,0,0,1,4,1,0,1,0,0/0
Flames,Canadiens,home,F,Kevin Bahl D,22:57,0,0,0,1,3,0,0,3,0/0
Flames,Canadiens,home,F,Tyson Barrie D,13:20,0,0,0,2,0,0,1,0,0/0
Flames,Canadiens,home,F,Daniil Miromanov D,20:56,0,1,2,2,0,2,0,0,0/0
Flames,Canadiens,home,F,Brayden Pachal D,13:05,0,0,0,0,2,0,0,1,0/0
Flames,Canadiens,home,F,MacKenzie Weegar D,24:15,0,0,1,1,4,0,0,4,0/0
