team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Kings,away,D,Rasmus Andersson D,23:50,0,0,1,0,7,0,0,3,0/0
Flames,Kings,away,D,Kevin Bahl D,20:31,0,0,1,0,1,0,0,1,0/0
Flames,Kings,away,D,Tyson Barrie D,17:30,0,0,0,0,5,0,1,1,0/0
Flames,Kings,away,D,Daniil Miromanov D,20:44,0,0,1,3,6,0,0,1,0/0
Flames,Kings,away,D,Brayden Pachal D,14:33,0,0,0,1,4,4,1,0,0/0
Flames,Kings,away,D,MacKenzie Weegar D,21:42,0,0,1,1,4,0,0,1,0/0
Flames,Kings,away,D,Rasmus Andersson D,23:50,0,0,1,0,7,0,0,3,0/0
Flames,Kings,away,D,Kevin Bahl D,20:31,0,0,1,0,1,0,0,1,0/0
Flames,Kings,away,D,Tyson Barrie D,17:30,0,0,0,0,5,0,1,1,0/0
Flames,Kings,away,D,Daniil Miromanov D,20:44,0,0,1,3,6,0,0,1,0/0
Flames,Kings,away,D,Brayden Pachal D,14:33,0,0,0,1,4,4,1,0,0/0
Flames,Kings,away,D,MacKenzie Weegar D,21:42,0,0,1,1,4,0,0,1,0/0
Flames,Kings,away,F,Mikael Backlund C,18:40,1,1,2,3,1,0,2,0,11/17
Flames,Kings,away,F,Blake Coleman C,14:32,0,0,1,1,0,0,0,0,1/1
Flames,Kings,away,F,Matt Coronato R,15:17,0,1,2,1,1,0,0,0,1/2
Flames,Kings,away,F,Jonathan Huberdeau C,15:51,1,0,1,2,4,0,1,1,0/2
Flames,Kings,away,F,Nazem Kadri C,18:58,0,0,-1,2,1,0,0,0,5/10
Flames,Kings,away,F,Justin Kirkland C,07:40,0,0,0,1,0,5,0,1,0/1
Flames,Kings,away,F,Andrei Kuzmenko L,17:58,0,1,1,0,1,0,0,3,0/0
Flames,Kings,away,F,Ryan Lomberg L,10:07,0,0,0,1,0,0,0,1,0/0
Flames,Kings,away,F,Martin Pospisil C,12:30,0,0,1,1,0,0,0,0,3/5
Flames,Kings,away,F,Kevin Rooney C,11:00,1,0,1,2,1,0,0,0,4/6
Flames,Kings,away,F,Yegor Sharangovich C,17:54,0,0,-1,4,0,0,0,1,0/0
Flames,Kings,away,F,Connor Zary C,18:46,0,0,-1,5,1,0,0,1,0/2
Flames,Kings,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Kings,away,F,Rasmus Andersson D,23:50,0,0,1,0,7,0,0,3,0/0
Flames,Kings,away,F,Kevin Bahl D,20:31,0,0,1,0,1,0,0,1,0/0
Flames,Kings,away,F,Tyson Barrie D,17:30,0,0,0,0,5,0,1,1,0/0
Flames,Kings,away,F,Daniil Miromanov D,20:44,0,0,1,3,6,0,0,1,0/0
Flames,Kings,away,F,Brayden Pachal D,14:33,0,0,0,1,4,4,1,0,0/0
Flames,Kings,away,F,MacKenzie Weegar D,21:42,0,0,1,1,4,0,0,1,0/0
Flames,Kings,away,F,Mikael Backlund C,18:40,1,1,2,3,1,0,2,0,11/17
Flames,Kings,away,F,Blake Coleman C,14:32,0,0,1,1,0,0,0,0,1/1
Flames,Kings,away,F,Matt Coronato R,15:17,0,1,2,1,1,0,0,0,1/2
Flames,Kings,away,F,Jonathan Huberdeau C,15:51,1,0,1,2,4,0,1,1,0/2
Flames,Kings,away,F,Nazem Kadri C,18:58,0,0,-1,2,1,0,0,0,5/10
Flames,Kings,away,F,Justin Kirkland C,07:40,0,0,0,1,0,5,0,1,0/1
Flames,Kings,away,F,Andrei Kuzmenko L,17:58,0,1,1,0,1,0,0,3,0/0
Flames,Kings,away,F,Ryan Lomberg L,10:07,0,0,0,1,0,0,0,1,0/0
Flames,Kings,away,F,Martin Pospisil C,12:30,0,0,1,1,0,0,0,0,3/5
Flames,Kings,away,F,Kevin Rooney C,11:00,1,0,1,2,1,0,0,0,4/6
Flames,Kings,away,F,Yegor Sharangovich C,17:54,0,0,-1,4,0,0,0,1,0/0
Flames,Kings,away,F,Connor Zary C,18:46,0,0,-1,5,1,0,0,1,0/2
Flames,Kings,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Kings,away,F,Rasmus Andersson D,23:50,0,0,1,0,7,0,0,3,0/0
Flames,Kings,away,F,Kevin Bahl D,20:31,0,0,1,0,1,0,0,1,0/0
Flames,Kings,away,F,Tyson Barrie D,17:30,0,0,0,0,5,0,1,1,0/0
Flames,Kings,away,F,Daniil Miromanov D,20:44,0,0,1,3,6,0,0,1,0/0
Flames,Kings,away,F,Brayden Pachal D,14:33,0,0,0,1,4,4,1,0,0/0
Flames,Kings,away,F,MacKenzie Weegar D,21:42,0,0,1,1,4,0,0,1,0/0
