team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Canucks,home,D,Rasmus Andersson D,24:54,0,0,0,2,0,0,0,1,0/0
Flames,Canucks,home,D,Kevin Bahl D,20:54,0,0,0,0,1,0,0,0,0/0
Flames,Canucks,home,D,Tyson Barrie D,16:02,0,0,-1,1,1,0,0,2,0/0
Flames,Canucks,home,D,Daniil Miromanov D,17:00,0,0,0,0,0,2,0,0,0/0
Flames,Canucks,home,D,Brayden Pachal D,15:45,0,0,-1,0,2,0,0,2,0/0
Flames,Canucks,home,D,MacKenzie Weegar D,22:26,0,0,0,5,0,0,0,2,0/0
Flames,Canucks,home,D,Rasmus Andersson D,24:54,0,0,0,2,0,0,0,1,0/0
Flames,Canucks,home,D,Kevin Bahl D,20:54,0,0,0,0,1,0,0,0,0/0
Flames,Canucks,home,D,Tyson Barrie D,16:02,0,0,-1,1,1,0,0,2,0/0
Flames,Canucks,home,D,Daniil Miromanov D,17:00,0,0,0,0,0,2,0,0,0/0
Flames,Canucks,home,D,Brayden Pachal D,15:45,0,0,-1,0,2,0,0,2,0/0
Flames,Canucks,home,D,MacKenzie Weegar D,22:26,0,0,0,5,0,0,0,2,0/0
Flames,Canucks,home,F,Mikael Backlund C,20:42,0,0,-1,0,1,0,0,1,7/17
Flames,Canucks,home,F,Blake Coleman C,18:26,0,0,0,2,1,0,0,2,0/1
Flames,Canucks,home,F,Matt Coronato R,18:00,0,0,-1,3,0,0,2,1,0/0
Flames,Canucks,home,F,Jonathan Huberdeau C,18:45,0,0,-1,0,0,0,0,2,0/1
Flames,Canucks,home,F,Nazem Kadri C,17:10,0,0,0,6,1,0,0,1,9/20
Flames,Canucks,home,F,Justin Kirkland C,09:39,1,0,1,1,1,0,0,1,0/3
Flames,Canucks,home,F,Andrei Kuzmenko L,14:50,0,0,-1,2,0,2,0,1,0/0
Flames,Canucks,home,F,Ryan Lomberg L,08:02,0,0,1,1,0,2,0,0,0/0
Flames,Canucks,home,F,Martin Pospisil C,12:47,0,0,-1,0,0,0,0,0,4/10
Flames,Canucks,home,F,Kevin Rooney C,09:04,0,0,1,2,0,0,0,0,4/7
Flames,Canucks,home,F,Yegor Sharangovich C,16:58,0,0,0,2,0,0,0,1,1/2
Flames,Canucks,home,F,Connor Zary C,16:37,0,0,-1,2,0,0,1,2,0/0
Flames,Canucks,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Canucks,home,F,Rasmus Andersson D,24:54,0,0,0,2,0,0,0,1,0/0
Flames,Canucks,home,F,Kevin Bahl D,20:54,0,0,0,0,1,0,0,0,0/0
Flames,Canucks,home,F,Tyson Barrie D,16:02,0,0,-1,1,1,0,0,2,0/0
Flames,Canucks,home,F,Daniil Miromanov D,17:00,0,0,0,0,0,2,0,0,0/0
Flames,Canucks,home,F,Brayden Pachal D,15:45,0,0,-1,0,2,0,0,2,0/0
Flames,Canucks,home,F,MacKenzie Weegar D,22:26,0,0,0,5,0,0,0,2,0/0
Flames,Canucks,home,F,Mikael Backlund C,20:42,0,0,-1,0,1,0,0,1,7/17
Flames,Canucks,home,F,Blake Coleman C,18:26,0,0,0,2,1,0,0,2,0/1
Flames,Canucks,home,F,Matt Coronato R,18:00,0,0,-1,3,0,0,2,1,0/0
Flames,Canucks,home,F,Jonathan Huberdeau C,18:45,0,0,-1,0,0,0,0,2,0/1
Flames,Canucks,home,F,Nazem Kadri C,17:10,0,0,0,6,1,0,0,1,9/20
Flames,Canucks,home,F,Justin Kirkland C,09:39,1,0,1,1,1,0,0,1,0/3
Flames,Canucks,home,F,Andrei Kuzmenko L,14:50,0,0,-1,2,0,2,0,1,0/0
Flames,Canucks,home,F,Ryan Lomberg L,08:02,0,0,1,1,0,2,0,0,0/0
Flames,Canucks,home,F,Martin Pospisil C,12:47,0,0,-1,0,0,0,0,0,4/10
Flames,Canucks,home,F,Kevin Rooney C,09:04,0,0,1,2,0,0,0,0,4/7
Flames,Canucks,home,F,Yegor Sharangovich C,16:58,0,0,0,2,0,0,0,1,1/2
Flames,Canucks,home,F,Connor Zary C,16:37,0,0,-1,2,0,0,1,2,0/0
Flames,Canucks,home,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Canucks,home,F,Rasmus Andersson D,24:54,0,0,0,2,0,0,0,1,0/0
Flames,Canucks,home,F,Kevin Bahl D,20:54,0,0,0,0,1,0,0,0,0/0
Flames,Canucks,home,F,Tyson Barrie D,16:02,0,0,-1,1,1,0,0,2,0/0
Flames,Canucks,home,F,Daniil Miromanov D,17:00,0,0,0,0,0,2,0,0,0/0
Flames,Canucks,home,F,Brayden Pachal D,15:45,0,0,-1,0,2,0,0,2,0/0
Flames,Canucks,home,F,MacKenzie Weegar D,22:26,0,0,0,5,0,0,0,2,0/0
