team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flames,Predators,away,D,Rasmus Andersson D,25:21,0,0,1,3,2,0,0,1,0/0
Flames,Predators,away,D,Kevin Bahl D,21:55,0,0,1,0,1,0,1,1,0/0
Flames,Predators,away,D,Jake Bean D,13:41,0,0,0,1,1,0,0,3,0/0
Flames,Predators,away,D,Daniil Miromanov D,18:37,1,0,1,1,1,0,0,1,0/0
Flames,Predators,away,D,Brayden Pachal D,11:35,0,0,0,0,2,7,0,1,0/0
Flames,Predators,away,D,MacKenzie Weegar D,23:30,0,1,1,4,4,0,4,3,0/0
Flames,Predators,away,D,Rasmus Andersson D,25:21,0,0,1,3,2,0,0,1,0/0
Flames,Predators,away,D,Kevin Bahl D,21:55,0,0,1,0,1,0,1,1,0/0
Flames,Predators,away,D,Jake Bean D,13:41,0,0,0,1,1,0,0,3,0/0
Flames,Predators,away,D,Daniil Miromanov D,18:37,1,0,1,1,1,0,0,1,0/0
Flames,Predators,away,D,Brayden Pachal D,11:35,0,0,0,0,2,7,0,1,0/0
Flames,Predators,away,D,MacKenzie Weegar D,23:30,0,1,1,4,4,0,4,3,0/0
Flames,Predators,away,F,Mikael Backlund C,19:18,0,0,1,4,1,0,2,1,12/26
Flames,Predators,away,F,Blake Coleman C,16:04,1,0,1,4,1,0,2,0,1/2
Flames,Predators,away,F,Matt Coronato R,19:48,0,0,1,2,0,0,1,0,0/2
Flames,Predators,away,F,Jonathan Huberdeau C,16:40,0,0,0,1,1,2,0,1,0/0
Flames,Predators,away,F,Nazem Kadri C,17:20,0,1,1,4,1,0,0,1,11/17
Flames,Predators,away,F,Justin Kirkland C,11:18,0,0,0,1,3,0,0,1,1/2
Flames,Predators,away,F,Andrei Kuzmenko L,14:10,0,0,1,0,0,0,1,0,0/0
Flames,Predators,away,F,Ryan Lomberg L,12:26,0,0,0,0,1,0,2,0,0/0
Flames,Predators,away,F,Martin Pospisil C,12:32,0,0,1,4,1,2,0,0,2/6
Flames,Predators,away,F,Kevin Rooney C,12:34,0,0,0,0,0,0,0,0,5/11
Flames,Predators,away,F,Yegor Sharangovich C,15:59,0,0,0,3,2,0,2,0,3/4
Flames,Predators,away,F,Connor Zary C,13:12,0,0,0,1,0,0,0,1,7/15
Flames,Predators,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Predators,away,F,Rasmus Andersson D,25:21,0,0,1,3,2,0,0,1,0/0
Flames,Predators,away,F,Kevin Bahl D,21:55,0,0,1,0,1,0,1,1,0/0
Flames,Predators,away,F,Jake Bean D,13:41,0,0,0,1,1,0,0,3,0/0
Flames,Predators,away,F,Daniil Miromanov D,18:37,1,0,1,1,1,0,0,1,0/0
Flames,Predators,away,F,Brayden Pachal D,11:35,0,0,0,0,2,7,0,1,0/0
Flames,Predators,away,F,MacKenzie Weegar D,23:30,0,1,1,4,4,0,4,3,0/0
Flames,Predators,away,F,Mikael Backlund C,19:18,0,0,1,4,1,0,2,1,12/26
Flames,Predators,away,F,Blake Coleman C,16:04,1,0,1,4,1,0,2,0,1/2
Flames,Predators,away,F,Matt Coronato R,19:48,0,0,1,2,0,0,1,0,0/2
Flames,Predators,away,F,Jonathan Huberdeau C,16:40,0,0,0,1,1,2,0,1,0/0
Flames,Predators,away,F,Nazem Kadri C,17:20,0,1,1,4,1,0,0,1,11/17
Flames,Predators,away,F,Justin Kirkland C,11:18,0,0,0,1,3,0,0,1,1/2
Flames,Predators,away,F,Andrei Kuzmenko L,14:10,0,0,1,0,0,0,1,0,0/0
Flames,Predators,away,F,Ryan Lomberg L,12:26,0,0,0,0,1,0,2,0,0/0
Flames,Predators,away,F,Martin Pospisil C,12:32,0,0,1,4,1,2,0,0,2/6
Flames,Predators,away,F,Kevin Rooney C,12:34,0,0,0,0,0,0,0,0,5/11
Flames,Predators,away,F,Yegor Sharangovich C,15:59,0,0,0,3,2,0,2,0,3/4
Flames,Predators,away,F,Connor Zary C,13:12,0,0,0,1,0,0,0,1,7/15
Flames,Predators,away,F,Flames Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORasmus
Flames,Predators,away,F,Rasmus Andersson D,25:21,0,0,1,3,2,0,0,1,0/0
Flames,Predators,away,F,Kevin Bahl D,21:55,0,0,1,0,1,0,1,1,0/0
Flames,Predators,away,F,Jake Bean D,13:41,0,0,0,1,1,0,0,3,0/0
Flames,Predators,away,F,Daniil Miromanov D,18:37,1,0,1,1,1,0,0,1,0/0
Flames,Predators,away,F,Brayden Pachal D,11:35,0,0,0,0,2,7,0,1,0/0
Flames,Predators,away,F,MacKenzie Weegar D,23:30,0,1,1,4,4,0,4,3,0/0
