team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Ducks,away,D,Nicolas Hague D,16:46,0,0,0,0,1,0,0,0,0/0
Golden Knights,Ducks,away,D,Noah Hanifin D,20:49,0,0,0,0,2,0,0,2,0/0
Golden Knights,Ducks,away,D,Brayden McNabb D,15:31,0,0,1,2,3,2,0,2,0/0
Golden Knights,Ducks,away,D,Alex Pietrangelo D,21:57,0,1,1,4,2,0,0,3,0/0
Golden Knights,Ducks,away,D,Shea Theodore D,23:10,0,0,0,2,2,0,0,1,0/0
Golden Knights,Ducks,away,D,Zach Whitecloud D,17:25,0,0,0,2,1,0,0,2,0/0
Golden Knights,Ducks,away,D,Nicolas Hague D,16:46,0,0,0,0,1,0,0,0,0/0
Golden Knights,Ducks,away,D,Noah Hanifin D,20:49,0,0,0,0,2,0,0,2,0/0
Golden Knights,Ducks,away,D,Brayden McNabb D,15:31,0,0,1,2,3,2,0,2,0/0
Golden Knights,Ducks,away,D,Alex Pietrangelo D,21:57,0,1,1,4,2,0,0,3,0/0
Golden Knights,Ducks,away,D,Shea Theodore D,23:10,0,0,0,2,2,0,0,1,0/0
Golden Knights,Ducks,away,D,Zach Whitecloud D,17:25,0,0,0,2,1,0,0,2,0/0
Golden Knights,Ducks,away,F,Ivan Barbashev C,15:30,0,0,-1,2,0,0,0,1,0/0
Golden Knights,Ducks,away,F,Pavel Dorofeyev L,12:52,1,0,1,5,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Jack Eichel C,22:39,0,1,-1,1,0,0,1,1,8/14
Golden Knights,Ducks,away,F,Tomas Hertl C,18:56,1,0,1,2,1,0,0,2,10/16
Golden Knights,Ducks,away,F,Alexander Holtz R,13:37,0,0,0,1,0,0,0,0,0/0
Golden Knights,Ducks,away,F,Brett Howden C,14:10,1,0,1,4,0,0,1,0,2/2
Golden Knights,Ducks,away,F,Keegan Kolesar R,11:34,0,2,2,0,0,0,1,0,0/1
Golden Knights,Ducks,away,F,Victor Olofsson L,17:01,0,0,0,3,1,0,0,0,0/0
Golden Knights,Ducks,away,F,Tanner Pearson L,10:32,0,0,0,0,0,0,0,1,0/0
Golden Knights,Ducks,away,F,Nicolas Roy C,15:52,0,0,1,0,0,0,1,1,1/5
Golden Knights,Ducks,away,F,Cole Schwindt R,09:24,0,0,0,1,2,0,0,0,2/5
Golden Knights,Ducks,away,F,Mark Stone R,20:15,0,1,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Ducks,away,F,Nicolas Hague D,16:46,0,0,0,0,1,0,0,0,0/0
Golden Knights,Ducks,away,F,Noah Hanifin D,20:49,0,0,0,0,2,0,0,2,0/0
Golden Knights,Ducks,away,F,Brayden McNabb D,15:31,0,0,1,2,3,2,0,2,0/0
Golden Knights,Ducks,away,F,Alex Pietrangelo D,21:57,0,1,1,4,2,0,0,3,0/0
Golden Knights,Ducks,away,F,Shea Theodore D,23:10,0,0,0,2,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Zach Whitecloud D,17:25,0,0,0,2,1,0,0,2,0/0
Golden Knights,Ducks,away,F,Ivan Barbashev C,15:30,0,0,-1,2,0,0,0,1,0/0
Golden Knights,Ducks,away,F,Pavel Dorofeyev L,12:52,1,0,1,5,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Jack Eichel C,22:39,0,1,-1,1,0,0,1,1,8/14
Golden Knights,Ducks,away,F,Tomas Hertl C,18:56,1,0,1,2,1,0,0,2,10/16
Golden Knights,Ducks,away,F,Alexander Holtz R,13:37,0,0,0,1,0,0,0,0,0/0
Golden Knights,Ducks,away,F,Brett Howden C,14:10,1,0,1,4,0,0,1,0,2/2
Golden Knights,Ducks,away,F,Keegan Kolesar R,11:34,0,2,2,0,0,0,1,0,0/1
Golden Knights,Ducks,away,F,Victor Olofsson L,17:01,0,0,0,3,1,0,0,0,0/0
Golden Knights,Ducks,away,F,Tanner Pearson L,10:32,0,0,0,0,0,0,0,1,0/0
Golden Knights,Ducks,away,F,Nicolas Roy C,15:52,0,0,1,0,0,0,1,1,1/5
Golden Knights,Ducks,away,F,Cole Schwindt R,09:24,0,0,0,1,2,0,0,0,2/5
Golden Knights,Ducks,away,F,Mark Stone R,20:15,0,1,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Ducks,away,F,Nicolas Hague D,16:46,0,0,0,0,1,0,0,0,0/0
Golden Knights,Ducks,away,F,Noah Hanifin D,20:49,0,0,0,0,2,0,0,2,0/0
Golden Knights,Ducks,away,F,Brayden McNabb D,15:31,0,0,1,2,3,2,0,2,0/0
Golden Knights,Ducks,away,F,Alex Pietrangelo D,21:57,0,1,1,4,2,0,0,3,0/0
Golden Knights,Ducks,away,F,Shea Theodore D,23:10,0,0,0,2,2,0,0,1,0/0
Golden Knights,Ducks,away,F,Zach Whitecloud D,17:25,0,0,0,2,1,0,0,2,0/0
