team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Capitals,home,D,Nicolas Hague D,16:21,0,0,0,0,2,0,1,0,0/0
Golden Knights,Capitals,home,D,Noah Hanifin D,21:07,0,0,-1,0,1,2,0,2,0/0
Golden Knights,Capitals,home,D,Brayden McNabb D,15:30,0,0,-2,2,2,2,0,0,0/0
Golden Knights,Capitals,home,D,Alex Pietrangelo D,20:53,0,0,1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,D,Shea Theodore D,22:33,0,0,0,0,1,0,0,0,0/0
Golden Knights,Capitals,home,D,Zach Whitecloud D,17:51,0,0,-2,3,3,0,0,2,0/0
Golden Knights,Capitals,home,D,Nicolas Hague D,16:21,0,0,0,0,2,0,1,0,0/0
Golden Knights,Capitals,home,D,Noah Hanifin D,21:07,0,0,-1,0,1,2,0,2,0/0
Golden Knights,Capitals,home,D,Brayden McNabb D,15:30,0,0,-2,2,2,2,0,0,0/0
Golden Knights,Capitals,home,D,Alex Pietrangelo D,20:53,0,0,1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,D,Shea Theodore D,22:33,0,0,0,0,1,0,0,0,0/0
Golden Knights,Capitals,home,D,Zach Whitecloud D,17:51,0,0,-2,3,3,0,0,2,0/0
Golden Knights,Capitals,home,F,Ivan Barbashev C,14:46,0,1,0,2,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Pavel Dorofeyev L,13:51,0,0,0,2,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Jack Eichel C,22:44,1,0,0,1,1,0,0,1,8/19
Golden Knights,Capitals,home,F,Tomas Hertl C,20:08,0,1,0,1,1,0,0,0,9/18
Golden Knights,Capitals,home,F,Alexander Holtz R,13:58,0,0,-1,3,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Brett Howden C,15:55,0,0,-1,4,1,0,0,0,1/3
Golden Knights,Capitals,home,F,Keegan Kolesar R,09:39,0,0,-1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Victor Olofsson L,16:24,1,0,0,3,1,0,0,1,0/0
Golden Knights,Capitals,home,F,Tanner Pearson L,09:36,0,0,-1,0,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Nicolas Roy C,17:18,0,0,-1,0,1,2,0,0,5/9
Golden Knights,Capitals,home,F,Cole Schwindt R,08:40,0,0,-1,0,1,0,0,0,2/6
Golden Knights,Capitals,home,F,Mark Stone R,20:50,0,2,0,3,0,0,0,1,0/0
Golden Knights,Capitals,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Capitals,home,F,Nicolas Hague D,16:21,0,0,0,0,2,0,1,0,0/0
Golden Knights,Capitals,home,F,Noah Hanifin D,21:07,0,0,-1,0,1,2,0,2,0/0
Golden Knights,Capitals,home,F,Brayden McNabb D,15:30,0,0,-2,2,2,2,0,0,0/0
Golden Knights,Capitals,home,F,Alex Pietrangelo D,20:53,0,0,1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Shea Theodore D,22:33,0,0,0,0,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Zach Whitecloud D,17:51,0,0,-2,3,3,0,0,2,0/0
Golden Knights,Capitals,home,F,Ivan Barbashev C,14:46,0,1,0,2,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Pavel Dorofeyev L,13:51,0,0,0,2,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Jack Eichel C,22:44,1,0,0,1,1,0,0,1,8/19
Golden Knights,Capitals,home,F,Tomas Hertl C,20:08,0,1,0,1,1,0,0,0,9/18
Golden Knights,Capitals,home,F,Alexander Holtz R,13:58,0,0,-1,3,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Brett Howden C,15:55,0,0,-1,4,1,0,0,0,1/3
Golden Knights,Capitals,home,F,Keegan Kolesar R,09:39,0,0,-1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Victor Olofsson L,16:24,1,0,0,3,1,0,0,1,0/0
Golden Knights,Capitals,home,F,Tanner Pearson L,09:36,0,0,-1,0,0,0,0,0,0/0
Golden Knights,Capitals,home,F,Nicolas Roy C,17:18,0,0,-1,0,1,2,0,0,5/9
Golden Knights,Capitals,home,F,Cole Schwindt R,08:40,0,0,-1,0,1,0,0,0,2/6
Golden Knights,Capitals,home,F,Mark Stone R,20:50,0,2,0,3,0,0,0,1,0/0
Golden Knights,Capitals,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Capitals,home,F,Nicolas Hague D,16:21,0,0,0,0,2,0,1,0,0/0
Golden Knights,Capitals,home,F,Noah Hanifin D,21:07,0,0,-1,0,1,2,0,2,0/0
Golden Knights,Capitals,home,F,Brayden McNabb D,15:30,0,0,-2,2,2,2,0,0,0/0
Golden Knights,Capitals,home,F,Alex Pietrangelo D,20:53,0,0,1,1,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Shea Theodore D,22:33,0,0,0,0,1,0,0,0,0/0
Golden Knights,Capitals,home,F,Zach Whitecloud D,17:51,0,0,-2,3,3,0,0,2,0/0
