team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Kings,away,D,Nicolas Hague D,19:21,0,0,0,0,2,4,1,0,0/0
Golden Knights,Kings,away,D,Noah Hanifin D,21:27,0,1,2,3,1,0,0,2,0/0
Golden Knights,Kings,away,D,Kaedan Korczak D,17:22,0,1,1,0,3,0,0,0,0/0
Golden Knights,Kings,away,D,Brayden McNabb D,21:48,0,0,1,0,1,0,0,3,0/0
Golden Knights,Kings,away,D,Alex Pietrangelo D,20:54,0,3,2,2,3,2,1,1,0/0
Golden Knights,Kings,away,D,Zach Whitecloud D,18:36,0,0,0,0,5,2,0,0,0/0
Golden Knights,Kings,away,D,Nicolas Hague D,19:21,0,0,0,0,2,4,1,0,0/0
Golden Knights,Kings,away,D,Noah Hanifin D,21:27,0,1,2,3,1,0,0,2,0/0
Golden Knights,Kings,away,D,Kaedan Korczak D,17:22,0,1,1,0,3,0,0,0,0/0
Golden Knights,Kings,away,D,Brayden McNabb D,21:48,0,0,1,0,1,0,0,3,0/0
Golden Knights,Kings,away,D,Alex Pietrangelo D,20:54,0,3,2,2,3,2,1,1,0/0
Golden Knights,Kings,away,D,Zach Whitecloud D,18:36,0,0,0,0,5,2,0,0,0/0
Golden Knights,Kings,away,F,Ivan Barbashev C,12:34,1,0,0,4,0,0,1,0,0/0
Golden Knights,Kings,away,F,Brendan Brisson C,12:15,0,0,1,1,0,0,0,0,0/0
Golden Knights,Kings,away,F,Pavel Dorofeyev L,15:23,1,1,2,4,0,0,0,3,0/0
Golden Knights,Kings,away,F,Jack Eichel C,16:23,0,1,1,2,0,0,0,1,9/16
Golden Knights,Kings,away,F,Tomas Hertl C,15:21,2,2,2,5,2,0,0,0,9/10
Golden Knights,Kings,away,F,Alexander Holtz R,11:05,1,0,1,1,0,0,0,1,0/1
Golden Knights,Kings,away,F,Brett Howden C,16:54,0,0,2,0,3,0,0,1,2/3
Golden Knights,Kings,away,F,Keegan Kolesar R,15:34,0,0,-1,1,1,0,0,0,0/0
Golden Knights,Kings,away,F,Tanner Pearson L,14:04,0,0,0,1,0,0,0,1,0/0
Golden Knights,Kings,away,F,Nicolas Roy C,16:14,0,0,-1,1,0,0,2,0,6/13
Golden Knights,Kings,away,F,Cole Schwindt R,11:24,0,0,1,1,2,0,0,0,6/7
Golden Knights,Kings,away,F,Mark Stone R,15:21,1,2,1,4,0,0,0,1,0/0
Golden Knights,Kings,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Kings,away,F,Nicolas Hague D,19:21,0,0,0,0,2,4,1,0,0/0
Golden Knights,Kings,away,F,Noah Hanifin D,21:27,0,1,2,3,1,0,0,2,0/0
Golden Knights,Kings,away,F,Kaedan Korczak D,17:22,0,1,1,0,3,0,0,0,0/0
Golden Knights,Kings,away,F,Brayden McNabb D,21:48,0,0,1,0,1,0,0,3,0/0
Golden Knights,Kings,away,F,Alex Pietrangelo D,20:54,0,3,2,2,3,2,1,1,0/0
Golden Knights,Kings,away,F,Zach Whitecloud D,18:36,0,0,0,0,5,2,0,0,0/0
Golden Knights,Kings,away,F,Ivan Barbashev C,12:34,1,0,0,4,0,0,1,0,0/0
Golden Knights,Kings,away,F,Brendan Brisson C,12:15,0,0,1,1,0,0,0,0,0/0
Golden Knights,Kings,away,F,Pavel Dorofeyev L,15:23,1,1,2,4,0,0,0,3,0/0
Golden Knights,Kings,away,F,Jack Eichel C,16:23,0,1,1,2,0,0,0,1,9/16
Golden Knights,Kings,away,F,Tomas Hertl C,15:21,2,2,2,5,2,0,0,0,9/10
Golden Knights,Kings,away,F,Alexander Holtz R,11:05,1,0,1,1,0,0,0,1,0/1
Golden Knights,Kings,away,F,Brett Howden C,16:54,0,0,2,0,3,0,0,1,2/3
Golden Knights,Kings,away,F,Keegan Kolesar R,15:34,0,0,-1,1,1,0,0,0,0/0
Golden Knights,Kings,away,F,Tanner Pearson L,14:04,0,0,0,1,0,0,0,1,0/0
Golden Knights,Kings,away,F,Nicolas Roy C,16:14,0,0,-1,1,0,0,2,0,6/13
Golden Knights,Kings,away,F,Cole Schwindt R,11:24,0,0,1,1,2,0,0,0,6/7
Golden Knights,Kings,away,F,Mark Stone R,15:21,1,2,1,4,0,0,0,1,0/0
Golden Knights,Kings,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONicolas
Golden Knights,Kings,away,F,Nicolas Hague D,19:21,0,0,0,0,2,4,1,0,0/0
Golden Knights,Kings,away,F,Noah Hanifin D,21:27,0,1,2,3,1,0,0,2,0/0
Golden Knights,Kings,away,F,Kaedan Korczak D,17:22,0,1,1,0,3,0,0,0,0/0
Golden Knights,Kings,away,F,Brayden McNabb D,21:48,0,0,1,0,1,0,0,3,0/0
Golden Knights,Kings,away,F,Alex Pietrangelo D,20:54,0,3,2,2,3,2,1,1,0/0
Golden Knights,Kings,away,F,Zach Whitecloud D,18:36,0,0,0,0,5,2,0,0,0/0
