team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Kings,home,D,Noah Hanifin D,21:54,0,0,-3,1,1,0,0,1,0/0
Golden Knights,Kings,home,D,Kaedan Korczak D,16:37,0,1,2,0,1,0,1,1,0/0
Golden Knights,Kings,home,D,Brayden McNabb D,18:41,0,0,2,1,0,0,0,2,0/0
Golden Knights,Kings,home,D,Alex Pietrangelo D,21:46,0,0,-3,3,2,0,0,2,0/0
Golden Knights,Kings,home,D,Shea Theodore D,20:19,0,1,-2,1,0,0,1,1,0/0
Golden Knights,Kings,home,D,Zach Whitecloud D,17:54,0,0,-2,0,0,0,0,1,0/0
Golden Knights,Kings,home,D,Noah Hanifin D,21:54,0,0,-3,1,1,0,0,1,0/0
Golden Knights,Kings,home,D,Kaedan Korczak D,16:37,0,1,2,0,1,0,1,1,0/0
Golden Knights,Kings,home,D,Brayden McNabb D,18:41,0,0,2,1,0,0,0,2,0/0
Golden Knights,Kings,home,D,Alex Pietrangelo D,21:46,0,0,-3,3,2,0,0,2,0/0
Golden Knights,Kings,home,D,Shea Theodore D,20:19,0,1,-2,1,0,0,1,1,0/0
Golden Knights,Kings,home,D,Zach Whitecloud D,17:54,0,0,-2,0,0,0,0,1,0/0
Golden Knights,Kings,home,F,Ivan Barbashev C,17:09,0,0,-2,3,1,0,2,0,0/1
Golden Knights,Kings,home,F,Brendan Brisson C,10:25,0,0,-2,1,0,0,0,0,0/0
Golden Knights,Kings,home,F,Pavel Dorofeyev L,16:57,2,0,0,4,0,0,1,0,0/0
Golden Knights,Kings,home,F,Jack Eichel C,18:21,0,0,-1,1,2,0,2,1,8/16
Golden Knights,Kings,home,F,Tomas Hertl C,16:04,0,1,-1,0,0,0,2,2,9/13
Golden Knights,Kings,home,F,Alexander Holtz R,12:46,0,1,1,2,0,0,0,1,0/0
Golden Knights,Kings,home,F,Brett Howden C,16:14,0,0,0,2,0,4,1,1,1/1
Golden Knights,Kings,home,F,William Karlsson C,14:36,0,1,1,2,0,0,0,1,6/15
Golden Knights,Kings,home,F,Keegan Kolesar R,10:14,0,0,-1,1,0,5,0,0,0/0
Golden Knights,Kings,home,F,Tanner Pearson L,12:46,1,0,1,2,0,0,0,0,0/0
Golden Knights,Kings,home,F,Nicolas Roy C,15:22,0,0,-2,0,1,0,0,0,4/10
Golden Knights,Kings,home,F,Mark Stone R,19:03,0,1,-3,2,0,0,1,2,0/0
Golden Knights,Kings,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Kings,home,F,Noah Hanifin D,21:54,0,0,-3,1,1,0,0,1,0/0
Golden Knights,Kings,home,F,Kaedan Korczak D,16:37,0,1,2,0,1,0,1,1,0/0
Golden Knights,Kings,home,F,Brayden McNabb D,18:41,0,0,2,1,0,0,0,2,0/0
Golden Knights,Kings,home,F,Alex Pietrangelo D,21:46,0,0,-3,3,2,0,0,2,0/0
Golden Knights,Kings,home,F,Shea Theodore D,20:19,0,1,-2,1,0,0,1,1,0/0
Golden Knights,Kings,home,F,Zach Whitecloud D,17:54,0,0,-2,0,0,0,0,1,0/0
Golden Knights,Kings,home,F,Ivan Barbashev C,17:09,0,0,-2,3,1,0,2,0,0/1
Golden Knights,Kings,home,F,Brendan Brisson C,10:25,0,0,-2,1,0,0,0,0,0/0
Golden Knights,Kings,home,F,Pavel Dorofeyev L,16:57,2,0,0,4,0,0,1,0,0/0
Golden Knights,Kings,home,F,Jack Eichel C,18:21,0,0,-1,1,2,0,2,1,8/16
Golden Knights,Kings,home,F,Tomas Hertl C,16:04,0,1,-1,0,0,0,2,2,9/13
Golden Knights,Kings,home,F,Alexander Holtz R,12:46,0,1,1,2,0,0,0,1,0/0
Golden Knights,Kings,home,F,Brett Howden C,16:14,0,0,0,2,0,4,1,1,1/1
Golden Knights,Kings,home,F,William Karlsson C,14:36,0,1,1,2,0,0,0,1,6/15
Golden Knights,Kings,home,F,Keegan Kolesar R,10:14,0,0,-1,1,0,5,0,0,0/0
Golden Knights,Kings,home,F,Tanner Pearson L,12:46,1,0,1,2,0,0,0,0,0/0
Golden Knights,Kings,home,F,Nicolas Roy C,15:22,0,0,-2,0,1,0,0,0,4/10
Golden Knights,Kings,home,F,Mark Stone R,19:03,0,1,-3,2,0,0,1,2,0/0
Golden Knights,Kings,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Kings,home,F,Noah Hanifin D,21:54,0,0,-3,1,1,0,0,1,0/0
Golden Knights,Kings,home,F,Kaedan Korczak D,16:37,0,1,2,0,1,0,1,1,0/0
Golden Knights,Kings,home,F,Brayden McNabb D,18:41,0,0,2,1,0,0,0,2,0/0
Golden Knights,Kings,home,F,Alex Pietrangelo D,21:46,0,0,-3,3,2,0,0,2,0/0
Golden Knights,Kings,home,F,Shea Theodore D,20:19,0,1,-2,1,0,0,1,1,0/0
Golden Knights,Kings,home,F,Zach Whitecloud D,17:54,0,0,-2,0,0,0,0,1,0/0
