team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Hurricanes,away,D,Noah Hanifin D,20:39,0,0,-2,3,0,0,1,2,0/0
Golden Knights,Hurricanes,away,D,Kaedan Korczak D,15:19,0,0,0,1,2,0,0,0,0/0
Golden Knights,Hurricanes,away,D,Brayden McNabb D,17:44,0,0,0,0,3,0,0,1,0/0
Golden Knights,Hurricanes,away,D,Alex Pietrangelo D,21:03,0,0,-3,0,1,0,0,2,0/0
Golden Knights,Hurricanes,away,D,Shea Theodore D,25:03,0,0,-3,3,1,0,1,2,0/0
Golden Knights,Hurricanes,away,D,Zach Whitecloud D,17:17,0,0,1,0,1,2,1,1,0/0
Golden Knights,Hurricanes,away,D,Noah Hanifin D,20:39,0,0,-2,3,0,0,1,2,0/0
Golden Knights,Hurricanes,away,D,Kaedan Korczak D,15:19,0,0,0,1,2,0,0,0,0/0
Golden Knights,Hurricanes,away,D,Brayden McNabb D,17:44,0,0,0,0,3,0,0,1,0/0
Golden Knights,Hurricanes,away,D,Alex Pietrangelo D,21:03,0,0,-3,0,1,0,0,2,0/0
Golden Knights,Hurricanes,away,D,Shea Theodore D,25:03,0,0,-3,3,1,0,1,2,0/0
Golden Knights,Hurricanes,away,D,Zach Whitecloud D,17:17,0,0,1,0,1,2,1,1,0/0
Golden Knights,Hurricanes,away,F,Ivan Barbashev C,14:43,1,0,0,1,0,2,0,0,0/0
Golden Knights,Hurricanes,away,F,Pavel Dorofeyev L,16:47,0,0,-2,4,1,2,0,0,0/0
Golden Knights,Hurricanes,away,F,Jack Eichel C,20:27,1,1,-2,4,1,0,0,1,7/17
Golden Knights,Hurricanes,away,F,Tomas Hertl C,17:35,0,0,-2,2,0,0,0,1,13/20
Golden Knights,Hurricanes,away,F,Alexander Holtz R,14:31,0,1,0,2,0,0,0,4,0/0
Golden Knights,Hurricanes,away,F,Brett Howden C,15:30,0,0,0,3,0,0,0,0,0/1
Golden Knights,Hurricanes,away,F,William Karlsson C,14:15,0,0,-1,6,0,0,0,0,3/10
Golden Knights,Hurricanes,away,F,Keegan Kolesar R,10:25,0,0,-1,0,0,2,1,0,0/0
Golden Knights,Hurricanes,away,F,Tanner Pearson L,12:36,0,0,-1,1,2,0,0,0,0/1
Golden Knights,Hurricanes,away,F,Jonas Rondbjerg R,09:49,0,0,-1,0,1,0,0,0,0/0
Golden Knights,Hurricanes,away,F,Nicolas Roy C,17:31,0,0,-3,1,0,0,0,3,1/12
Golden Knights,Hurricanes,away,F,Cole Schwindt R,11:08,0,0,-1,1,1,0,0,0,3/6
Golden Knights,Hurricanes,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Hurricanes,away,F,Noah Hanifin D,20:39,0,0,-2,3,0,0,1,2,0/0
Golden Knights,Hurricanes,away,F,Kaedan Korczak D,15:19,0,0,0,1,2,0,0,0,0/0
Golden Knights,Hurricanes,away,F,Brayden McNabb D,17:44,0,0,0,0,3,0,0,1,0/0
Golden Knights,Hurricanes,away,F,Alex Pietrangelo D,21:03,0,0,-3,0,1,0,0,2,0/0
Golden Knights,Hurricanes,away,F,Shea Theodore D,25:03,0,0,-3,3,1,0,1,2,0/0
Golden Knights,Hurricanes,away,F,Zach Whitecloud D,17:17,0,0,1,0,1,2,1,1,0/0
Golden Knights,Hurricanes,away,F,Ivan Barbashev C,14:43,1,0,0,1,0,2,0,0,0/0
Golden Knights,Hurricanes,away,F,Pavel Dorofeyev L,16:47,0,0,-2,4,1,2,0,0,0/0
Golden Knights,Hurricanes,away,F,Jack Eichel C,20:27,1,1,-2,4,1,0,0,1,7/17
Golden Knights,Hurricanes,away,F,Tomas Hertl C,17:35,0,0,-2,2,0,0,0,1,13/20
Golden Knights,Hurricanes,away,F,Alexander Holtz R,14:31,0,1,0,2,0,0,0,4,0/0
Golden Knights,Hurricanes,away,F,Brett Howden C,15:30,0,0,0,3,0,0,0,0,0/1
Golden Knights,Hurricanes,away,F,William Karlsson C,14:15,0,0,-1,6,0,0,0,0,3/10
Golden Knights,Hurricanes,away,F,Keegan Kolesar R,10:25,0,0,-1,0,0,2,1,0,0/0
Golden Knights,Hurricanes,away,F,Tanner Pearson L,12:36,0,0,-1,1,2,0,0,0,0/1
Golden Knights,Hurricanes,away,F,Jonas Rondbjerg R,09:49,0,0,-1,0,1,0,0,0,0/0
Golden Knights,Hurricanes,away,F,Nicolas Roy C,17:31,0,0,-3,1,0,0,0,3,1/12
Golden Knights,Hurricanes,away,F,Cole Schwindt R,11:08,0,0,-1,1,1,0,0,0,3/6
Golden Knights,Hurricanes,away,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Hurricanes,away,F,Noah Hanifin D,20:39,0,0,-2,3,0,0,1,2,0/0
Golden Knights,Hurricanes,away,F,Kaedan Korczak D,15:19,0,0,0,1,2,0,0,0,0/0
Golden Knights,Hurricanes,away,F,Brayden McNabb D,17:44,0,0,0,0,3,0,0,1,0/0
Golden Knights,Hurricanes,away,F,Alex Pietrangelo D,21:03,0,0,-3,0,1,0,0,2,0/0
Golden Knights,Hurricanes,away,F,Shea Theodore D,25:03,0,0,-3,3,1,0,1,2,0/0
Golden Knights,Hurricanes,away,F,Zach Whitecloud D,17:17,0,0,1,0,1,2,1,1,0/0
