team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Golden Knights,Ducks,home,D,Noah Hanifin D,22:09,0,0,-2,4,2,0,1,0,0/0
Golden Knights,Ducks,home,D,Ben Hutton D,15:45,0,0,0,1,1,0,0,0,0/0
Golden Knights,Ducks,home,D,Brayden McNabb D,21:21,0,0,1,0,5,0,1,1,0/0
Golden Knights,Ducks,home,D,Alex Pietrangelo D,22:44,0,0,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,home,D,Shea Theodore D,18:44,0,2,1,3,2,0,0,2,0/0
Golden Knights,Ducks,home,D,Zach Whitecloud D,17:35,0,0,1,1,0,0,0,1,0/0
Golden Knights,Ducks,home,D,Noah Hanifin D,22:09,0,0,-2,4,2,0,1,0,0/0
Golden Knights,Ducks,home,D,Ben Hutton D,15:45,0,0,0,1,1,0,0,0,0/0
Golden Knights,Ducks,home,D,Brayden McNabb D,21:21,0,0,1,0,5,0,1,1,0/0
Golden Knights,Ducks,home,D,Alex Pietrangelo D,22:44,0,0,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,home,D,Shea Theodore D,18:44,0,2,1,3,2,0,0,2,0/0
Golden Knights,Ducks,home,D,Zach Whitecloud D,17:35,0,0,1,1,0,0,0,1,0/0
Golden Knights,Ducks,home,F,Ivan Barbashev C,16:28,0,0,0,1,1,0,0,1,0/0
Golden Knights,Ducks,home,F,Grigori Denisenko L,08:27,0,0,0,0,0,2,0,0,0/1
Golden Knights,Ducks,home,F,Pavel Dorofeyev L,14:50,1,0,0,4,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Jack Eichel C,20:21,0,1,1,5,3,2,0,2,10/16
Golden Knights,Ducks,home,F,Tomas Hertl C,14:18,1,0,-1,5,0,0,0,1,6/10
Golden Knights,Ducks,home,F,Alexander Holtz R,11:29,0,0,0,1,0,0,0,2,0/0
Golden Knights,Ducks,home,F,Brett Howden C,15:12,0,0,-1,0,0,2,1,1,3/3
Golden Knights,Ducks,home,F,William Karlsson C,19:22,0,0,-1,3,2,0,0,1,5/10
Golden Knights,Ducks,home,F,Keegan Kolesar R,14:26,0,0,0,2,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Tanner Pearson L,13:33,0,0,0,1,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Nicolas Roy C,17:19,1,0,1,5,1,0,0,2,5/9
Golden Knights,Ducks,home,F,Cole Schwindt R,09:57,0,1,1,0,0,0,0,2,1/2
Golden Knights,Ducks,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Ducks,home,F,Noah Hanifin D,22:09,0,0,-2,4,2,0,1,0,0/0
Golden Knights,Ducks,home,F,Ben Hutton D,15:45,0,0,0,1,1,0,0,0,0/0
Golden Knights,Ducks,home,F,Brayden McNabb D,21:21,0,0,1,0,5,0,1,1,0/0
Golden Knights,Ducks,home,F,Alex Pietrangelo D,22:44,0,0,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,home,F,Shea Theodore D,18:44,0,2,1,3,2,0,0,2,0/0
Golden Knights,Ducks,home,F,Zach Whitecloud D,17:35,0,0,1,1,0,0,0,1,0/0
Golden Knights,Ducks,home,F,Ivan Barbashev C,16:28,0,0,0,1,1,0,0,1,0/0
Golden Knights,Ducks,home,F,Grigori Denisenko L,08:27,0,0,0,0,0,2,0,0,0/1
Golden Knights,Ducks,home,F,Pavel Dorofeyev L,14:50,1,0,0,4,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Jack Eichel C,20:21,0,1,1,5,3,2,0,2,10/16
Golden Knights,Ducks,home,F,Tomas Hertl C,14:18,1,0,-1,5,0,0,0,1,6/10
Golden Knights,Ducks,home,F,Alexander Holtz R,11:29,0,0,0,1,0,0,0,2,0/0
Golden Knights,Ducks,home,F,Brett Howden C,15:12,0,0,-1,0,0,2,1,1,3/3
Golden Knights,Ducks,home,F,William Karlsson C,19:22,0,0,-1,3,2,0,0,1,5/10
Golden Knights,Ducks,home,F,Keegan Kolesar R,14:26,0,0,0,2,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Tanner Pearson L,13:33,0,0,0,1,0,0,0,0,0/0
Golden Knights,Ducks,home,F,Nicolas Roy C,17:19,1,0,1,5,1,0,0,2,5/9
Golden Knights,Ducks,home,F,Cole Schwindt R,09:57,0,1,1,0,0,0,0,2,1/2
Golden Knights,Ducks,home,F,Golden Knights Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Golden Knights,Ducks,home,F,Noah Hanifin D,22:09,0,0,-2,4,2,0,1,0,0/0
Golden Knights,Ducks,home,F,Ben Hutton D,15:45,0,0,0,1,1,0,0,0,0/0
Golden Knights,Ducks,home,F,Brayden McNabb D,21:21,0,0,1,0,5,0,1,1,0/0
Golden Knights,Ducks,home,F,Alex Pietrangelo D,22:44,0,0,-1,3,2,0,0,1,0/0
Golden Knights,Ducks,home,F,Shea Theodore D,18:44,0,2,1,3,2,0,0,2,0/0
Golden Knights,Ducks,home,F,Zach Whitecloud D,17:35,0,0,1,1,0,0,0,1,0/0
