game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020004,2022-10-11,VGK,LAK,away,4,3,51,30,W,4,3,1,1,0,0,2,4,3,51,30,4.0,3.0,51.0,30.0,1.0
2022020019,2022-10-13,VGK,CHI,home,1,0,37,27,W,1,0,2,2,0,0,4,5,3,88,57,2.5,1.5,44.0,28.5,1.0
2022020037,2022-10-15,VGK,SEA,away,5,2,30,33,W,5,2,3,3,0,0,6,10,5,118,90,3.33,1.67,39.33,30.0,1.0
2022020055,2022-10-18,VGK,CGY,away,2,3,21,40,L,2,3,4,3,1,0,6,12,8,139,130,3.0,2.0,34.75,32.5,0.75
2022020070,2022-10-20,VGK,WPG,home,5,2,32,28,W,5,2,5,4,1,0,8,17,10,171,158,3.4,2.0,34.2,31.6,0.8
2022020086,2022-10-22,VGK,COL,home,2,3,35,25,L,2,3,6,4,2,0,8,19,13,206,183,3.17,2.17,34.33,30.5,0.667
2022020096,2022-10-24,VGK,TOR,home,3,1,33,23,W,3,1,7,5,2,0,10,22,14,239,206,3.14,2.0,34.14,29.43,0.714
2022020107,2022-10-25,VGK,SJS,away,4,2,31,31,W,4,2,8,6,2,0,12,26,16,270,237,3.25,2.0,33.75,29.62,0.75
2022020121,2022-10-28,VGK,ANA,home,4,0,22,29,W,4,0,9,7,2,0,14,30,16,292,266,3.33,1.78,32.44,29.56,0.778
2022020143,2022-10-30,VGK,WPG,home,2,1,48,24,W,2,1,10,8,2,0,16,32,17,340,290,3.2,1.7,34.0,29.0,0.8
2022020150,2022-11-01,VGK,WSH,away,3,2,31,21,W,3,2,11,9,2,0,18,35,19,371,311,3.18,1.73,33.73,28.27,0.818
2022020163,2022-11-03,VGK,OTT,away,5,4,32,46,W,5,4,12,10,2,0,20,40,23,403,357,3.33,1.92,33.58,29.75,0.833
2022020184,2022-11-05,VGK,MTL,away,6,4,42,31,W,6,4,13,11,2,0,22,46,27,445,388,3.54,2.08,34.23,29.85,0.846
2022020201,2022-11-08,VGK,TOR,away,4,3,20,31,W,4,3,14,12,2,0,24,50,30,465,419,3.57,2.14,33.21,29.93,0.857
2022020215,2022-11-10,VGK,BUF,away,7,4,36,35,W,7,4,15,13,2,0,26,57,34,501,454,3.8,2.27,33.4,30.27,0.867
2022020235,2022-11-12,VGK,STL,home,2,3,36,28,L,2,3,16,13,3,0,26,59,37,537,482,3.69,2.31,33.56,30.12,0.812
2022020256,2022-11-15,VGK,SJS,home,2,5,26,29,L,2,5,17,13,4,0,26,61,42,563,511,3.59,2.47,33.12,30.06,0.765
2022020270,2022-11-17,VGK,ARI,home,4,1,39,26,W,4,1,18,14,4,0,28,65,43,602,537,3.61,2.39,33.44,29.83,0.778
2022020287,2022-11-19,VGK,EDM,away,3,4,34,23,L,3,4,19,14,5,0,28,68,47,636,560,3.58,2.47,33.47,29.47,0.737
2022020300,2022-11-21,VGK,VAN,away,5,4,38,29,W,5,4,20,15,5,0,30,73,51,674,589,3.65,2.55,33.7,29.45,0.75
2022020315,2022-11-23,VGK,OTT,home,4,1,36,40,W,4,1,21,16,5,0,32,77,52,710,629,3.67,2.48,33.81,29.95,0.762
2022020329,2022-11-25,VGK,SEA,home,2,4,22,28,L,2,4,22,16,6,0,32,79,56,732,657,3.59,2.55,33.27,29.86,0.727
2022020340,2022-11-26,VGK,VAN,home,1,5,27,36,L,1,5,23,16,7,0,32,80,61,759,693,3.48,2.65,33.0,30.13,0.696
2022020349,2022-11-28,VGK,CBJ,away,3,2,36,28,W,3,2,24,17,7,0,34,83,63,795,721,3.46,2.62,33.12,30.04,0.708
2022020368,2022-12-01,VGK,PIT,away,3,4,37,47,L,3,4,25,17,8,0,34,86,67,832,768,3.44,2.68,33.28,30.72,0.68
2023020003,2023-10-10,VGK,SEA,home,4,1,28,33,W,4,1,26,18,8,0,36,90,68,860,801,3.46,2.62,33.08,30.81,0.692
2023020016,2023-10-12,VGK,SJS,away,4,1,32,23,W,4,1,27,19,8,0,38,94,69,892,824,3.48,2.56,33.04,30.52,0.704
2023020031,2023-10-14,VGK,ANA,home,4,1,38,23,W,4,1,28,20,8,0,40,98,70,930,847,3.5,2.5,33.21,30.25,0.714
2023020048,2023-10-17,VGK,DAL,home,3,2,34,26,W,3,2,29,21,8,0,42,101,72,964,873,3.48,2.48,33.24,30.1,0.724
2023020058,2023-10-19,VGK,WPG,away,5,3,27,39,W,5,3,30,22,8,0,44,106,75,991,912,3.53,2.5,33.03,30.4,0.733
2023020071,2023-10-21,VGK,CHI,away,5,3,24,24,W,5,3,31,23,8,0,46,111,78,1015,936,3.58,2.52,32.74,30.19,0.742
2023020098,2023-10-24,VGK,PHI,home,3,2,29,28,W,3,2,32,24,8,0,48,114,80,1044,964,3.56,2.5,32.62,30.12,0.75
2023020111,2023-10-27,VGK,CHI,home,3,4,21,24,L,3,4,33,24,9,0,48,117,84,1065,988,3.55,2.55,32.27,29.94,0.727
2023020125,2023-10-28,VGK,LAK,away,4,3,30,40,W,4,3,34,25,9,0,50,121,87,1095,1028,3.56,2.56,32.21,30.24,0.735
2023020138,2023-10-30,VGK,MTL,home,3,2,25,39,W,3,2,35,26,9,0,52,124,89,1120,1067,3.54,2.54,32.0,30.49,0.743
2023020155,2023-11-02,VGK,WPG,home,5,2,26,31,W,5,2,36,27,9,0,54,129,91,1146,1098,3.58,2.53,31.83,30.5,0.75
2023020173,2023-11-04,VGK,COL,home,7,0,34,41,W,7,0,37,28,9,0,56,136,91,1180,1139,3.68,2.46,31.89,30.78,0.757
2023020175,2023-11-05,VGK,ANA,away,2,4,32,23,L,2,4,38,28,10,0,56,138,95,1212,1162,3.63,2.5,31.89,30.58,0.737
2023020192,2023-11-08,VGK,LAK,home,1,4,38,33,L,1,4,39,28,11,0,56,139,99,1250,1195,3.56,2.54,32.05,30.64,0.718
2023020209,2023-11-10,VGK,SJS,home,5,0,39,20,W,5,0,40,29,11,0,58,144,99,1289,1215,3.6,2.48,32.22,30.38,0.725
2023020232,2023-11-14,VGK,WSH,away,0,3,35,31,L,0,3,41,29,12,0,58,144,102,1324,1246,3.51,2.49,32.29,30.39,0.707
2023020244,2023-11-16,VGK,MTL,away,6,5,42,28,W,6,5,42,30,12,0,60,150,107,1366,1274,3.57,2.55,32.52,30.33,0.714
2023020255,2023-11-18,VGK,PHI,away,3,4,31,38,L,3,4,43,30,13,0,60,153,111,1397,1312,3.56,2.58,32.49,30.51,0.698
2023020269,2023-11-19,VGK,PIT,away,0,3,38,32,L,0,3,44,30,14,0,60,153,114,1435,1344,3.48,2.59,32.61,30.55,0.682
2023020289,2023-11-22,VGK,DAL,away,2,1,26,32,W,2,1,45,31,14,0,62,155,115,1461,1376,3.44,2.56,32.47,30.58,0.689
2023020315,2023-11-25,VGK,ARI,home,0,2,34,18,L,0,2,46,31,15,0,62,155,117,1495,1394,3.37,2.54,32.5,30.3,0.674
2023020325,2023-11-27,VGK,CGY,away,1,2,28,34,L,1,2,47,31,16,0,62,156,119,1523,1428,3.32,2.53,32.4,30.38,0.66
2023020335,2023-11-28,VGK,EDM,away,4,5,27,34,L,4,5,48,31,17,0,62,160,124,1550,1462,3.33,2.58,32.29,30.46,0.646
2023020353,2023-11-30,VGK,VAN,away,4,1,44,22,W,4,1,49,32,17,0,64,164,125,1594,1484,3.35,2.55,32.53,30.29,0.653
