team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Devils,home,D,Ian Cole D,18:11,0,0,-1,0,4,4,0,0,0/0
Hockey Club,Devils,home,D,Sean Durzi D,09:09,0,0,0,1,2,0,0,1,0/0
Hockey Club,Devils,home,D,Michael Kesselring D,20:03,0,0,0,2,1,0,0,1,0/0
Hockey Club,Devils,home,D,Vladislav Kolyachonok D,15:57,0,0,-1,0,2,0,0,0,0/0
Hockey Club,Devils,home,D,Mikhail Sergachev D,28:25,0,0,0,2,1,2,0,0,0/0
Hockey Club,Devils,home,D,Juuso Valimaki D,21:12,0,0,0,1,2,2,1,0,0/0
Hockey Club,Devils,home,D,Ian Cole D,18:11,0,0,-1,0,4,4,0,0,0/0
Hockey Club,Devils,home,D,Sean Durzi D,09:09,0,0,0,1,2,0,0,1,0/0
Hockey Club,Devils,home,D,Michael Kesselring D,20:03,0,0,0,2,1,0,0,1,0/0
Hockey Club,Devils,home,D,Vladislav Kolyachonok D,15:57,0,0,-1,0,2,0,0,0,0/0
Hockey Club,Devils,home,D,Mikhail Sergachev D,28:25,0,0,0,2,1,2,0,0,0/0
Hockey Club,Devils,home,D,Juuso Valimaki D,21:12,0,0,0,1,2,2,1,0,0/0
Hockey Club,Devils,home,F,Logan Cooley C,15:26,0,0,0,3,1,0,0,1,2/4
Hockey Club,Devils,home,F,Lawson Crouse L,14:19,0,0,0,3,1,2,0,2,0/0
Hockey Club,Devils,home,F,Josh Doan R,15:46,0,0,0,0,1,2,1,0,2/3
Hockey Club,Devils,home,F,Dylan Guenther R,13:48,0,0,0,1,0,0,1,2,0/0
Hockey Club,Devils,home,F,Barrett Hayton C,14:37,0,0,0,1,1,0,0,0,6/11
Hockey Club,Devils,home,F,Clayton Keller R,16:59,0,0,0,3,1,0,0,1,0/0
Hockey Club,Devils,home,F,Alex Kerfoot C,15:31,0,0,0,3,1,0,0,2,5/6
Hockey Club,Devils,home,F,Matias Maccelli L,13:18,0,0,-1,0,1,0,0,1,0/0
Hockey Club,Devils,home,F,Jack McBain C,11:59,0,0,0,0,0,0,1,1,0/1
Hockey Club,Devils,home,F,Liam O'Brien C,08:52,0,0,-1,0,1,0,0,2,0/0
Hockey Club,Devils,home,F,Nick Schmaltz C,17:52,0,0,0,0,1,0,1,2,0/2
Hockey Club,Devils,home,F,Kevin Stenlund C,17:31,0,0,-1,0,3,0,1,0,10/17
Hockey Club,Devils,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Devils,home,F,Ian Cole D,18:11,0,0,-1,0,4,4,0,0,0/0
Hockey Club,Devils,home,F,Sean Durzi D,09:09,0,0,0,1,2,0,0,1,0/0
Hockey Club,Devils,home,F,Michael Kesselring D,20:03,0,0,0,2,1,0,0,1,0/0
Hockey Club,Devils,home,F,Vladislav Kolyachonok D,15:57,0,0,-1,0,2,0,0,0,0/0
Hockey Club,Devils,home,F,Mikhail Sergachev D,28:25,0,0,0,2,1,2,0,0,0/0
Hockey Club,Devils,home,F,Juuso Valimaki D,21:12,0,0,0,1,2,2,1,0,0/0
Hockey Club,Devils,home,F,Logan Cooley C,15:26,0,0,0,3,1,0,0,1,2/4
Hockey Club,Devils,home,F,Lawson Crouse L,14:19,0,0,0,3,1,2,0,2,0/0
Hockey Club,Devils,home,F,Josh Doan R,15:46,0,0,0,0,1,2,1,0,2/3
Hockey Club,Devils,home,F,Dylan Guenther R,13:48,0,0,0,1,0,0,1,2,0/0
Hockey Club,Devils,home,F,Barrett Hayton C,14:37,0,0,0,1,1,0,0,0,6/11
Hockey Club,Devils,home,F,Clayton Keller R,16:59,0,0,0,3,1,0,0,1,0/0
Hockey Club,Devils,home,F,Alex Kerfoot C,15:31,0,0,0,3,1,0,0,2,5/6
Hockey Club,Devils,home,F,Matias Maccelli L,13:18,0,0,-1,0,1,0,0,1,0/0
Hockey Club,Devils,home,F,Jack McBain C,11:59,0,0,0,0,0,0,1,1,0/1
Hockey Club,Devils,home,F,Liam O'Brien C,08:52,0,0,-1,0,1,0,0,2,0/0
Hockey Club,Devils,home,F,Nick Schmaltz C,17:52,0,0,0,0,1,0,1,2,0/2
Hockey Club,Devils,home,F,Kevin Stenlund C,17:31,0,0,-1,0,3,0,1,0,10/17
Hockey Club,Devils,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Devils,home,F,Ian Cole D,18:11,0,0,-1,0,4,4,0,0,0/0
Hockey Club,Devils,home,F,Sean Durzi D,09:09,0,0,0,1,2,0,0,1,0/0
Hockey Club,Devils,home,F,Michael Kesselring D,20:03,0,0,0,2,1,0,0,1,0/0
Hockey Club,Devils,home,F,Vladislav Kolyachonok D,15:57,0,0,-1,0,2,0,0,0,0/0
Hockey Club,Devils,home,F,Mikhail Sergachev D,28:25,0,0,0,2,1,2,0,0,0/0
Hockey Club,Devils,home,F,Juuso Valimaki D,21:12,0,0,0,1,2,2,1,0,0/0
