team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Ducks,home,D,Robert Bortuzzo D,10:02,0,0,-2,0,1,2,0,1,0/0
Hockey Club,Ducks,home,D,Ian Cole D,24:46,0,0,-2,0,4,0,1,2,0/0
Hockey Club,Ducks,home,D,Michael Kesselring D,21:58,1,1,3,1,2,0,0,3,0/0
Hockey Club,Ducks,home,D,Vladislav Kolyachonok D,10:14,0,0,-2,0,0,0,0,1,0/0
Hockey Club,Ducks,home,D,Mikhail Sergachev D,27:52,0,1,1,1,4,0,0,1,0/0
Hockey Club,Ducks,home,D,Juuso Valimaki D,22:30,0,0,-1,1,1,0,0,4,0/0
Hockey Club,Ducks,home,D,Robert Bortuzzo D,10:02,0,0,-2,0,1,2,0,1,0/0
Hockey Club,Ducks,home,D,Ian Cole D,24:46,0,0,-2,0,4,0,1,2,0/0
Hockey Club,Ducks,home,D,Michael Kesselring D,21:58,1,1,3,1,2,0,0,3,0/0
Hockey Club,Ducks,home,D,Vladislav Kolyachonok D,10:14,0,0,-2,0,0,0,0,1,0/0
Hockey Club,Ducks,home,D,Mikhail Sergachev D,27:52,0,1,1,1,4,0,0,1,0/0
Hockey Club,Ducks,home,D,Juuso Valimaki D,22:30,0,0,-1,1,1,0,0,4,0/0
Hockey Club,Ducks,home,F,Michael Carcone L,10:45,0,0,-1,1,0,0,0,0,0/1
Hockey Club,Ducks,home,F,Logan Cooley C,13:00,0,0,0,3,2,0,1,1,4/7
Hockey Club,Ducks,home,F,Lawson Crouse L,15:10,0,0,0,1,2,2,0,0,0/0
Hockey Club,Ducks,home,F,Josh Doan R,12:17,0,1,0,1,1,4,0,1,4/5
Hockey Club,Ducks,home,F,Dylan Guenther R,14:54,0,1,0,4,0,0,0,0,0/0
Hockey Club,Ducks,home,F,Barrett Hayton C,17:08,1,0,0,1,2,0,0,1,18/24
Hockey Club,Ducks,home,F,Clayton Keller R,18:46,1,0,-1,3,0,0,2,1,0/0
Hockey Club,Ducks,home,F,Alexander Kerfoot C,16:59,0,0,-1,3,2,0,1,2,5/16
Hockey Club,Ducks,home,F,Matias Maccelli L,12:25,0,0,-1,2,0,0,0,0,0/0
Hockey Club,Ducks,home,F,Jack McBain C,13:01,1,1,1,1,0,2,0,0,5/7
Hockey Club,Ducks,home,F,Nick Schmaltz C,18:48,0,2,-1,5,1,2,1,1,1/1
Hockey Club,Ducks,home,F,Kevin Stenlund C,12:07,0,0,-1,2,0,2,0,0,5/7
Hockey Club,Ducks,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Ducks,home,F,Robert Bortuzzo D,10:02,0,0,-2,0,1,2,0,1,0/0
Hockey Club,Ducks,home,F,Ian Cole D,24:46,0,0,-2,0,4,0,1,2,0/0
Hockey Club,Ducks,home,F,Michael Kesselring D,21:58,1,1,3,1,2,0,0,3,0/0
Hockey Club,Ducks,home,F,Vladislav Kolyachonok D,10:14,0,0,-2,0,0,0,0,1,0/0
Hockey Club,Ducks,home,F,Mikhail Sergachev D,27:52,0,1,1,1,4,0,0,1,0/0
Hockey Club,Ducks,home,F,Juuso Valimaki D,22:30,0,0,-1,1,1,0,0,4,0/0
Hockey Club,Ducks,home,F,Michael Carcone L,10:45,0,0,-1,1,0,0,0,0,0/1
Hockey Club,Ducks,home,F,Logan Cooley C,13:00,0,0,0,3,2,0,1,1,4/7
Hockey Club,Ducks,home,F,Lawson Crouse L,15:10,0,0,0,1,2,2,0,0,0/0
Hockey Club,Ducks,home,F,Josh Doan R,12:17,0,1,0,1,1,4,0,1,4/5
Hockey Club,Ducks,home,F,Dylan Guenther R,14:54,0,1,0,4,0,0,0,0,0/0
Hockey Club,Ducks,home,F,Barrett Hayton C,17:08,1,0,0,1,2,0,0,1,18/24
Hockey Club,Ducks,home,F,Clayton Keller R,18:46,1,0,-1,3,0,0,2,1,0/0
Hockey Club,Ducks,home,F,Alexander Kerfoot C,16:59,0,0,-1,3,2,0,1,2,5/16
Hockey Club,Ducks,home,F,Matias Maccelli L,12:25,0,0,-1,2,0,0,0,0,0/0
Hockey Club,Ducks,home,F,Jack McBain C,13:01,1,1,1,1,0,2,0,0,5/7
Hockey Club,Ducks,home,F,Nick Schmaltz C,18:48,0,2,-1,5,1,2,1,1,1/1
Hockey Club,Ducks,home,F,Kevin Stenlund C,12:07,0,0,-1,2,0,2,0,0,5/7
Hockey Club,Ducks,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Ducks,home,F,Robert Bortuzzo D,10:02,0,0,-2,0,1,2,0,1,0/0
Hockey Club,Ducks,home,F,Ian Cole D,24:46,0,0,-2,0,4,0,1,2,0/0
Hockey Club,Ducks,home,F,Michael Kesselring D,21:58,1,1,3,1,2,0,0,3,0/0
Hockey Club,Ducks,home,F,Vladislav Kolyachonok D,10:14,0,0,-2,0,0,0,0,1,0/0
Hockey Club,Ducks,home,F,Mikhail Sergachev D,27:52,0,1,1,1,4,0,0,1,0/0
Hockey Club,Ducks,home,F,Juuso Valimaki D,22:30,0,0,-1,1,1,0,0,4,0/0
