team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Avalanche,away,D,Ian Cole D,20:30,0,1,1,0,1,2,0,3,0/0
Hockey Club,Avalanche,away,D,Michael Kesselring D,19:40,0,0,0,1,0,2,1,3,0/0
Hockey Club,Avalanche,away,D,Vladislav Kolyachonok D,12:20,0,0,-3,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,D,Maveric Lamoureux D,18:50,0,0,1,1,3,0,0,1,0/0
Hockey Club,Avalanche,away,D,Mikhail Sergachev D,23:38,0,0,0,4,1,0,0,1,0/0
Hockey Club,Avalanche,away,D,Juuso Valimaki D,17:43,0,0,-3,0,2,0,0,0,0/0
Hockey Club,Avalanche,away,D,Ian Cole D,20:30,0,1,1,0,1,2,0,3,0/0
Hockey Club,Avalanche,away,D,Michael Kesselring D,19:40,0,0,0,1,0,2,1,3,0/0
Hockey Club,Avalanche,away,D,Vladislav Kolyachonok D,12:20,0,0,-3,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,D,Maveric Lamoureux D,18:50,0,0,1,1,3,0,0,1,0/0
Hockey Club,Avalanche,away,D,Mikhail Sergachev D,23:38,0,0,0,4,1,0,0,1,0/0
Hockey Club,Avalanche,away,D,Juuso Valimaki D,17:43,0,0,-3,0,2,0,0,0,0/0
Hockey Club,Avalanche,away,F,Logan Cooley C,13:20,0,0,-2,1,0,0,0,1,5/8
Hockey Club,Avalanche,away,F,Lawson Crouse L,14:29,1,0,0,2,0,2,0,1,0/0
Hockey Club,Avalanche,away,F,Josh Doan R,12:31,0,0,-1,2,0,0,2,0,1/2
Hockey Club,Avalanche,away,F,Dylan Guenther R,18:56,0,0,0,2,2,2,0,2,0/1
Hockey Club,Avalanche,away,F,Barrett Hayton C,19:39,0,0,-1,3,0,0,0,1,16/23
Hockey Club,Avalanche,away,F,Clayton Keller R,18:28,0,0,0,5,0,0,2,1,1/1
Hockey Club,Avalanche,away,F,Alexander Kerfoot C,14:13,0,0,0,1,1,0,0,0,6/7
Hockey Club,Avalanche,away,F,Matias Maccelli L,13:10,0,1,1,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,F,Jack McBain C,13:50,0,0,1,0,1,0,0,0,2/3
Hockey Club,Avalanche,away,F,Nick Schmaltz C,16:55,0,0,-3,1,0,0,0,1,0/1
Hockey Club,Avalanche,away,F,Kevin Stenlund C,13:50,0,0,0,3,0,0,0,0,8/9
Hockey Club,Avalanche,away,F,Kailer Yamamoto R,10:44,0,0,-1,0,0,0,0,0,2/2
Hockey Club,Avalanche,away,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Avalanche,away,F,Ian Cole D,20:30,0,1,1,0,1,2,0,3,0/0
Hockey Club,Avalanche,away,F,Michael Kesselring D,19:40,0,0,0,1,0,2,1,3,0/0
Hockey Club,Avalanche,away,F,Vladislav Kolyachonok D,12:20,0,0,-3,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,F,Maveric Lamoureux D,18:50,0,0,1,1,3,0,0,1,0/0
Hockey Club,Avalanche,away,F,Mikhail Sergachev D,23:38,0,0,0,4,1,0,0,1,0/0
Hockey Club,Avalanche,away,F,Juuso Valimaki D,17:43,0,0,-3,0,2,0,0,0,0/0
Hockey Club,Avalanche,away,F,Logan Cooley C,13:20,0,0,-2,1,0,0,0,1,5/8
Hockey Club,Avalanche,away,F,Lawson Crouse L,14:29,1,0,0,2,0,2,0,1,0/0
Hockey Club,Avalanche,away,F,Josh Doan R,12:31,0,0,-1,2,0,0,2,0,1/2
Hockey Club,Avalanche,away,F,Dylan Guenther R,18:56,0,0,0,2,2,2,0,2,0/1
Hockey Club,Avalanche,away,F,Barrett Hayton C,19:39,0,0,-1,3,0,0,0,1,16/23
Hockey Club,Avalanche,away,F,Clayton Keller R,18:28,0,0,0,5,0,0,2,1,1/1
Hockey Club,Avalanche,away,F,Alexander Kerfoot C,14:13,0,0,0,1,1,0,0,0,6/7
Hockey Club,Avalanche,away,F,Matias Maccelli L,13:10,0,1,1,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,F,Jack McBain C,13:50,0,0,1,0,1,0,0,0,2/3
Hockey Club,Avalanche,away,F,Nick Schmaltz C,16:55,0,0,-3,1,0,0,0,1,0/1
Hockey Club,Avalanche,away,F,Kevin Stenlund C,13:50,0,0,0,3,0,0,0,0,8/9
Hockey Club,Avalanche,away,F,Kailer Yamamoto R,10:44,0,0,-1,0,0,0,0,0,2/2
Hockey Club,Avalanche,away,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Avalanche,away,F,Ian Cole D,20:30,0,1,1,0,1,2,0,3,0/0
Hockey Club,Avalanche,away,F,Michael Kesselring D,19:40,0,0,0,1,0,2,1,3,0/0
Hockey Club,Avalanche,away,F,Vladislav Kolyachonok D,12:20,0,0,-3,0,0,0,0,2,0/0
Hockey Club,Avalanche,away,F,Maveric Lamoureux D,18:50,0,0,1,1,3,0,0,1,0/0
Hockey Club,Avalanche,away,F,Mikhail Sergachev D,23:38,0,0,0,4,1,0,0,1,0/0
Hockey Club,Avalanche,away,F,Juuso Valimaki D,17:43,0,0,-3,0,2,0,0,0,0/0
