team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Kings,home,D,Robert Bortuzzo D,12:09,0,0,-1,2,2,0,0,1,0/0
Hockey Club,Kings,home,D,Ian Cole D,18:06,0,0,0,3,0,2,2,0,0/0
Hockey Club,Kings,home,D,Michael Kesselring D,23:47,0,1,0,2,0,2,0,0,0/0
Hockey Club,Kings,home,D,Vladislav Kolyachonok D,13:31,0,0,1,0,1,0,0,0,0/0
Hockey Club,Kings,home,D,Maveric Lamoureux D,20:40,0,0,-1,1,0,2,1,4,0/0
Hockey Club,Kings,home,D,Mikhail Sergachev D,26:18,0,1,0,1,1,0,1,2,0/0
Hockey Club,Kings,home,D,Robert Bortuzzo D,12:09,0,0,-1,2,2,0,0,1,0/0
Hockey Club,Kings,home,D,Ian Cole D,18:06,0,0,0,3,0,2,2,0,0/0
Hockey Club,Kings,home,D,Michael Kesselring D,23:47,0,1,0,2,0,2,0,0,0/0
Hockey Club,Kings,home,D,Vladislav Kolyachonok D,13:31,0,0,1,0,1,0,0,0,0/0
Hockey Club,Kings,home,D,Maveric Lamoureux D,20:40,0,0,-1,1,0,2,1,4,0/0
Hockey Club,Kings,home,D,Mikhail Sergachev D,26:18,0,1,0,1,1,0,1,2,0/0
Hockey Club,Kings,home,F,Nick Bjugstad C,12:49,0,0,-1,0,0,0,0,1,6/10
Hockey Club,Kings,home,F,Logan Cooley C,15:05,1,0,1,3,0,0,0,0,1/4
Hockey Club,Kings,home,F,Lawson Crouse L,14:31,0,0,-1,3,0,0,0,2,0/0
Hockey Club,Kings,home,F,Josh Doan R,08:44,0,0,0,0,0,0,1,0,1/2
Hockey Club,Kings,home,F,Dylan Guenther R,15:33,0,1,2,0,0,0,0,0,0/0
Hockey Club,Kings,home,F,Barrett Hayton C,18:25,0,0,1,3,2,0,0,2,11/17
Hockey Club,Kings,home,F,Clayton Keller R,21:46,1,0,1,3,1,0,1,1,1/2
Hockey Club,Kings,home,F,Alexander Kerfoot C,15:26,0,0,-1,1,3,0,0,1,5/5
Hockey Club,Kings,home,F,Matias Maccelli L,14:02,0,0,-1,0,1,0,0,0,0/1
Hockey Club,Kings,home,F,Jack McBain C,12:04,0,0,0,0,1,0,0,0,0/2
Hockey Club,Kings,home,F,Nick Schmaltz C,17:13,0,1,1,1,1,0,0,1,0/2
Hockey Club,Kings,home,F,Kevin Stenlund C,16:32,0,0,-1,2,1,0,1,1,11/15
Hockey Club,Kings,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Kings,home,F,Robert Bortuzzo D,12:09,0,0,-1,2,2,0,0,1,0/0
Hockey Club,Kings,home,F,Ian Cole D,18:06,0,0,0,3,0,2,2,0,0/0
Hockey Club,Kings,home,F,Michael Kesselring D,23:47,0,1,0,2,0,2,0,0,0/0
Hockey Club,Kings,home,F,Vladislav Kolyachonok D,13:31,0,0,1,0,1,0,0,0,0/0
Hockey Club,Kings,home,F,Maveric Lamoureux D,20:40,0,0,-1,1,0,2,1,4,0/0
Hockey Club,Kings,home,F,Mikhail Sergachev D,26:18,0,1,0,1,1,0,1,2,0/0
Hockey Club,Kings,home,F,Nick Bjugstad C,12:49,0,0,-1,0,0,0,0,1,6/10
Hockey Club,Kings,home,F,Logan Cooley C,15:05,1,0,1,3,0,0,0,0,1/4
Hockey Club,Kings,home,F,Lawson Crouse L,14:31,0,0,-1,3,0,0,0,2,0/0
Hockey Club,Kings,home,F,Josh Doan R,08:44,0,0,0,0,0,0,1,0,1/2
Hockey Club,Kings,home,F,Dylan Guenther R,15:33,0,1,2,0,0,0,0,0,0/0
Hockey Club,Kings,home,F,Barrett Hayton C,18:25,0,0,1,3,2,0,0,2,11/17
Hockey Club,Kings,home,F,Clayton Keller R,21:46,1,0,1,3,1,0,1,1,1/2
Hockey Club,Kings,home,F,Alexander Kerfoot C,15:26,0,0,-1,1,3,0,0,1,5/5
Hockey Club,Kings,home,F,Matias Maccelli L,14:02,0,0,-1,0,1,0,0,0,0/1
Hockey Club,Kings,home,F,Jack McBain C,12:04,0,0,0,0,1,0,0,0,0/2
Hockey Club,Kings,home,F,Nick Schmaltz C,17:13,0,1,1,1,1,0,0,1,0/2
Hockey Club,Kings,home,F,Kevin Stenlund C,16:32,0,0,-1,2,1,0,1,1,11/15
Hockey Club,Kings,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Kings,home,F,Robert Bortuzzo D,12:09,0,0,-1,2,2,0,0,1,0/0
Hockey Club,Kings,home,F,Ian Cole D,18:06,0,0,0,3,0,2,2,0,0/0
Hockey Club,Kings,home,F,Michael Kesselring D,23:47,0,1,0,2,0,2,0,0,0/0
Hockey Club,Kings,home,F,Vladislav Kolyachonok D,13:31,0,0,1,0,1,0,0,0,0/0
Hockey Club,Kings,home,F,Maveric Lamoureux D,20:40,0,0,-1,1,0,2,1,4,0/0
Hockey Club,Kings,home,F,Mikhail Sergachev D,26:18,0,1,0,1,1,0,1,2,0/0
