team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Sharks,away,D,Robert Bortuzzo D,12:55,0,0,-1,0,4,0,0,1,0/0
Hockey Club,Sharks,away,D,Ian Cole D,22:05,0,2,1,2,4,0,0,3,0/0
Hockey Club,Sharks,away,D,Michael Kesselring D,22:42,0,0,-1,1,1,2,0,1,0/0
Hockey Club,Sharks,away,D,Vladislav Kolyachonok D,15:40,0,2,1,0,1,0,1,3,0/0
Hockey Club,Sharks,away,D,Maveric Lamoureux D,17:52,0,0,1,0,1,0,0,0,0/0
Hockey Club,Sharks,away,D,Mikhail Sergachev D,26:35,1,0,-1,4,1,0,0,1,0/0
Hockey Club,Sharks,away,D,Robert Bortuzzo D,12:55,0,0,-1,0,4,0,0,1,0/0
Hockey Club,Sharks,away,D,Ian Cole D,22:05,0,2,1,2,4,0,0,3,0/0
Hockey Club,Sharks,away,D,Michael Kesselring D,22:42,0,0,-1,1,1,2,0,1,0/0
Hockey Club,Sharks,away,D,Vladislav Kolyachonok D,15:40,0,2,1,0,1,0,1,3,0/0
Hockey Club,Sharks,away,D,Maveric Lamoureux D,17:52,0,0,1,0,1,0,0,0,0/0
Hockey Club,Sharks,away,D,Mikhail Sergachev D,26:35,1,0,-1,4,1,0,0,1,0/0
Hockey Club,Sharks,away,F,Nick Bjugstad C,13:17,0,0,-1,2,0,2,0,0,4/8
Hockey Club,Sharks,away,F,Logan Cooley C,18:26,0,1,2,2,0,2,1,0,8/15
Hockey Club,Sharks,away,F,Lawson Crouse L,16:02,0,0,-1,2,2,0,0,0,0/0
Hockey Club,Sharks,away,F,Dylan Guenther R,19:46,1,0,2,3,1,2,1,0,0/1
Hockey Club,Sharks,away,F,Barrett Hayton C,15:27,0,0,1,0,0,0,0,1,7/12
Hockey Club,Sharks,away,F,Clayton Keller R,18:58,0,1,2,2,0,0,1,1,0/2
Hockey Club,Sharks,away,F,Alexander Kerfoot C,15:06,0,0,-1,0,1,0,0,1,3/8
Hockey Club,Sharks,away,F,Matias Maccelli L,13:57,2,0,1,3,0,0,0,0,0/0
Hockey Club,Sharks,away,F,Jack McBain C,11:44,0,0,-2,0,2,0,0,1,4/4
Hockey Club,Sharks,away,F,Liam O'Brien C,07:12,0,0,-1,0,0,5,0,0,0/0
Hockey Club,Sharks,away,F,Nick Schmaltz C,17:04,0,1,1,2,0,0,0,2,2/4
Hockey Club,Sharks,away,F,Kevin Stenlund C,13:30,0,0,-3,0,1,0,0,0,11/18
Hockey Club,Sharks,away,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Sharks,away,F,Robert Bortuzzo D,12:55,0,0,-1,0,4,0,0,1,0/0
Hockey Club,Sharks,away,F,Ian Cole D,22:05,0,2,1,2,4,0,0,3,0/0
Hockey Club,Sharks,away,F,Michael Kesselring D,22:42,0,0,-1,1,1,2,0,1,0/0
Hockey Club,Sharks,away,F,Vladislav Kolyachonok D,15:40,0,2,1,0,1,0,1,3,0/0
Hockey Club,Sharks,away,F,Maveric Lamoureux D,17:52,0,0,1,0,1,0,0,0,0/0
Hockey Club,Sharks,away,F,Mikhail Sergachev D,26:35,1,0,-1,4,1,0,0,1,0/0
Hockey Club,Sharks,away,F,Nick Bjugstad C,13:17,0,0,-1,2,0,2,0,0,4/8
Hockey Club,Sharks,away,F,Logan Cooley C,18:26,0,1,2,2,0,2,1,0,8/15
Hockey Club,Sharks,away,F,Lawson Crouse L,16:02,0,0,-1,2,2,0,0,0,0/0
Hockey Club,Sharks,away,F,Dylan Guenther R,19:46,1,0,2,3,1,2,1,0,0/1
Hockey Club,Sharks,away,F,Barrett Hayton C,15:27,0,0,1,0,0,0,0,1,7/12
Hockey Club,Sharks,away,F,Clayton Keller R,18:58,0,1,2,2,0,0,1,1,0/2
Hockey Club,Sharks,away,F,Alexander Kerfoot C,15:06,0,0,-1,0,1,0,0,1,3/8
Hockey Club,Sharks,away,F,Matias Maccelli L,13:57,2,0,1,3,0,0,0,0,0/0
Hockey Club,Sharks,away,F,Jack McBain C,11:44,0,0,-2,0,2,0,0,1,4/4
Hockey Club,Sharks,away,F,Liam O'Brien C,07:12,0,0,-1,0,0,5,0,0,0/0
Hockey Club,Sharks,away,F,Nick Schmaltz C,17:04,0,1,1,2,0,0,0,2,2/4
Hockey Club,Sharks,away,F,Kevin Stenlund C,13:30,0,0,-3,0,1,0,0,0,11/18
Hockey Club,Sharks,away,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORobert
Hockey Club,Sharks,away,F,Robert Bortuzzo D,12:55,0,0,-1,0,4,0,0,1,0/0
Hockey Club,Sharks,away,F,Ian Cole D,22:05,0,2,1,2,4,0,0,3,0/0
Hockey Club,Sharks,away,F,Michael Kesselring D,22:42,0,0,-1,1,1,2,0,1,0/0
Hockey Club,Sharks,away,F,Vladislav Kolyachonok D,15:40,0,2,1,0,1,0,1,3,0/0
Hockey Club,Sharks,away,F,Maveric Lamoureux D,17:52,0,0,1,0,1,0,0,0,0/0
Hockey Club,Sharks,away,F,Mikhail Sergachev D,26:35,1,0,-1,4,1,0,0,1,0/0
