team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hockey Club,Blues,home,D,Ian Cole D,22:37,0,0,0,0,4,0,1,1,0/0
Hockey Club,Blues,home,D,Michael Kesselring D,23:23,1,0,2,3,0,0,0,2,0/0
Hockey Club,Blues,home,D,Maveric Lamoureux D,05:26,0,0,0,1,0,20,0,0,0/0
Hockey Club,Blues,home,D,Olli Maatta D,20:37,0,0,1,0,0,0,0,1,0/0
Hockey Club,Blues,home,D,Mikhail Sergachev D,28:00,0,1,2,1,4,0,1,5,0/0
Hockey Club,Blues,home,D,Juuso Valimaki D,16:00,0,0,-1,0,3,0,0,1,0/0
Hockey Club,Blues,home,D,Ian Cole D,22:37,0,0,0,0,4,0,1,1,0/0
Hockey Club,Blues,home,D,Michael Kesselring D,23:23,1,0,2,3,0,0,0,2,0/0
Hockey Club,Blues,home,D,Maveric Lamoureux D,05:26,0,0,0,1,0,20,0,0,0/0
Hockey Club,Blues,home,D,Olli Maatta D,20:37,0,0,1,0,0,0,0,1,0/0
Hockey Club,Blues,home,D,Mikhail Sergachev D,28:00,0,1,2,1,4,0,1,5,0/0
Hockey Club,Blues,home,D,Juuso Valimaki D,16:00,0,0,-1,0,3,0,0,1,0/0
Hockey Club,Blues,home,F,Nick Bjugstad C,16:19,0,0,0,1,2,0,0,0,6/12
Hockey Club,Blues,home,F,Michael Carcone L,11:19,0,0,0,3,1,0,0,0,0/0
Hockey Club,Blues,home,F,Logan Cooley C,12:37,0,1,2,3,0,0,0,1,2/5
Hockey Club,Blues,home,F,Lawson Crouse L,18:28,0,0,0,4,0,0,1,0,0/0
Hockey Club,Blues,home,F,Dylan Guenther R,14:01,1,1,2,3,0,0,0,1,1/2
Hockey Club,Blues,home,F,Barrett Hayton C,12:50,0,1,0,1,1,0,1,0,13/16
Hockey Club,Blues,home,F,Clayton Keller R,15:30,0,1,-1,1,0,2,0,1,1/1
Hockey Club,Blues,home,F,Alexander Kerfoot C,19:56,0,0,0,3,0,0,1,1,4/10
Hockey Club,Blues,home,F,Matias Maccelli L,11:25,1,0,2,3,0,0,0,1,0/0
Hockey Club,Blues,home,F,Jack McBain C,12:56,1,0,1,1,2,0,0,0,2/3
Hockey Club,Blues,home,F,Nick Schmaltz C,14:47,0,1,0,1,1,0,0,0,0/2
Hockey Club,Blues,home,F,Kevin Stenlund C,14:54,0,0,0,2,1,0,0,1,8/11
Hockey Club,Blues,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Blues,home,F,Ian Cole D,22:37,0,0,0,0,4,0,1,1,0/0
Hockey Club,Blues,home,F,Michael Kesselring D,23:23,1,0,2,3,0,0,0,2,0/0
Hockey Club,Blues,home,F,Maveric Lamoureux D,05:26,0,0,0,1,0,20,0,0,0/0
Hockey Club,Blues,home,F,Olli Maatta D,20:37,0,0,1,0,0,0,0,1,0/0
Hockey Club,Blues,home,F,Mikhail Sergachev D,28:00,0,1,2,1,4,0,1,5,0/0
Hockey Club,Blues,home,F,Juuso Valimaki D,16:00,0,0,-1,0,3,0,0,1,0/0
Hockey Club,Blues,home,F,Nick Bjugstad C,16:19,0,0,0,1,2,0,0,0,6/12
Hockey Club,Blues,home,F,Michael Carcone L,11:19,0,0,0,3,1,0,0,0,0/0
Hockey Club,Blues,home,F,Logan Cooley C,12:37,0,1,2,3,0,0,0,1,2/5
Hockey Club,Blues,home,F,Lawson Crouse L,18:28,0,0,0,4,0,0,1,0,0/0
Hockey Club,Blues,home,F,Dylan Guenther R,14:01,1,1,2,3,0,0,0,1,1/2
Hockey Club,Blues,home,F,Barrett Hayton C,12:50,0,1,0,1,1,0,1,0,13/16
Hockey Club,Blues,home,F,Clayton Keller R,15:30,0,1,-1,1,0,2,0,1,1/1
Hockey Club,Blues,home,F,Alexander Kerfoot C,19:56,0,0,0,3,0,0,1,1,4/10
Hockey Club,Blues,home,F,Matias Maccelli L,11:25,1,0,2,3,0,0,0,1,0/0
Hockey Club,Blues,home,F,Jack McBain C,12:56,1,0,1,1,2,0,0,0,2/3
Hockey Club,Blues,home,F,Nick Schmaltz C,14:47,0,1,0,1,1,0,0,0,0/2
Hockey Club,Blues,home,F,Kevin Stenlund C,14:54,0,0,0,2,1,0,0,1,8/11
Hockey Club,Blues,home,F,Hockey Club Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOIan
Hockey Club,Blues,home,F,Ian Cole D,22:37,0,0,0,0,4,0,1,1,0/0
Hockey Club,Blues,home,F,Michael Kesselring D,23:23,1,0,2,3,0,0,0,2,0/0
Hockey Club,Blues,home,F,Maveric Lamoureux D,05:26,0,0,0,1,0,20,0,0,0/0
Hockey Club,Blues,home,F,Olli Maatta D,20:37,0,0,1,0,0,0,0,1,0/0
Hockey Club,Blues,home,F,Mikhail Sergachev D,28:00,0,1,2,1,4,0,1,5,0/0
Hockey Club,Blues,home,F,Juuso Valimaki D,16:00,0,0,-1,0,3,0,0,1,0/0
