team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Lightning,away,D,Brent Burns D,16:58,0,0,-1,1,0,2,0,1,0/0
Hurricanes,Lightning,away,D,Jalen Chatfield D,18:20,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,D,Shayne Gostisbehere D,22:31,0,0,-2,3,2,2,0,1,0/0
Hurricanes,Lightning,away,D,Dmitry Orlov D,20:13,0,0,0,2,1,2,0,2,0/0
Hurricanes,Lightning,away,D,Jaccob Slavin D,18:29,0,0,1,0,2,0,0,2,0/0
Hurricanes,Lightning,away,D,Sean Walker D,18:09,0,0,0,2,0,2,0,1,0/0
Hurricanes,Lightning,away,D,Brent Burns D,16:58,0,0,-1,1,0,2,0,1,0/0
Hurricanes,Lightning,away,D,Jalen Chatfield D,18:20,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,D,Shayne Gostisbehere D,22:31,0,0,-2,3,2,2,0,1,0/0
Hurricanes,Lightning,away,D,Dmitry Orlov D,20:13,0,0,0,2,1,2,0,2,0/0
Hurricanes,Lightning,away,D,Jaccob Slavin D,18:29,0,0,1,0,2,0,0,2,0/0
Hurricanes,Lightning,away,D,Sean Walker D,18:09,0,0,0,2,0,2,0,1,0/0
Hurricanes,Lightning,away,F,Sebastian Aho C,19:18,0,0,-2,2,1,2,0,3,5/14
Hurricanes,Lightning,away,F,Jackson Blake R,10:57,0,0,0,1,0,0,0,0,0/0
Hurricanes,Lightning,away,F,William Carrier L,11:23,0,1,1,1,0,0,0,0,0/0
Hurricanes,Lightning,away,F,Jack Drury C,09:59,0,0,0,0,0,0,0,0,8/11
Hurricanes,Lightning,away,F,Seth Jarvis C,21:06,0,0,-2,2,1,2,0,0,1/4
Hurricanes,Lightning,away,F,Jesperi Kotkaniemi C,17:22,0,0,0,0,0,0,0,0,10/16
Hurricanes,Lightning,away,F,Jordan Martinook L,12:17,0,0,1,0,0,0,1,1,0/2
Hurricanes,Lightning,away,F,Martin Necas C,18:49,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,F,Eric Robinson L,09:43,0,0,0,0,2,0,0,0,0/1
Hurricanes,Lightning,away,F,Jack Roslovic C,15:42,0,0,0,1,0,0,0,2,1/3
Hurricanes,Lightning,away,F,Jordan Staal C,15:00,1,0,-1,1,1,0,0,0,10/15
Hurricanes,Lightning,away,F,Andrei Svechnikov R,17:18,0,0,-2,5,0,0,0,3,0/0
Hurricanes,Lightning,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Lightning,away,F,Brent Burns D,16:58,0,0,-1,1,0,2,0,1,0/0
Hurricanes,Lightning,away,F,Jalen Chatfield D,18:20,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,F,Shayne Gostisbehere D,22:31,0,0,-2,3,2,2,0,1,0/0
Hurricanes,Lightning,away,F,Dmitry Orlov D,20:13,0,0,0,2,1,2,0,2,0/0
Hurricanes,Lightning,away,F,Jaccob Slavin D,18:29,0,0,1,0,2,0,0,2,0/0
Hurricanes,Lightning,away,F,Sean Walker D,18:09,0,0,0,2,0,2,0,1,0/0
Hurricanes,Lightning,away,F,Sebastian Aho C,19:18,0,0,-2,2,1,2,0,3,5/14
Hurricanes,Lightning,away,F,Jackson Blake R,10:57,0,0,0,1,0,0,0,0,0/0
Hurricanes,Lightning,away,F,William Carrier L,11:23,0,1,1,1,0,0,0,0,0/0
Hurricanes,Lightning,away,F,Jack Drury C,09:59,0,0,0,0,0,0,0,0,8/11
Hurricanes,Lightning,away,F,Seth Jarvis C,21:06,0,0,-2,2,1,2,0,0,1/4
Hurricanes,Lightning,away,F,Jesperi Kotkaniemi C,17:22,0,0,0,0,0,0,0,0,10/16
Hurricanes,Lightning,away,F,Jordan Martinook L,12:17,0,0,1,0,0,0,1,1,0/2
Hurricanes,Lightning,away,F,Martin Necas C,18:49,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,F,Eric Robinson L,09:43,0,0,0,0,2,0,0,0,0/1
Hurricanes,Lightning,away,F,Jack Roslovic C,15:42,0,0,0,1,0,0,0,2,1/3
Hurricanes,Lightning,away,F,Jordan Staal C,15:00,1,0,-1,1,1,0,0,0,10/15
Hurricanes,Lightning,away,F,Andrei Svechnikov R,17:18,0,0,-2,5,0,0,0,3,0/0
Hurricanes,Lightning,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Lightning,away,F,Brent Burns D,16:58,0,0,-1,1,0,2,0,1,0/0
Hurricanes,Lightning,away,F,Jalen Chatfield D,18:20,0,0,0,0,1,0,0,0,0/0
Hurricanes,Lightning,away,F,Shayne Gostisbehere D,22:31,0,0,-2,3,2,2,0,1,0/0
Hurricanes,Lightning,away,F,Dmitry Orlov D,20:13,0,0,0,2,1,2,0,2,0/0
Hurricanes,Lightning,away,F,Jaccob Slavin D,18:29,0,0,1,0,2,0,0,2,0/0
Hurricanes,Lightning,away,F,Sean Walker D,18:09,0,0,0,2,0,2,0,1,0/0
