team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Penguins,home,D,Brent Burns D,20:29,0,0,0,6,1,0,1,1,0/0
Hurricanes,Penguins,home,D,Jalen Chatfield D,19:51,0,0,1,0,0,0,0,0,0/0
Hurricanes,Penguins,home,D,Shayne Gostisbehere D,15:55,1,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,home,D,Dmitry Orlov D,21:09,0,1,2,2,1,0,0,2,0/0
Hurricanes,Penguins,home,D,Jaccob Slavin D,22:30,0,0,0,2,3,0,1,0,0/0
Hurricanes,Penguins,home,D,Sean Walker D,14:57,0,0,-1,1,1,4,0,2,0/0
Hurricanes,Penguins,home,D,Brent Burns D,20:29,0,0,0,6,1,0,1,1,0/0
Hurricanes,Penguins,home,D,Jalen Chatfield D,19:51,0,0,1,0,0,0,0,0,0/0
Hurricanes,Penguins,home,D,Shayne Gostisbehere D,15:55,1,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,home,D,Dmitry Orlov D,21:09,0,1,2,2,1,0,0,2,0/0
Hurricanes,Penguins,home,D,Jaccob Slavin D,22:30,0,0,0,2,3,0,1,0,0/0
Hurricanes,Penguins,home,D,Sean Walker D,14:57,0,0,-1,1,1,4,0,2,0/0
Hurricanes,Penguins,home,F,Sebastian Aho C,20:16,0,1,0,2,1,0,1,2,2/7
Hurricanes,Penguins,home,F,Jackson Blake R,09:48,1,0,1,3,0,4,1,1,1/1
Hurricanes,Penguins,home,F,William Carrier L,13:57,0,0,0,2,0,2,1,0,0/0
Hurricanes,Penguins,home,F,Jack Drury C,14:25,0,0,0,1,0,0,0,1,7/10
Hurricanes,Penguins,home,F,Seth Jarvis C,19:06,0,1,0,2,4,0,0,1,2/3
Hurricanes,Penguins,home,F,Jesperi Kotkaniemi C,14:14,0,2,1,3,2,0,0,1,1/11
Hurricanes,Penguins,home,F,Jordan Martinook L,17:06,0,0,0,2,1,0,0,1,0/0
Hurricanes,Penguins,home,F,Martin Necas C,15:48,1,1,0,3,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Eric Robinson L,09:36,0,1,1,2,0,2,0,0,0/1
Hurricanes,Penguins,home,F,Jack Roslovic C,12:27,1,0,0,4,1,0,1,0,1/1
Hurricanes,Penguins,home,F,Jordan Staal C,13:41,0,0,0,0,2,0,0,0,13/23
Hurricanes,Penguins,home,F,Andrei Svechnikov R,16:16,0,1,0,3,1,0,0,2,0/0
Hurricanes,Penguins,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Penguins,home,F,Brent Burns D,20:29,0,0,0,6,1,0,1,1,0/0
Hurricanes,Penguins,home,F,Jalen Chatfield D,19:51,0,0,1,0,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Shayne Gostisbehere D,15:55,1,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Dmitry Orlov D,21:09,0,1,2,2,1,0,0,2,0/0
Hurricanes,Penguins,home,F,Jaccob Slavin D,22:30,0,0,0,2,3,0,1,0,0/0
Hurricanes,Penguins,home,F,Sean Walker D,14:57,0,0,-1,1,1,4,0,2,0/0
Hurricanes,Penguins,home,F,Sebastian Aho C,20:16,0,1,0,2,1,0,1,2,2/7
Hurricanes,Penguins,home,F,Jackson Blake R,09:48,1,0,1,3,0,4,1,1,1/1
Hurricanes,Penguins,home,F,William Carrier L,13:57,0,0,0,2,0,2,1,0,0/0
Hurricanes,Penguins,home,F,Jack Drury C,14:25,0,0,0,1,0,0,0,1,7/10
Hurricanes,Penguins,home,F,Seth Jarvis C,19:06,0,1,0,2,4,0,0,1,2/3
Hurricanes,Penguins,home,F,Jesperi Kotkaniemi C,14:14,0,2,1,3,2,0,0,1,1/11
Hurricanes,Penguins,home,F,Jordan Martinook L,17:06,0,0,0,2,1,0,0,1,0/0
Hurricanes,Penguins,home,F,Martin Necas C,15:48,1,1,0,3,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Eric Robinson L,09:36,0,1,1,2,0,2,0,0,0/1
Hurricanes,Penguins,home,F,Jack Roslovic C,12:27,1,0,0,4,1,0,1,0,1/1
Hurricanes,Penguins,home,F,Jordan Staal C,13:41,0,0,0,0,2,0,0,0,13/23
Hurricanes,Penguins,home,F,Andrei Svechnikov R,16:16,0,1,0,3,1,0,0,2,0/0
Hurricanes,Penguins,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Penguins,home,F,Brent Burns D,20:29,0,0,0,6,1,0,1,1,0/0
Hurricanes,Penguins,home,F,Jalen Chatfield D,19:51,0,0,1,0,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Shayne Gostisbehere D,15:55,1,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,home,F,Dmitry Orlov D,21:09,0,1,2,2,1,0,0,2,0/0
Hurricanes,Penguins,home,F,Jaccob Slavin D,22:30,0,0,0,2,3,0,1,0,0/0
Hurricanes,Penguins,home,F,Sean Walker D,14:57,0,0,-1,1,1,4,0,2,0/0
