team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Blues,home,D,Brent Burns D,22:51,0,0,-1,1,2,0,0,1,0/0
Hurricanes,Blues,home,D,Jalen Chatfield D,18:34,0,0,-1,2,0,0,0,1,0/0
Hurricanes,Blues,home,D,Shayne Gostisbehere D,17:48,1,0,0,2,1,4,3,0,0/0
Hurricanes,Blues,home,D,Dmitry Orlov D,19:35,0,0,-1,1,0,0,2,0,0/0
Hurricanes,Blues,home,D,Jaccob Slavin D,22:00,0,1,-1,2,1,2,2,2,0/0
Hurricanes,Blues,home,D,Sean Walker D,14:56,0,0,0,1,1,2,0,1,0/0
Hurricanes,Blues,home,D,Brent Burns D,22:51,0,0,-1,1,2,0,0,1,0/0
Hurricanes,Blues,home,D,Jalen Chatfield D,18:34,0,0,-1,2,0,0,0,1,0/0
Hurricanes,Blues,home,D,Shayne Gostisbehere D,17:48,1,0,0,2,1,4,3,0,0/0
Hurricanes,Blues,home,D,Dmitry Orlov D,19:35,0,0,-1,1,0,0,2,0,0/0
Hurricanes,Blues,home,D,Jaccob Slavin D,22:00,0,1,-1,2,1,2,2,2,0/0
Hurricanes,Blues,home,D,Sean Walker D,14:56,0,0,0,1,1,2,0,1,0/0
Hurricanes,Blues,home,F,Sebastian Aho C,20:19,0,2,0,3,0,2,0,1,8/15
Hurricanes,Blues,home,F,Jackson Blake R,12:53,0,0,-2,5,0,0,0,0,0/1
Hurricanes,Blues,home,F,William Carrier L,08:37,0,0,0,0,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jack Drury C,14:08,0,1,0,0,0,0,0,0,6/15
Hurricanes,Blues,home,F,Seth Jarvis C,21:03,0,1,0,5,0,0,1,0,3/11
Hurricanes,Blues,home,F,Jesperi Kotkaniemi C,14:07,0,0,-2,0,0,0,0,2,5/10
Hurricanes,Blues,home,F,Jordan Martinook L,13:07,0,0,0,3,0,0,0,2,2/2
Hurricanes,Blues,home,F,Martin Necas C,17:23,0,0,-2,3,0,0,1,0,0/1
Hurricanes,Blues,home,F,Eric Robinson L,10:58,0,0,0,0,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jack Roslovic C,11:45,1,0,0,2,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jordan Staal C,12:22,0,0,0,2,0,0,0,0,9/16
Hurricanes,Blues,home,F,Andrei Svechnikov R,19:38,1,1,0,8,1,4,0,1,0/0
Hurricanes,Blues,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Blues,home,F,Brent Burns D,22:51,0,0,-1,1,2,0,0,1,0/0
Hurricanes,Blues,home,F,Jalen Chatfield D,18:34,0,0,-1,2,0,0,0,1,0/0
Hurricanes,Blues,home,F,Shayne Gostisbehere D,17:48,1,0,0,2,1,4,3,0,0/0
Hurricanes,Blues,home,F,Dmitry Orlov D,19:35,0,0,-1,1,0,0,2,0,0/0
Hurricanes,Blues,home,F,Jaccob Slavin D,22:00,0,1,-1,2,1,2,2,2,0/0
Hurricanes,Blues,home,F,Sean Walker D,14:56,0,0,0,1,1,2,0,1,0/0
Hurricanes,Blues,home,F,Sebastian Aho C,20:19,0,2,0,3,0,2,0,1,8/15
Hurricanes,Blues,home,F,Jackson Blake R,12:53,0,0,-2,5,0,0,0,0,0/1
Hurricanes,Blues,home,F,William Carrier L,08:37,0,0,0,0,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jack Drury C,14:08,0,1,0,0,0,0,0,0,6/15
Hurricanes,Blues,home,F,Seth Jarvis C,21:03,0,1,0,5,0,0,1,0,3/11
Hurricanes,Blues,home,F,Jesperi Kotkaniemi C,14:07,0,0,-2,0,0,0,0,2,5/10
Hurricanes,Blues,home,F,Jordan Martinook L,13:07,0,0,0,3,0,0,0,2,2/2
Hurricanes,Blues,home,F,Martin Necas C,17:23,0,0,-2,3,0,0,1,0,0/1
Hurricanes,Blues,home,F,Eric Robinson L,10:58,0,0,0,0,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jack Roslovic C,11:45,1,0,0,2,0,0,0,0,0/0
Hurricanes,Blues,home,F,Jordan Staal C,12:22,0,0,0,2,0,0,0,0,9/16
Hurricanes,Blues,home,F,Andrei Svechnikov R,19:38,1,1,0,8,1,4,0,1,0/0
Hurricanes,Blues,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Blues,home,F,Brent Burns D,22:51,0,0,-1,1,2,0,0,1,0/0
Hurricanes,Blues,home,F,Jalen Chatfield D,18:34,0,0,-1,2,0,0,0,1,0/0
Hurricanes,Blues,home,F,Shayne Gostisbehere D,17:48,1,0,0,2,1,4,3,0,0/0
Hurricanes,Blues,home,F,Dmitry Orlov D,19:35,0,0,-1,1,0,0,2,0,0/0
Hurricanes,Blues,home,F,Jaccob Slavin D,22:00,0,1,-1,2,1,2,2,2,0/0
Hurricanes,Blues,home,F,Sean Walker D,14:56,0,0,0,1,1,2,0,1,0/0
