team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Canucks,home,D,Brent Burns D,22:44,0,1,-1,2,1,0,1,0,0/0
Hurricanes,Canucks,home,D,Jalen Chatfield D,16:47,0,0,0,4,0,0,0,1,0/0
Hurricanes,Canucks,home,D,Shayne Gostisbehere D,17:57,0,1,2,2,0,2,1,0,0/0
Hurricanes,Canucks,home,D,Dmitry Orlov D,17:11,0,0,0,1,0,0,0,1,0/0
Hurricanes,Canucks,home,D,Jaccob Slavin D,22:36,0,0,-1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,D,Sean Walker D,18:04,0,0,1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,D,Brent Burns D,22:44,0,1,-1,2,1,0,1,0,0/0
Hurricanes,Canucks,home,D,Jalen Chatfield D,16:47,0,0,0,4,0,0,0,1,0/0
Hurricanes,Canucks,home,D,Shayne Gostisbehere D,17:57,0,1,2,2,0,2,1,0,0/0
Hurricanes,Canucks,home,D,Dmitry Orlov D,17:11,0,0,0,1,0,0,0,1,0/0
Hurricanes,Canucks,home,D,Jaccob Slavin D,22:36,0,0,-1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,D,Sean Walker D,18:04,0,0,1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,F,Sebastian Aho C,19:46,1,0,1,2,1,0,0,1,8/12
Hurricanes,Canucks,home,F,Jackson Blake R,11:24,0,1,1,1,0,0,1,0,0/2
Hurricanes,Canucks,home,F,William Carrier L,09:28,1,0,1,2,0,0,0,0,1/1
Hurricanes,Canucks,home,F,Jack Drury C,12:25,0,1,1,2,0,0,0,1,3/8
Hurricanes,Canucks,home,F,Seth Jarvis C,18:28,0,0,-1,5,0,0,0,0,0/2
Hurricanes,Canucks,home,F,Jesperi Kotkaniemi C,16:09,0,1,0,2,1,2,0,0,3/5
Hurricanes,Canucks,home,F,Jordan Martinook L,15:09,0,0,-1,0,1,0,0,0,0/0
Hurricanes,Canucks,home,F,Martin Necas C,17:18,1,1,1,1,0,0,0,2,0/1
Hurricanes,Canucks,home,F,Eric Robinson L,12:25,0,1,0,1,0,0,0,0,1/1
Hurricanes,Canucks,home,F,Jack Roslovic C,15:02,1,0,0,3,0,0,0,0,0/1
Hurricanes,Canucks,home,F,Jordan Staal C,15:54,0,0,-1,0,0,0,0,0,10/21
Hurricanes,Canucks,home,F,Andrei Svechnikov R,17:39,0,1,0,2,0,2,0,5,0/0
Hurricanes,Canucks,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Canucks,home,F,Brent Burns D,22:44,0,1,-1,2,1,0,1,0,0/0
Hurricanes,Canucks,home,F,Jalen Chatfield D,16:47,0,0,0,4,0,0,0,1,0/0
Hurricanes,Canucks,home,F,Shayne Gostisbehere D,17:57,0,1,2,2,0,2,1,0,0/0
Hurricanes,Canucks,home,F,Dmitry Orlov D,17:11,0,0,0,1,0,0,0,1,0/0
Hurricanes,Canucks,home,F,Jaccob Slavin D,22:36,0,0,-1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,F,Sean Walker D,18:04,0,0,1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,F,Sebastian Aho C,19:46,1,0,1,2,1,0,0,1,8/12
Hurricanes,Canucks,home,F,Jackson Blake R,11:24,0,1,1,1,0,0,1,0,0/2
Hurricanes,Canucks,home,F,William Carrier L,09:28,1,0,1,2,0,0,0,0,1/1
Hurricanes,Canucks,home,F,Jack Drury C,12:25,0,1,1,2,0,0,0,1,3/8
Hurricanes,Canucks,home,F,Seth Jarvis C,18:28,0,0,-1,5,0,0,0,0,0/2
Hurricanes,Canucks,home,F,Jesperi Kotkaniemi C,16:09,0,1,0,2,1,2,0,0,3/5
Hurricanes,Canucks,home,F,Jordan Martinook L,15:09,0,0,-1,0,1,0,0,0,0/0
Hurricanes,Canucks,home,F,Martin Necas C,17:18,1,1,1,1,0,0,0,2,0/1
Hurricanes,Canucks,home,F,Eric Robinson L,12:25,0,1,0,1,0,0,0,0,1/1
Hurricanes,Canucks,home,F,Jack Roslovic C,15:02,1,0,0,3,0,0,0,0,0/1
Hurricanes,Canucks,home,F,Jordan Staal C,15:54,0,0,-1,0,0,0,0,0,10/21
Hurricanes,Canucks,home,F,Andrei Svechnikov R,17:39,0,1,0,2,0,2,0,5,0/0
Hurricanes,Canucks,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Canucks,home,F,Brent Burns D,22:44,0,1,-1,2,1,0,1,0,0/0
Hurricanes,Canucks,home,F,Jalen Chatfield D,16:47,0,0,0,4,0,0,0,1,0/0
Hurricanes,Canucks,home,F,Shayne Gostisbehere D,17:57,0,1,2,2,0,2,1,0,0/0
Hurricanes,Canucks,home,F,Dmitry Orlov D,17:11,0,0,0,1,0,0,0,1,0/0
Hurricanes,Canucks,home,F,Jaccob Slavin D,22:36,0,0,-1,1,4,0,0,1,0/0
Hurricanes,Canucks,home,F,Sean Walker D,18:04,0,0,1,1,4,0,0,1,0/0
