team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Flyers,away,D,Brent Burns D,22:49,0,2,2,4,1,0,1,0,0/0
Hurricanes,Flyers,away,D,Jalen Chatfield D,18:50,0,0,1,1,1,0,1,0,0/0
Hurricanes,Flyers,away,D,Shayne Gostisbehere D,18:21,0,0,0,0,2,0,0,1,0/0
Hurricanes,Flyers,away,D,Dmitry Orlov D,18:56,0,1,1,1,1,0,0,3,0/0
Hurricanes,Flyers,away,D,Jaccob Slavin D,23:32,0,1,2,0,0,0,2,0,0/0
Hurricanes,Flyers,away,D,Sean Walker D,15:54,0,0,0,1,1,0,0,0,0/0
Hurricanes,Flyers,away,D,Brent Burns D,22:49,0,2,2,4,1,0,1,0,0/0
Hurricanes,Flyers,away,D,Jalen Chatfield D,18:50,0,0,1,1,1,0,1,0,0/0
Hurricanes,Flyers,away,D,Shayne Gostisbehere D,18:21,0,0,0,0,2,0,0,1,0/0
Hurricanes,Flyers,away,D,Dmitry Orlov D,18:56,0,1,1,1,1,0,0,3,0/0
Hurricanes,Flyers,away,D,Jaccob Slavin D,23:32,0,1,2,0,0,0,2,0,0/0
Hurricanes,Flyers,away,D,Sean Walker D,15:54,0,0,0,1,1,0,0,0,0/0
Hurricanes,Flyers,away,F,Sebastian Aho C,18:02,0,1,0,1,1,0,0,0,7/14
Hurricanes,Flyers,away,F,Jackson Blake R,10:52,1,0,1,1,0,0,0,0,0/0
Hurricanes,Flyers,away,F,William Carrier L,09:55,0,0,1,1,0,2,0,0,0/0
Hurricanes,Flyers,away,F,Jack Drury C,11:26,0,1,1,0,1,0,0,0,7/13
Hurricanes,Flyers,away,F,Seth Jarvis C,19:22,1,0,2,4,0,0,0,0,0/2
Hurricanes,Flyers,away,F,Jesperi Kotkaniemi C,12:53,0,0,0,4,0,0,0,0,2/5
Hurricanes,Flyers,away,F,Jordan Martinook L,17:26,1,0,2,5,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Martin Necas C,16:47,1,1,0,5,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Eric Robinson L,13:47,1,0,0,1,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Jack Roslovic C,13:02,1,0,0,3,0,0,0,1,0/2
Hurricanes,Flyers,away,F,Jordan Staal C,16:57,0,0,2,1,1,2,0,0,7/20
Hurricanes,Flyers,away,F,Andrei Svechnikov R,15:30,0,1,0,2,0,2,0,0,0/0
Hurricanes,Flyers,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Flyers,away,F,Brent Burns D,22:49,0,2,2,4,1,0,1,0,0/0
Hurricanes,Flyers,away,F,Jalen Chatfield D,18:50,0,0,1,1,1,0,1,0,0/0
Hurricanes,Flyers,away,F,Shayne Gostisbehere D,18:21,0,0,0,0,2,0,0,1,0/0
Hurricanes,Flyers,away,F,Dmitry Orlov D,18:56,0,1,1,1,1,0,0,3,0/0
Hurricanes,Flyers,away,F,Jaccob Slavin D,23:32,0,1,2,0,0,0,2,0,0/0
Hurricanes,Flyers,away,F,Sean Walker D,15:54,0,0,0,1,1,0,0,0,0/0
Hurricanes,Flyers,away,F,Sebastian Aho C,18:02,0,1,0,1,1,0,0,0,7/14
Hurricanes,Flyers,away,F,Jackson Blake R,10:52,1,0,1,1,0,0,0,0,0/0
Hurricanes,Flyers,away,F,William Carrier L,09:55,0,0,1,1,0,2,0,0,0/0
Hurricanes,Flyers,away,F,Jack Drury C,11:26,0,1,1,0,1,0,0,0,7/13
Hurricanes,Flyers,away,F,Seth Jarvis C,19:22,1,0,2,4,0,0,0,0,0/2
Hurricanes,Flyers,away,F,Jesperi Kotkaniemi C,12:53,0,0,0,4,0,0,0,0,2/5
Hurricanes,Flyers,away,F,Jordan Martinook L,17:26,1,0,2,5,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Martin Necas C,16:47,1,1,0,5,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Eric Robinson L,13:47,1,0,0,1,0,0,0,0,0/0
Hurricanes,Flyers,away,F,Jack Roslovic C,13:02,1,0,0,3,0,0,0,1,0/2
Hurricanes,Flyers,away,F,Jordan Staal C,16:57,0,0,2,1,1,2,0,0,7/20
Hurricanes,Flyers,away,F,Andrei Svechnikov R,15:30,0,1,0,2,0,2,0,0,0/0
Hurricanes,Flyers,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Flyers,away,F,Brent Burns D,22:49,0,2,2,4,1,0,1,0,0/0
Hurricanes,Flyers,away,F,Jalen Chatfield D,18:50,0,0,1,1,1,0,1,0,0/0
Hurricanes,Flyers,away,F,Shayne Gostisbehere D,18:21,0,0,0,0,2,0,0,1,0/0
Hurricanes,Flyers,away,F,Dmitry Orlov D,18:56,0,1,1,1,1,0,0,3,0/0
Hurricanes,Flyers,away,F,Jaccob Slavin D,23:32,0,1,2,0,0,0,2,0,0/0
Hurricanes,Flyers,away,F,Sean Walker D,15:54,0,0,0,1,1,0,0,0,0/0
