team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Penguins,away,D,Brent Burns D,19:25,0,0,1,0,1,0,0,0,0/0
Hurricanes,Penguins,away,D,Jalen Chatfield D,18:18,0,3,2,0,2,0,0,0,0/0
Hurricanes,Penguins,away,D,Shayne Gostisbehere D,19:47,0,0,1,0,0,0,0,1,0/0
Hurricanes,Penguins,away,D,Dmitry Orlov D,19:26,0,1,3,0,2,0,0,2,0/0
Hurricanes,Penguins,away,D,Jaccob Slavin D,21:55,1,0,1,1,3,0,2,0,0/0
Hurricanes,Penguins,away,D,Sean Walker D,19:23,0,0,0,1,0,0,1,1,0/0
Hurricanes,Penguins,away,D,Brent Burns D,19:25,0,0,1,0,1,0,0,0,0/0
Hurricanes,Penguins,away,D,Jalen Chatfield D,18:18,0,3,2,0,2,0,0,0,0/0
Hurricanes,Penguins,away,D,Shayne Gostisbehere D,19:47,0,0,1,0,0,0,0,1,0/0
Hurricanes,Penguins,away,D,Dmitry Orlov D,19:26,0,1,3,0,2,0,0,2,0/0
Hurricanes,Penguins,away,D,Jaccob Slavin D,21:55,1,0,1,1,3,0,2,0,0/0
Hurricanes,Penguins,away,D,Sean Walker D,19:23,0,0,0,1,0,0,1,1,0/0
Hurricanes,Penguins,away,F,Sebastian Aho C,17:05,0,2,2,3,0,0,1,1,6/12
Hurricanes,Penguins,away,F,Jackson Blake R,13:00,0,0,0,0,0,0,1,0,2/2
Hurricanes,Penguins,away,F,William Carrier L,12:16,0,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,away,F,Jack Drury C,15:34,0,0,0,0,2,0,0,0,3/10
Hurricanes,Penguins,away,F,Seth Jarvis C,17:06,0,0,1,1,4,0,1,2,1/2
Hurricanes,Penguins,away,F,Jesperi Kotkaniemi C,14:13,0,0,1,2,1,4,0,0,4/6
Hurricanes,Penguins,away,F,Jordan Martinook L,15:20,1,0,1,2,1,0,0,1,0/0
Hurricanes,Penguins,away,F,Martin Necas C,13:47,0,1,1,1,0,0,0,0,2/5
Hurricanes,Penguins,away,F,Eric Robinson L,13:40,1,0,1,1,1,0,0,0,0/0
Hurricanes,Penguins,away,F,Jack Roslovic C,13:34,2,1,2,3,0,0,0,1,2/3
Hurricanes,Penguins,away,F,Jordan Staal C,14:09,0,1,1,1,0,2,0,0,10/17
Hurricanes,Penguins,away,F,Andrei Svechnikov R,14:02,0,1,2,0,2,2,1,1,0/0
Hurricanes,Penguins,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Penguins,away,F,Brent Burns D,19:25,0,0,1,0,1,0,0,0,0/0
Hurricanes,Penguins,away,F,Jalen Chatfield D,18:18,0,3,2,0,2,0,0,0,0/0
Hurricanes,Penguins,away,F,Shayne Gostisbehere D,19:47,0,0,1,0,0,0,0,1,0/0
Hurricanes,Penguins,away,F,Dmitry Orlov D,19:26,0,1,3,0,2,0,0,2,0/0
Hurricanes,Penguins,away,F,Jaccob Slavin D,21:55,1,0,1,1,3,0,2,0,0/0
Hurricanes,Penguins,away,F,Sean Walker D,19:23,0,0,0,1,0,0,1,1,0/0
Hurricanes,Penguins,away,F,Sebastian Aho C,17:05,0,2,2,3,0,0,1,1,6/12
Hurricanes,Penguins,away,F,Jackson Blake R,13:00,0,0,0,0,0,0,1,0,2/2
Hurricanes,Penguins,away,F,William Carrier L,12:16,0,0,0,1,0,0,0,0,0/0
Hurricanes,Penguins,away,F,Jack Drury C,15:34,0,0,0,0,2,0,0,0,3/10
Hurricanes,Penguins,away,F,Seth Jarvis C,17:06,0,0,1,1,4,0,1,2,1/2
Hurricanes,Penguins,away,F,Jesperi Kotkaniemi C,14:13,0,0,1,2,1,4,0,0,4/6
Hurricanes,Penguins,away,F,Jordan Martinook L,15:20,1,0,1,2,1,0,0,1,0/0
Hurricanes,Penguins,away,F,Martin Necas C,13:47,0,1,1,1,0,0,0,0,2/5
Hurricanes,Penguins,away,F,Eric Robinson L,13:40,1,0,1,1,1,0,0,0,0/0
Hurricanes,Penguins,away,F,Jack Roslovic C,13:34,2,1,2,3,0,0,0,1,2/3
Hurricanes,Penguins,away,F,Jordan Staal C,14:09,0,1,1,1,0,2,0,0,10/17
Hurricanes,Penguins,away,F,Andrei Svechnikov R,14:02,0,1,2,0,2,2,1,1,0/0
Hurricanes,Penguins,away,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Penguins,away,F,Brent Burns D,19:25,0,0,1,0,1,0,0,0,0/0
Hurricanes,Penguins,away,F,Jalen Chatfield D,18:18,0,3,2,0,2,0,0,0,0/0
Hurricanes,Penguins,away,F,Shayne Gostisbehere D,19:47,0,0,1,0,0,0,0,1,0/0
Hurricanes,Penguins,away,F,Dmitry Orlov D,19:26,0,1,3,0,2,0,0,2,0/0
Hurricanes,Penguins,away,F,Jaccob Slavin D,21:55,1,0,1,1,3,0,2,0,0/0
Hurricanes,Penguins,away,F,Sean Walker D,19:23,0,0,0,1,0,0,1,1,0/0
