team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Hurricanes,Avalanche,home,D,Brent Burns D,25:03,0,0,-2,2,0,0,0,2,0/0
Hurricanes,Avalanche,home,D,Jalen Chatfield D,19:43,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,D,Shayne Gostisbehere D,14:28,0,0,-2,1,1,0,0,1,0/0
Hurricanes,Avalanche,home,D,Dmitry Orlov D,18:29,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,D,Jaccob Slavin D,22:51,0,0,-2,1,4,0,0,0,0/0
Hurricanes,Avalanche,home,D,Sean Walker D,14:20,0,1,-1,4,1,0,0,0,0/0
Hurricanes,Avalanche,home,D,Brent Burns D,25:03,0,0,-2,2,0,0,0,2,0/0
Hurricanes,Avalanche,home,D,Jalen Chatfield D,19:43,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,D,Shayne Gostisbehere D,14:28,0,0,-2,1,1,0,0,1,0/0
Hurricanes,Avalanche,home,D,Dmitry Orlov D,18:29,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,D,Jaccob Slavin D,22:51,0,0,-2,1,4,0,0,0,0/0
Hurricanes,Avalanche,home,D,Sean Walker D,14:20,0,1,-1,4,1,0,0,0,0/0
Hurricanes,Avalanche,home,F,Sebastian Aho C,20:29,0,1,-2,0,1,0,0,1,11/20
Hurricanes,Avalanche,home,F,Jackson Blake R,11:56,0,0,0,0,0,0,0,1,1/1
Hurricanes,Avalanche,home,F,William Carrier L,09:04,0,0,-1,0,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Jack Drury C,13:35,1,0,1,3,0,0,0,0,9/14
Hurricanes,Avalanche,home,F,Seth Jarvis C,15:46,0,2,-2,1,0,0,1,0,3/6
Hurricanes,Avalanche,home,F,Jesperi Kotkaniemi C,11:31,0,0,0,3,1,0,0,0,2/5
Hurricanes,Avalanche,home,F,Jordan Martinook L,14:55,2,1,1,3,1,0,0,0,2/2
Hurricanes,Avalanche,home,F,Martin Necas C,17:57,1,1,-1,2,1,0,0,0,1/3
Hurricanes,Avalanche,home,F,Eric Robinson L,10:10,0,0,0,1,0,0,0,0,0/1
Hurricanes,Avalanche,home,F,Jack Roslovic C,14:26,0,0,-1,3,0,0,0,0,2/2
Hurricanes,Avalanche,home,F,Jordan Staal C,16:18,0,1,0,1,0,2,0,0,9/13
Hurricanes,Avalanche,home,F,Andrei Svechnikov R,21:15,0,1,-3,2,1,0,0,2,0/0
Hurricanes,Avalanche,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Avalanche,home,F,Brent Burns D,25:03,0,0,-2,2,0,0,0,2,0/0
Hurricanes,Avalanche,home,F,Jalen Chatfield D,19:43,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Shayne Gostisbehere D,14:28,0,0,-2,1,1,0,0,1,0/0
Hurricanes,Avalanche,home,F,Dmitry Orlov D,18:29,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Jaccob Slavin D,22:51,0,0,-2,1,4,0,0,0,0/0
Hurricanes,Avalanche,home,F,Sean Walker D,14:20,0,1,-1,4,1,0,0,0,0/0
Hurricanes,Avalanche,home,F,Sebastian Aho C,20:29,0,1,-2,0,1,0,0,1,11/20
Hurricanes,Avalanche,home,F,Jackson Blake R,11:56,0,0,0,0,0,0,0,1,1/1
Hurricanes,Avalanche,home,F,William Carrier L,09:04,0,0,-1,0,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Jack Drury C,13:35,1,0,1,3,0,0,0,0,9/14
Hurricanes,Avalanche,home,F,Seth Jarvis C,15:46,0,2,-2,1,0,0,1,0,3/6
Hurricanes,Avalanche,home,F,Jesperi Kotkaniemi C,11:31,0,0,0,3,1,0,0,0,2/5
Hurricanes,Avalanche,home,F,Jordan Martinook L,14:55,2,1,1,3,1,0,0,0,2/2
Hurricanes,Avalanche,home,F,Martin Necas C,17:57,1,1,-1,2,1,0,0,0,1/3
Hurricanes,Avalanche,home,F,Eric Robinson L,10:10,0,0,0,1,0,0,0,0,0/1
Hurricanes,Avalanche,home,F,Jack Roslovic C,14:26,0,0,-1,3,0,0,0,0,2/2
Hurricanes,Avalanche,home,F,Jordan Staal C,16:18,0,1,0,1,0,2,0,0,9/13
Hurricanes,Avalanche,home,F,Andrei Svechnikov R,21:15,0,1,-3,2,1,0,0,2,0/0
Hurricanes,Avalanche,home,F,Hurricanes Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrent
Hurricanes,Avalanche,home,F,Brent Burns D,25:03,0,0,-2,2,0,0,0,2,0/0
Hurricanes,Avalanche,home,F,Jalen Chatfield D,19:43,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Shayne Gostisbehere D,14:28,0,0,-2,1,1,0,0,1,0/0
Hurricanes,Avalanche,home,F,Dmitry Orlov D,18:29,0,0,2,2,1,2,0,0,0/0
Hurricanes,Avalanche,home,F,Jaccob Slavin D,22:51,0,0,-2,1,4,0,0,0,0/0
Hurricanes,Avalanche,home,F,Sean Walker D,14:20,0,1,-1,4,1,0,0,0,0/0
