,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-11,,Tampa Bay Lightning,1,4,L,,,21,12,0,4,0,,23,8,2,6,0,,57,32,64.0,38,23,62.3,28,26,51.9,60.1,93.2
2,2024-10-15,,New Jersey Devils,4,2,W,,,31,6,0,1,0,,26,2,1,3,0,,73,50,59.3,47,38,55.3,30,17,63.8,54.3,109.3
3,2024-10-18,@,Pittsburgh Penguins,4,1,W,,,38,12,2,4,0,,26,10,0,5,0,,64,30,68.1,44,22,66.7,21,23,47.7,64.0,100.2
4,2024-10-19,@,St. Louis Blues,3,4,L,,,40,14,1,3,0,,19,10,0,4,0,,58,27,68.2,47,23,67.1,27,28,49.1,73.9,82.2
5,2024-10-22,@,Edmonton Oilers,3,2,W,OT,,33,10,1,2,0,,35,6,1,4,0,,58,45,56.3,44,35,55.7,18,23,43.9,63.7,103.8
6,2024-10-24,@,Calgary Flames,4,2,W,,,43,8,1,3,0,,32,10,0,2,0,,68,47,59.1,49,34,59.0,38,25,60.3,49.8,100.7
7,2024-10-26,@,Seattle Kraken,4,1,W,,,39,6,1,6,0,,19,12,0,3,0,,66,20,76.7,46,15,75.4,21,20,51.2,62.5,104.5
8,2024-10-28,@,Vancouver Canucks,4,3,W,OT,,32,6,0,3,0,,27,6,0,3,0,,42,43,49.4,35,32,52.2,22,24,47.8,48.4,102.9
9,2024-10-31,,Boston Bruins,8,2,W,,,37,10,3,5,0,,15,10,1,5,0,,49,22,69.0,38,15,71.7,27,28,49.1,71.1,107.4
10,2024-11-03,,Washington Capitals,4,2,W,,,45,8,0,3,0,,21,6,1,4,0,,67,33,67.0,51,23,68.9,25,23,52.1,75.8,104.6
11,2024-11-05,,Philadelphia Flyers,6,4,W,,,35,6,0,2,0,,16,4,1,3,0,,75,33,69.4,57,24,70.4,21,26,44.7,73.9,98.6
12,2024-11-07,,Pittsburgh Penguins,5,1,W,,,18,8,0,1,0,,36,2,0,4,0,,39,53,42.4,27,39,40.9,26,20,56.5,40.0,129.3
13,2024-11-09,@,Colorado Avalanche,4,6,L,,,31,10,1,4,0,,29,8,1,5,1,,47,42,52.8,39,32,54.9,34,21,61.8,50.8,94.0
14,2024-11-11,@,Vegas Golden Knights,5,2,W,,,34,6,0,4,1,,32,8,1,3,0,,58,51,53.2,46,35,56.8,36,20,64.3,43.4,111.5
15,2024-11-13,@,Utah Hockey Club,1,4,L,,,50,2,1,6,0,,21,25,0,1,0,,67,43,60.9,47,30,61.0,34,24,58.6,61.9,80.0
16,2024-11-16,,Ottawa Senators,4,0,W,,,28,8,2,5,0,,24,10,0,4,0,,46,35,56.8,33,30,52.4,21,18,53.8,62.0,110.0
17,2024-11-17,,St. Louis Blues,4,1,W,,,24,2,1,3,0,,30,6,0,1,0,,62,43,59.0,45,37,54.9,36,20,64.3,48.8,112.5
18,2024-11-20,@,Philadelphia Flyers,4,1,W,,,37,6,0,1,0,,19,2,0,3,0,,81,28,74.3,59,22,72.8,26,21,55.3,50.5,103.4
19,2024-11-21,@,New Jersey Devils,2,4,L,,,22,6,1,2,0,,21,4,2,3,0,,59,43,57.8,36,36,50.0,20,19,51.3,47.8,92.8
20,2024-11-23,@,Columbus Blue Jackets,4,5,L,SO,,36,10,1,4,0,,32,8,1,5,0,,62,42,59.6,43,34,55.8,35,21,62.5,68.3,98.8
21,2024-11-25,,Dallas Stars,6,4,W,,,34,6,2,2,1,,19,4,0,3,0,,52,33,61.2,41,27,60.3,37,24,60.7,52.5,85.3
22,2024-11-27,,New York Rangers,4,3,W,,,31,4,2,4,0,,22,8,0,2,0,,60,37,61.9,41,30,57.7,19,21,47.5,55.2,91.7
23,2024-11-29,,Florida Panthers,3,6,L,,,31,6,1,5,0,,30,10,0,2,1,,58,44,56.9,43,32,57.3,29,25,53.7,53.2,86.6
24,2024-11-30,@,Florida Panthers,0,6,L,,,20,16,0,2,0,,35,8,3,6,0,,38,43,46.9,25,38,39.7,23,24,48.9,47.0,90.0
25,2024-12-03,,Seattle Kraken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
