team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Hockey Club,away,D,Noah Dobson D,24:51,0,2,-1,0,3,0,0,0,0/0
Islanders,Hockey Club,away,D,Scott Mayfield D,13:32,0,0,1,0,1,0,0,0,0/0
Islanders,Hockey Club,away,D,Adam Pelech D,21:01,0,0,0,0,2,0,0,1,0/0
Islanders,Hockey Club,away,D,Ryan Pulock D,20:51,0,0,1,0,4,0,0,0,0/0
Islanders,Hockey Club,away,D,Mike Reilly D,13:53,0,0,1,0,0,0,0,0,0/0
Islanders,Hockey Club,away,D,Alexander Romanov D,17:58,0,0,-1,4,4,2,0,3,0/0
Islanders,Hockey Club,away,D,Noah Dobson D,24:51,0,2,-1,0,3,0,0,0,0/0
Islanders,Hockey Club,away,D,Scott Mayfield D,13:32,0,0,1,0,1,0,0,0,0/0
Islanders,Hockey Club,away,D,Adam Pelech D,21:01,0,0,0,0,2,0,0,1,0/0
Islanders,Hockey Club,away,D,Ryan Pulock D,20:51,0,0,1,0,4,0,0,0,0/0
Islanders,Hockey Club,away,D,Mike Reilly D,13:53,0,0,1,0,0,0,0,0,0/0
Islanders,Hockey Club,away,D,Alexander Romanov D,17:58,0,0,-1,4,4,2,0,3,0/0
Islanders,Hockey Club,away,F,Mathew Barzal C,22:46,0,1,1,1,1,0,0,3,0/0
Islanders,Hockey Club,away,F,Casey Cizikas C,11:09,0,0,-1,0,0,0,1,0,1/2
Islanders,Hockey Club,away,F,Anthony Duclair L,19:45,1,1,0,2,1,0,0,0,0/0
Islanders,Hockey Club,away,F,Simon Holmstrom R,12:13,0,1,1,1,1,0,0,1,0/0
Islanders,Hockey Club,away,F,Bo Horvat C,20:44,1,0,1,5,1,0,0,0,14/28
Islanders,Hockey Club,away,F,Anders Lee L,14:26,0,0,-1,3,1,0,0,0,0/1
Islanders,Hockey Club,away,F,Kyle MacLean C,12:01,0,0,-1,0,0,0,0,0,5/9
Islanders,Hockey Club,away,F,Brock Nelson C,18:28,0,1,1,2,0,0,0,0,4/15
Islanders,Hockey Club,away,F,Jean-Gabriel Pageau C,13:05,1,0,-1,1,0,0,0,1,8/13
Islanders,Hockey Club,away,F,Kyle Palmieri C,16:53,0,1,0,5,2,2,0,0,0/0
Islanders,Hockey Club,away,F,Maxim Tsyplakov R,20:46,1,0,1,3,0,0,0,1,1/1
Islanders,Hockey Club,away,F,Oliver Wahlstrom R,10:52,0,0,-1,0,2,0,1,1,0/0
Islanders,Hockey Club,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Hockey Club,away,F,Noah Dobson D,24:51,0,2,-1,0,3,0,0,0,0/0
Islanders,Hockey Club,away,F,Scott Mayfield D,13:32,0,0,1,0,1,0,0,0,0/0
Islanders,Hockey Club,away,F,Adam Pelech D,21:01,0,0,0,0,2,0,0,1,0/0
Islanders,Hockey Club,away,F,Ryan Pulock D,20:51,0,0,1,0,4,0,0,0,0/0
Islanders,Hockey Club,away,F,Mike Reilly D,13:53,0,0,1,0,0,0,0,0,0/0
Islanders,Hockey Club,away,F,Alexander Romanov D,17:58,0,0,-1,4,4,2,0,3,0/0
Islanders,Hockey Club,away,F,Mathew Barzal C,22:46,0,1,1,1,1,0,0,3,0/0
Islanders,Hockey Club,away,F,Casey Cizikas C,11:09,0,0,-1,0,0,0,1,0,1/2
Islanders,Hockey Club,away,F,Anthony Duclair L,19:45,1,1,0,2,1,0,0,0,0/0
Islanders,Hockey Club,away,F,Simon Holmstrom R,12:13,0,1,1,1,1,0,0,1,0/0
Islanders,Hockey Club,away,F,Bo Horvat C,20:44,1,0,1,5,1,0,0,0,14/28
Islanders,Hockey Club,away,F,Anders Lee L,14:26,0,0,-1,3,1,0,0,0,0/1
Islanders,Hockey Club,away,F,Kyle MacLean C,12:01,0,0,-1,0,0,0,0,0,5/9
Islanders,Hockey Club,away,F,Brock Nelson C,18:28,0,1,1,2,0,0,0,0,4/15
Islanders,Hockey Club,away,F,Jean-Gabriel Pageau C,13:05,1,0,-1,1,0,0,0,1,8/13
Islanders,Hockey Club,away,F,Kyle Palmieri C,16:53,0,1,0,5,2,2,0,0,0/0
Islanders,Hockey Club,away,F,Maxim Tsyplakov R,20:46,1,0,1,3,0,0,0,1,1/1
Islanders,Hockey Club,away,F,Oliver Wahlstrom R,10:52,0,0,-1,0,2,0,1,1,0/0
Islanders,Hockey Club,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Hockey Club,away,F,Noah Dobson D,24:51,0,2,-1,0,3,0,0,0,0/0
Islanders,Hockey Club,away,F,Scott Mayfield D,13:32,0,0,1,0,1,0,0,0,0/0
Islanders,Hockey Club,away,F,Adam Pelech D,21:01,0,0,0,0,2,0,0,1,0/0
Islanders,Hockey Club,away,F,Ryan Pulock D,20:51,0,0,1,0,4,0,0,0,0/0
Islanders,Hockey Club,away,F,Mike Reilly D,13:53,0,0,1,0,0,0,0,0,0/0
Islanders,Hockey Club,away,F,Alexander Romanov D,17:58,0,0,-1,4,4,2,0,3,0/0
