team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Avalanche,home,D,Noah Dobson D,20:18,0,0,1,2,3,0,2,1,0/0
Islanders,Avalanche,home,D,Scott Mayfield D,17:57,0,1,3,2,3,2,0,2,0/0
Islanders,Avalanche,home,D,Adam Pelech D,22:19,0,1,1,2,0,0,0,2,0/0
Islanders,Avalanche,home,D,Ryan Pulock D,23:08,0,1,0,1,3,0,1,1,0/0
Islanders,Avalanche,home,D,Mike Reilly D,13:39,0,0,2,2,0,0,0,2,0/0
Islanders,Avalanche,home,D,Alexander Romanov D,21:44,0,1,1,1,6,2,0,1,0/0
Islanders,Avalanche,home,D,Noah Dobson D,20:18,0,0,1,2,3,0,2,1,0/0
Islanders,Avalanche,home,D,Scott Mayfield D,17:57,0,1,3,2,3,2,0,2,0/0
Islanders,Avalanche,home,D,Adam Pelech D,22:19,0,1,1,2,0,0,0,2,0/0
Islanders,Avalanche,home,D,Ryan Pulock D,23:08,0,1,0,1,3,0,1,1,0/0
Islanders,Avalanche,home,D,Mike Reilly D,13:39,0,0,2,2,0,0,0,2,0/0
Islanders,Avalanche,home,D,Alexander Romanov D,21:44,0,1,1,1,6,2,0,1,0/0
Islanders,Avalanche,home,F,Mathew Barzal C,17:28,1,0,2,3,1,0,0,1,0/2
Islanders,Avalanche,home,F,Casey Cizikas C,11:34,0,0,0,1,1,0,0,0,1/2
Islanders,Avalanche,home,F,Anthony Duclair L,14:19,1,0,2,3,0,0,0,2,0/0
Islanders,Avalanche,home,F,Simon Holmstrom R,13:25,0,1,0,0,0,0,0,1,0/0
Islanders,Avalanche,home,F,Bo Horvat C,16:41,0,1,2,1,0,0,0,1,5/13
Islanders,Avalanche,home,F,Anders Lee L,14:28,1,0,1,7,1,0,0,0,0/3
Islanders,Avalanche,home,F,Kyle MacLean C,11:42,0,0,-1,0,0,0,0,0,12/15
Islanders,Avalanche,home,F,Brock Nelson C,18:23,2,0,3,5,2,0,0,2,15/25
Islanders,Avalanche,home,F,Jean-Gabriel Pageau C,14:31,0,0,0,1,1,0,0,2,9/13
Islanders,Avalanche,home,F,Kyle Palmieri C,17:34,1,0,3,4,0,0,2,0,0/1
Islanders,Avalanche,home,F,Maxim Tsyplakov R,14:40,0,1,0,1,0,2,0,1,0/0
Islanders,Avalanche,home,F,Oliver Wahlstrom R,10:18,0,0,-1,2,0,0,0,1,0/0
Islanders,Avalanche,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Avalanche,home,F,Noah Dobson D,20:18,0,0,1,2,3,0,2,1,0/0
Islanders,Avalanche,home,F,Scott Mayfield D,17:57,0,1,3,2,3,2,0,2,0/0
Islanders,Avalanche,home,F,Adam Pelech D,22:19,0,1,1,2,0,0,0,2,0/0
Islanders,Avalanche,home,F,Ryan Pulock D,23:08,0,1,0,1,3,0,1,1,0/0
Islanders,Avalanche,home,F,Mike Reilly D,13:39,0,0,2,2,0,0,0,2,0/0
Islanders,Avalanche,home,F,Alexander Romanov D,21:44,0,1,1,1,6,2,0,1,0/0
Islanders,Avalanche,home,F,Mathew Barzal C,17:28,1,0,2,3,1,0,0,1,0/2
Islanders,Avalanche,home,F,Casey Cizikas C,11:34,0,0,0,1,1,0,0,0,1/2
Islanders,Avalanche,home,F,Anthony Duclair L,14:19,1,0,2,3,0,0,0,2,0/0
Islanders,Avalanche,home,F,Simon Holmstrom R,13:25,0,1,0,0,0,0,0,1,0/0
Islanders,Avalanche,home,F,Bo Horvat C,16:41,0,1,2,1,0,0,0,1,5/13
Islanders,Avalanche,home,F,Anders Lee L,14:28,1,0,1,7,1,0,0,0,0/3
Islanders,Avalanche,home,F,Kyle MacLean C,11:42,0,0,-1,0,0,0,0,0,12/15
Islanders,Avalanche,home,F,Brock Nelson C,18:23,2,0,3,5,2,0,0,2,15/25
Islanders,Avalanche,home,F,Jean-Gabriel Pageau C,14:31,0,0,0,1,1,0,0,2,9/13
Islanders,Avalanche,home,F,Kyle Palmieri C,17:34,1,0,3,4,0,0,2,0,0/1
Islanders,Avalanche,home,F,Maxim Tsyplakov R,14:40,0,1,0,1,0,2,0,1,0/0
Islanders,Avalanche,home,F,Oliver Wahlstrom R,10:18,0,0,-1,2,0,0,0,1,0/0
Islanders,Avalanche,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Avalanche,home,F,Noah Dobson D,20:18,0,0,1,2,3,0,2,1,0/0
Islanders,Avalanche,home,F,Scott Mayfield D,17:57,0,1,3,2,3,2,0,2,0/0
Islanders,Avalanche,home,F,Adam Pelech D,22:19,0,1,1,2,0,0,0,2,0/0
Islanders,Avalanche,home,F,Ryan Pulock D,23:08,0,1,0,1,3,0,1,1,0/0
Islanders,Avalanche,home,F,Mike Reilly D,13:39,0,0,2,2,0,0,0,2,0/0
Islanders,Avalanche,home,F,Alexander Romanov D,21:44,0,1,1,1,6,2,0,1,0/0
