team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Ducks,away,D,Dennis Cholowski D,07:01,0,0,0,0,2,0,0,2,0/0
Islanders,Ducks,away,D,Noah Dobson D,23:41,0,1,-1,4,1,0,1,0,0/0
Islanders,Ducks,away,D,Scott Mayfield D,16:13,0,0,0,0,3,0,0,1,0/0
Islanders,Ducks,away,D,Adam Pelech D,23:16,0,0,0,5,1,0,0,1,0/0
Islanders,Ducks,away,D,Ryan Pulock D,22:25,0,0,0,2,2,0,0,0,0/0
Islanders,Ducks,away,D,Mike Reilly D,21:26,0,0,0,2,1,0,1,2,0/0
Islanders,Ducks,away,D,Dennis Cholowski D,07:01,0,0,0,0,2,0,0,2,0/0
Islanders,Ducks,away,D,Noah Dobson D,23:41,0,1,-1,4,1,0,1,0,0/0
Islanders,Ducks,away,D,Scott Mayfield D,16:13,0,0,0,0,3,0,0,1,0/0
Islanders,Ducks,away,D,Adam Pelech D,23:16,0,0,0,5,1,0,0,1,0/0
Islanders,Ducks,away,D,Ryan Pulock D,22:25,0,0,0,2,2,0,0,0,0/0
Islanders,Ducks,away,D,Mike Reilly D,21:26,0,0,0,2,1,0,1,2,0/0
Islanders,Ducks,away,F,Mathew Barzal C,21:02,1,0,-1,5,1,0,0,2,0/0
Islanders,Ducks,away,F,Casey Cizikas C,13:07,0,0,0,1,0,0,1,0,3/4
Islanders,Ducks,away,F,Pierre Engvall L,10:16,0,0,0,1,0,4,1,0,1/1
Islanders,Ducks,away,F,Hudson Fasching R,07:56,0,0,0,0,0,0,1,0,0/0
Islanders,Ducks,away,F,Simon Holmstrom R,17:53,0,0,0,0,1,0,0,0,0/0
Islanders,Ducks,away,F,Bo Horvat C,19:03,0,1,-1,2,0,0,0,0,13/21
Islanders,Ducks,away,F,Anders Lee L,13:42,0,0,-1,6,0,0,0,2,0/0
Islanders,Ducks,away,F,Kyle MacLean C,11:44,0,0,0,2,2,0,0,0,3/6
Islanders,Ducks,away,F,Brock Nelson C,19:28,0,0,-1,5,0,0,1,0,11/16
Islanders,Ducks,away,F,Jean-Gabriel Pageau C,14:30,0,0,0,4,0,0,0,2,8/10
Islanders,Ducks,away,F,Kyle Palmieri C,18:49,0,0,-1,1,1,0,0,0,0/0
Islanders,Ducks,away,F,Maxim Tsyplakov R,14:39,0,0,0,1,1,2,0,0,0/0
Islanders,Ducks,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Ducks,away,F,Dennis Cholowski D,07:01,0,0,0,0,2,0,0,2,0/0
Islanders,Ducks,away,F,Noah Dobson D,23:41,0,1,-1,4,1,0,1,0,0/0
Islanders,Ducks,away,F,Scott Mayfield D,16:13,0,0,0,0,3,0,0,1,0/0
Islanders,Ducks,away,F,Adam Pelech D,23:16,0,0,0,5,1,0,0,1,0/0
Islanders,Ducks,away,F,Ryan Pulock D,22:25,0,0,0,2,2,0,0,0,0/0
Islanders,Ducks,away,F,Mike Reilly D,21:26,0,0,0,2,1,0,1,2,0/0
Islanders,Ducks,away,F,Mathew Barzal C,21:02,1,0,-1,5,1,0,0,2,0/0
Islanders,Ducks,away,F,Casey Cizikas C,13:07,0,0,0,1,0,0,1,0,3/4
Islanders,Ducks,away,F,Pierre Engvall L,10:16,0,0,0,1,0,4,1,0,1/1
Islanders,Ducks,away,F,Hudson Fasching R,07:56,0,0,0,0,0,0,1,0,0/0
Islanders,Ducks,away,F,Simon Holmstrom R,17:53,0,0,0,0,1,0,0,0,0/0
Islanders,Ducks,away,F,Bo Horvat C,19:03,0,1,-1,2,0,0,0,0,13/21
Islanders,Ducks,away,F,Anders Lee L,13:42,0,0,-1,6,0,0,0,2,0/0
Islanders,Ducks,away,F,Kyle MacLean C,11:44,0,0,0,2,2,0,0,0,3/6
Islanders,Ducks,away,F,Brock Nelson C,19:28,0,0,-1,5,0,0,1,0,11/16
Islanders,Ducks,away,F,Jean-Gabriel Pageau C,14:30,0,0,0,4,0,0,0,2,8/10
Islanders,Ducks,away,F,Kyle Palmieri C,18:49,0,0,-1,1,1,0,0,0,0/0
Islanders,Ducks,away,F,Maxim Tsyplakov R,14:39,0,0,0,1,1,2,0,0,0/0
Islanders,Ducks,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Ducks,away,F,Dennis Cholowski D,07:01,0,0,0,0,2,0,0,2,0/0
Islanders,Ducks,away,F,Noah Dobson D,23:41,0,1,-1,4,1,0,1,0,0/0
Islanders,Ducks,away,F,Scott Mayfield D,16:13,0,0,0,0,3,0,0,1,0/0
Islanders,Ducks,away,F,Adam Pelech D,23:16,0,0,0,5,1,0,0,1,0/0
Islanders,Ducks,away,F,Ryan Pulock D,22:25,0,0,0,2,2,0,0,0,0/0
Islanders,Ducks,away,F,Mike Reilly D,21:26,0,0,0,2,1,0,1,2,0/0
