team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Sabres,home,D,Noah Dobson D,24:55,0,0,1,3,2,0,0,1,0/0
Islanders,Sabres,home,D,Scott Mayfield D,21:27,0,0,0,0,2,2,0,0,0/0
Islanders,Sabres,home,D,Adam Pelech D,10:41,0,0,0,3,2,2,0,0,0/0
Islanders,Sabres,home,D,Ryan Pulock D,25:21,0,0,0,1,4,0,0,1,0/0
Islanders,Sabres,home,D,Mike Reilly D,07:24,0,0,0,0,0,0,0,1,0/0
Islanders,Sabres,home,D,Alexander Romanov D,23:52,0,0,1,0,2,0,0,4,0/0
Islanders,Sabres,home,D,Noah Dobson D,24:55,0,0,1,3,2,0,0,1,0/0
Islanders,Sabres,home,D,Scott Mayfield D,21:27,0,0,0,0,2,2,0,0,0/0
Islanders,Sabres,home,D,Adam Pelech D,10:41,0,0,0,3,2,2,0,0,0/0
Islanders,Sabres,home,D,Ryan Pulock D,25:21,0,0,0,1,4,0,0,1,0/0
Islanders,Sabres,home,D,Mike Reilly D,07:24,0,0,0,0,0,0,0,1,0/0
Islanders,Sabres,home,D,Alexander Romanov D,23:52,0,0,1,0,2,0,0,4,0/0
Islanders,Sabres,home,F,Casey Cizikas C,13:47,0,0,-2,2,1,0,0,0,4/9
Islanders,Sabres,home,F,Pierre Engvall L,10:31,0,0,-1,1,0,0,0,0,0/0
Islanders,Sabres,home,F,Hudson Fasching R,06:41,0,0,0,0,0,0,0,0,0/0
Islanders,Sabres,home,F,Simon Holmstrom R,13:53,0,1,-1,1,2,0,2,0,0/1
Islanders,Sabres,home,F,Bo Horvat C,20:54,1,1,2,8,0,0,0,3,10/15
Islanders,Sabres,home,F,Anders Lee L,19:14,0,2,1,5,2,0,0,0,0/0
Islanders,Sabres,home,F,Kyle MacLean C,11:56,0,0,-1,0,0,2,0,0,3/10
Islanders,Sabres,home,F,Brock Nelson C,17:24,0,0,1,3,0,0,0,0,10/12
Islanders,Sabres,home,F,Jean-Gabriel Pageau C,21:28,1,0,2,3,5,2,0,2,4/9
Islanders,Sabres,home,F,Kyle Palmieri C,17:06,1,0,0,3,0,0,1,0,0/0
Islanders,Sabres,home,F,Maxim Tsyplakov R,15:01,1,1,2,2,1,2,0,0,0/1
Islanders,Sabres,home,F,Oliver Wahlstrom R,10:18,0,0,0,1,0,5,0,0,0/0
Islanders,Sabres,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Sabres,home,F,Noah Dobson D,24:55,0,0,1,3,2,0,0,1,0/0
Islanders,Sabres,home,F,Scott Mayfield D,21:27,0,0,0,0,2,2,0,0,0/0
Islanders,Sabres,home,F,Adam Pelech D,10:41,0,0,0,3,2,2,0,0,0/0
Islanders,Sabres,home,F,Ryan Pulock D,25:21,0,0,0,1,4,0,0,1,0/0
Islanders,Sabres,home,F,Mike Reilly D,07:24,0,0,0,0,0,0,0,1,0/0
Islanders,Sabres,home,F,Alexander Romanov D,23:52,0,0,1,0,2,0,0,4,0/0
Islanders,Sabres,home,F,Casey Cizikas C,13:47,0,0,-2,2,1,0,0,0,4/9
Islanders,Sabres,home,F,Pierre Engvall L,10:31,0,0,-1,1,0,0,0,0,0/0
Islanders,Sabres,home,F,Hudson Fasching R,06:41,0,0,0,0,0,0,0,0,0/0
Islanders,Sabres,home,F,Simon Holmstrom R,13:53,0,1,-1,1,2,0,2,0,0/1
Islanders,Sabres,home,F,Bo Horvat C,20:54,1,1,2,8,0,0,0,3,10/15
Islanders,Sabres,home,F,Anders Lee L,19:14,0,2,1,5,2,0,0,0,0/0
Islanders,Sabres,home,F,Kyle MacLean C,11:56,0,0,-1,0,0,2,0,0,3/10
Islanders,Sabres,home,F,Brock Nelson C,17:24,0,0,1,3,0,0,0,0,10/12
Islanders,Sabres,home,F,Jean-Gabriel Pageau C,21:28,1,0,2,3,5,2,0,2,4/9
Islanders,Sabres,home,F,Kyle Palmieri C,17:06,1,0,0,3,0,0,1,0,0/0
Islanders,Sabres,home,F,Maxim Tsyplakov R,15:01,1,1,2,2,1,2,0,0,0/1
Islanders,Sabres,home,F,Oliver Wahlstrom R,10:18,0,0,0,1,0,5,0,0,0/0
Islanders,Sabres,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONoah
Islanders,Sabres,home,F,Noah Dobson D,24:55,0,0,1,3,2,0,0,1,0/0
Islanders,Sabres,home,F,Scott Mayfield D,21:27,0,0,0,0,2,2,0,0,0/0
Islanders,Sabres,home,F,Adam Pelech D,10:41,0,0,0,3,2,2,0,0,0/0
Islanders,Sabres,home,F,Ryan Pulock D,25:21,0,0,0,1,4,0,0,1,0/0
Islanders,Sabres,home,F,Mike Reilly D,07:24,0,0,0,0,0,0,0,1,0/0
Islanders,Sabres,home,F,Alexander Romanov D,23:52,0,0,1,0,2,0,0,4,0/0
