team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Rangers,home,D,Samuel Bolduc D,05:56,0,0,-1,0,0,0,0,0,0/0
Islanders,Rangers,home,D,Dennis Cholowski D,13:53,0,0,0,0,1,0,0,0,0/0
Islanders,Rangers,home,D,Noah Dobson D,25:21,0,0,-1,5,1,0,1,3,0/0
Islanders,Rangers,home,D,Grant Hutton D,14:14,0,0,0,2,1,0,1,1,0/0
Islanders,Rangers,home,D,Scott Mayfield D,23:00,0,0,1,1,1,0,3,3,0/0
Islanders,Rangers,home,D,Ryan Pulock D,29:24,0,0,-2,1,1,2,1,2,0/0
Islanders,Rangers,home,D,Samuel Bolduc D,05:56,0,0,-1,0,0,0,0,0,0/0
Islanders,Rangers,home,D,Dennis Cholowski D,13:53,0,0,0,0,1,0,0,0,0/0
Islanders,Rangers,home,D,Noah Dobson D,25:21,0,0,-1,5,1,0,1,3,0/0
Islanders,Rangers,home,D,Grant Hutton D,14:14,0,0,0,2,1,0,1,1,0/0
Islanders,Rangers,home,D,Scott Mayfield D,23:00,0,0,1,1,1,0,3,3,0/0
Islanders,Rangers,home,D,Ryan Pulock D,29:24,0,0,-2,1,1,2,1,2,0/0
Islanders,Rangers,home,F,Casey Cizikas C,14:26,1,0,0,2,1,0,1,0,6/12
Islanders,Rangers,home,F,Pierre Engvall L,12:08,0,1,1,4,0,0,0,1,0/1
Islanders,Rangers,home,F,Hudson Fasching R,06:33,0,0,0,0,2,0,1,1,0/0
Islanders,Rangers,home,F,Simon Holmstrom R,17:40,0,1,1,2,1,2,0,1,0/0
Islanders,Rangers,home,F,Bo Horvat C,20:42,0,0,-2,3,1,0,0,3,7/13
Islanders,Rangers,home,F,Anders Lee L,19:20,0,1,-1,2,0,2,0,3,0/0
Islanders,Rangers,home,F,Kyle MacLean C,08:54,0,0,0,1,0,0,0,1,8/11
Islanders,Rangers,home,F,Brock Nelson C,19:03,1,0,-1,3,0,0,1,3,9/16
Islanders,Rangers,home,F,Jean-Gabriel Pageau C,19:32,0,0,-2,1,0,0,1,0,4/7
Islanders,Rangers,home,F,Kyle Palmieri C,17:11,0,1,-1,4,0,0,2,0,0/0
Islanders,Rangers,home,F,Maxim Tsyplakov R,16:32,0,0,-2,2,0,0,0,0,1/1
Islanders,Rangers,home,F,Oliver Wahlstrom R,11:25,0,0,-1,4,0,0,0,1,0/0
Islanders,Rangers,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Islanders,Rangers,home,F,Samuel Bolduc D,05:56,0,0,-1,0,0,0,0,0,0/0
Islanders,Rangers,home,F,Dennis Cholowski D,13:53,0,0,0,0,1,0,0,0,0/0
Islanders,Rangers,home,F,Noah Dobson D,25:21,0,0,-1,5,1,0,1,3,0/0
Islanders,Rangers,home,F,Grant Hutton D,14:14,0,0,0,2,1,0,1,1,0/0
Islanders,Rangers,home,F,Scott Mayfield D,23:00,0,0,1,1,1,0,3,3,0/0
Islanders,Rangers,home,F,Ryan Pulock D,29:24,0,0,-2,1,1,2,1,2,0/0
Islanders,Rangers,home,F,Casey Cizikas C,14:26,1,0,0,2,1,0,1,0,6/12
Islanders,Rangers,home,F,Pierre Engvall L,12:08,0,1,1,4,0,0,0,1,0/1
Islanders,Rangers,home,F,Hudson Fasching R,06:33,0,0,0,0,2,0,1,1,0/0
Islanders,Rangers,home,F,Simon Holmstrom R,17:40,0,1,1,2,1,2,0,1,0/0
Islanders,Rangers,home,F,Bo Horvat C,20:42,0,0,-2,3,1,0,0,3,7/13
Islanders,Rangers,home,F,Anders Lee L,19:20,0,1,-1,2,0,2,0,3,0/0
Islanders,Rangers,home,F,Kyle MacLean C,08:54,0,0,0,1,0,0,0,1,8/11
Islanders,Rangers,home,F,Brock Nelson C,19:03,1,0,-1,3,0,0,1,3,9/16
Islanders,Rangers,home,F,Jean-Gabriel Pageau C,19:32,0,0,-2,1,0,0,1,0,4/7
Islanders,Rangers,home,F,Kyle Palmieri C,17:11,0,1,-1,4,0,0,2,0,0/0
Islanders,Rangers,home,F,Maxim Tsyplakov R,16:32,0,0,-2,2,0,0,0,0,1/1
Islanders,Rangers,home,F,Oliver Wahlstrom R,11:25,0,0,-1,4,0,0,0,1,0/0
Islanders,Rangers,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Islanders,Rangers,home,F,Samuel Bolduc D,05:56,0,0,-1,0,0,0,0,0,0/0
Islanders,Rangers,home,F,Dennis Cholowski D,13:53,0,0,0,0,1,0,0,0,0/0
Islanders,Rangers,home,F,Noah Dobson D,25:21,0,0,-1,5,1,0,1,3,0/0
Islanders,Rangers,home,F,Grant Hutton D,14:14,0,0,0,2,1,0,1,1,0/0
Islanders,Rangers,home,F,Scott Mayfield D,23:00,0,0,1,1,1,0,3,3,0/0
Islanders,Rangers,home,F,Ryan Pulock D,29:24,0,0,-2,1,1,2,1,2,0/0
