team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Penguins,away,D,Dennis Cholowski D,08:00,0,0,-1,0,0,0,0,0,0/0
Islanders,Penguins,away,D,Noah Dobson D,30:02,0,0,1,5,1,2,0,0,0/0
Islanders,Penguins,away,D,Isaiah George D,15:41,0,0,0,1,0,0,0,0,0/0
Islanders,Penguins,away,D,Grant Hutton D,16:44,0,0,-1,1,2,0,1,1,0/0
Islanders,Penguins,away,D,Scott Mayfield D,24:48,0,0,1,1,3,0,0,1,0/0
Islanders,Penguins,away,D,Ryan Pulock D,29:03,0,1,0,2,3,0,0,4,0/0
Islanders,Penguins,away,D,Dennis Cholowski D,08:00,0,0,-1,0,0,0,0,0,0/0
Islanders,Penguins,away,D,Noah Dobson D,30:02,0,0,1,5,1,2,0,0,0/0
Islanders,Penguins,away,D,Isaiah George D,15:41,0,0,0,1,0,0,0,0,0/0
Islanders,Penguins,away,D,Grant Hutton D,16:44,0,0,-1,1,2,0,1,1,0/0
Islanders,Penguins,away,D,Scott Mayfield D,24:48,0,0,1,1,3,0,0,1,0/0
Islanders,Penguins,away,D,Ryan Pulock D,29:03,0,1,0,2,3,0,0,4,0/0
Islanders,Penguins,away,F,Casey Cizikas C,13:39,0,0,-1,0,1,0,1,1,1/6
Islanders,Penguins,away,F,Pierre Engvall L,14:29,0,0,-1,2,1,0,0,0,0/0
Islanders,Penguins,away,F,Hudson Fasching R,05:12,0,0,0,0,0,0,0,0,0/0
Islanders,Penguins,away,F,Simon Holmstrom R,16:25,1,0,-1,1,0,0,0,1,0/0
Islanders,Penguins,away,F,Bo Horvat C,23:45,0,2,1,2,0,0,0,0,7/14
Islanders,Penguins,away,F,Anders Lee L,18:50,0,1,0,0,0,0,0,1,0/0
Islanders,Penguins,away,F,Kyle MacLean C,08:44,0,0,0,0,0,0,0,0,4/8
Islanders,Penguins,away,F,Brock Nelson C,21:27,0,0,0,2,1,0,0,0,9/21
Islanders,Penguins,away,F,Jean-Gabriel Pageau C,20:45,1,0,0,5,0,0,0,0,10/12
Islanders,Penguins,away,F,Kyle Palmieri C,20:53,1,1,1,3,1,2,0,0,0/0
Islanders,Penguins,away,F,Maxim Tsyplakov R,17:25,0,1,1,0,0,2,4,0,0/0
Islanders,Penguins,away,F,Oliver Wahlstrom R,07:22,0,0,0,1,1,0,0,2,0/0
Islanders,Penguins,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Penguins,away,F,Dennis Cholowski D,08:00,0,0,-1,0,0,0,0,0,0/0
Islanders,Penguins,away,F,Noah Dobson D,30:02,0,0,1,5,1,2,0,0,0/0
Islanders,Penguins,away,F,Isaiah George D,15:41,0,0,0,1,0,0,0,0,0/0
Islanders,Penguins,away,F,Grant Hutton D,16:44,0,0,-1,1,2,0,1,1,0/0
Islanders,Penguins,away,F,Scott Mayfield D,24:48,0,0,1,1,3,0,0,1,0/0
Islanders,Penguins,away,F,Ryan Pulock D,29:03,0,1,0,2,3,0,0,4,0/0
Islanders,Penguins,away,F,Casey Cizikas C,13:39,0,0,-1,0,1,0,1,1,1/6
Islanders,Penguins,away,F,Pierre Engvall L,14:29,0,0,-1,2,1,0,0,0,0/0
Islanders,Penguins,away,F,Hudson Fasching R,05:12,0,0,0,0,0,0,0,0,0/0
Islanders,Penguins,away,F,Simon Holmstrom R,16:25,1,0,-1,1,0,0,0,1,0/0
Islanders,Penguins,away,F,Bo Horvat C,23:45,0,2,1,2,0,0,0,0,7/14
Islanders,Penguins,away,F,Anders Lee L,18:50,0,1,0,0,0,0,0,1,0/0
Islanders,Penguins,away,F,Kyle MacLean C,08:44,0,0,0,0,0,0,0,0,4/8
Islanders,Penguins,away,F,Brock Nelson C,21:27,0,0,0,2,1,0,0,0,9/21
Islanders,Penguins,away,F,Jean-Gabriel Pageau C,20:45,1,0,0,5,0,0,0,0,10/12
Islanders,Penguins,away,F,Kyle Palmieri C,20:53,1,1,1,3,1,2,0,0,0/0
Islanders,Penguins,away,F,Maxim Tsyplakov R,17:25,0,1,1,0,0,2,4,0,0/0
Islanders,Penguins,away,F,Oliver Wahlstrom R,07:22,0,0,0,1,1,0,0,2,0/0
Islanders,Penguins,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Penguins,away,F,Dennis Cholowski D,08:00,0,0,-1,0,0,0,0,0,0/0
Islanders,Penguins,away,F,Noah Dobson D,30:02,0,0,1,5,1,2,0,0,0/0
Islanders,Penguins,away,F,Isaiah George D,15:41,0,0,0,1,0,0,0,0,0/0
Islanders,Penguins,away,F,Grant Hutton D,16:44,0,0,-1,1,2,0,1,1,0/0
Islanders,Penguins,away,F,Scott Mayfield D,24:48,0,0,1,1,3,0,0,1,0/0
Islanders,Penguins,away,F,Ryan Pulock D,29:03,0,1,0,2,3,0,0,4,0/0
