team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Devils,away,D,Dennis Cholowski D,06:45,1,0,1,1,0,2,1,1,0/0
Islanders,Devils,away,D,Noah Dobson D,29:48,0,0,-2,1,3,0,1,2,0/0
Islanders,Devils,away,D,Isaiah George D,24:07,0,0,0,1,1,0,0,0,0/0
Islanders,Devils,away,D,Grant Hutton D,15:41,0,0,0,2,2,0,0,2,0/0
Islanders,Devils,away,D,Scott Mayfield D,22:06,0,0,1,0,0,0,0,1,0/0
Islanders,Devils,away,D,Ryan Pulock D,24:24,0,0,1,2,3,0,1,2,0/0
Islanders,Devils,away,D,Dennis Cholowski D,06:45,1,0,1,1,0,2,1,1,0/0
Islanders,Devils,away,D,Noah Dobson D,29:48,0,0,-2,1,3,0,1,2,0/0
Islanders,Devils,away,D,Isaiah George D,24:07,0,0,0,1,1,0,0,0,0/0
Islanders,Devils,away,D,Grant Hutton D,15:41,0,0,0,2,2,0,0,2,0/0
Islanders,Devils,away,D,Scott Mayfield D,22:06,0,0,1,0,0,0,0,1,0/0
Islanders,Devils,away,D,Ryan Pulock D,24:24,0,0,1,2,3,0,1,2,0/0
Islanders,Devils,away,F,Casey Cizikas C,15:26,0,0,0,0,0,0,0,0,6/12
Islanders,Devils,away,F,Pierre Engvall L,15:19,0,1,0,4,0,2,0,0,0/1
Islanders,Devils,away,F,Simon Holmstrom R,17:33,1,1,0,2,1,0,0,0,0/0
Islanders,Devils,away,F,Bo Horvat C,19:26,0,0,-1,4,0,0,0,2,3/5
Islanders,Devils,away,F,Anders Lee L,16:36,0,0,-1,1,1,0,1,1,0/0
Islanders,Devils,away,F,Kyle MacLean C,08:51,0,1,0,0,0,0,2,2,4/9
Islanders,Devils,away,F,Matt Martin L,07:10,0,0,1,0,1,0,0,0,0/0
Islanders,Devils,away,F,Brock Nelson C,19:36,1,0,1,2,0,0,0,0,7/11
Islanders,Devils,away,F,Jean-Gabriel Pageau C,19:36,0,0,-1,0,1,0,1,0,10/16
Islanders,Devils,away,F,Kyle Palmieri C,18:04,0,1,1,1,0,0,1,1,0/0
Islanders,Devils,away,F,Maxim Tsyplakov R,16:13,0,1,1,1,0,0,0,2,0/0
Islanders,Devils,away,F,Oliver Wahlstrom R,08:24,0,0,0,0,0,0,0,0,0/0
Islanders,Devils,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Devils,away,F,Dennis Cholowski D,06:45,1,0,1,1,0,2,1,1,0/0
Islanders,Devils,away,F,Noah Dobson D,29:48,0,0,-2,1,3,0,1,2,0/0
Islanders,Devils,away,F,Isaiah George D,24:07,0,0,0,1,1,0,0,0,0/0
Islanders,Devils,away,F,Grant Hutton D,15:41,0,0,0,2,2,0,0,2,0/0
Islanders,Devils,away,F,Scott Mayfield D,22:06,0,0,1,0,0,0,0,1,0/0
Islanders,Devils,away,F,Ryan Pulock D,24:24,0,0,1,2,3,0,1,2,0/0
Islanders,Devils,away,F,Casey Cizikas C,15:26,0,0,0,0,0,0,0,0,6/12
Islanders,Devils,away,F,Pierre Engvall L,15:19,0,1,0,4,0,2,0,0,0/1
Islanders,Devils,away,F,Simon Holmstrom R,17:33,1,1,0,2,1,0,0,0,0/0
Islanders,Devils,away,F,Bo Horvat C,19:26,0,0,-1,4,0,0,0,2,3/5
Islanders,Devils,away,F,Anders Lee L,16:36,0,0,-1,1,1,0,1,1,0/0
Islanders,Devils,away,F,Kyle MacLean C,08:51,0,1,0,0,0,0,2,2,4/9
Islanders,Devils,away,F,Matt Martin L,07:10,0,0,1,0,1,0,0,0,0/0
Islanders,Devils,away,F,Brock Nelson C,19:36,1,0,1,2,0,0,0,0,7/11
Islanders,Devils,away,F,Jean-Gabriel Pageau C,19:36,0,0,-1,0,1,0,1,0,10/16
Islanders,Devils,away,F,Kyle Palmieri C,18:04,0,1,1,1,0,0,1,1,0/0
Islanders,Devils,away,F,Maxim Tsyplakov R,16:13,0,1,1,1,0,0,0,2,0/0
Islanders,Devils,away,F,Oliver Wahlstrom R,08:24,0,0,0,0,0,0,0,0,0/0
Islanders,Devils,away,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Devils,away,F,Dennis Cholowski D,06:45,1,0,1,1,0,2,1,1,0/0
Islanders,Devils,away,F,Noah Dobson D,29:48,0,0,-2,1,3,0,1,2,0/0
Islanders,Devils,away,F,Isaiah George D,24:07,0,0,0,1,1,0,0,0,0/0
Islanders,Devils,away,F,Grant Hutton D,15:41,0,0,0,2,2,0,0,2,0/0
Islanders,Devils,away,F,Scott Mayfield D,22:06,0,0,1,0,0,0,0,1,0/0
Islanders,Devils,away,F,Ryan Pulock D,24:24,0,0,1,2,3,0,1,2,0/0
