team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Islanders,Oilers,home,D,Dennis Cholowski D,12:46,0,0,0,0,0,0,0,1,0/0
Islanders,Oilers,home,D,Noah Dobson D,24:36,0,0,0,2,5,0,1,2,0/0
Islanders,Oilers,home,D,Isaiah George D,18:52,0,0,-1,0,1,0,1,2,0/0
Islanders,Oilers,home,D,Grant Hutton D,12:23,0,0,0,1,2,0,0,0,0/0
Islanders,Oilers,home,D,Scott Mayfield D,22:37,0,0,1,2,0,2,0,0,0/0
Islanders,Oilers,home,D,Ryan Pulock D,27:07,0,1,0,3,4,0,0,3,0/0
Islanders,Oilers,home,D,Dennis Cholowski D,12:46,0,0,0,0,0,0,0,1,0/0
Islanders,Oilers,home,D,Noah Dobson D,24:36,0,0,0,2,5,0,1,2,0/0
Islanders,Oilers,home,D,Isaiah George D,18:52,0,0,-1,0,1,0,1,2,0/0
Islanders,Oilers,home,D,Grant Hutton D,12:23,0,0,0,1,2,0,0,0,0/0
Islanders,Oilers,home,D,Scott Mayfield D,22:37,0,0,1,2,0,2,0,0,0/0
Islanders,Oilers,home,D,Ryan Pulock D,27:07,0,1,0,3,4,0,0,3,0/0
Islanders,Oilers,home,F,Casey Cizikas C,13:48,0,0,0,1,3,2,0,1,2/7
Islanders,Oilers,home,F,Pierre Engvall L,15:17,0,0,0,0,0,0,0,1,1/1
Islanders,Oilers,home,F,Simon Holmstrom R,18:57,0,0,-1,0,0,0,0,2,0/1
Islanders,Oilers,home,F,Bo Horvat C,21:16,0,0,0,1,2,0,0,2,3/6
Islanders,Oilers,home,F,Anders Lee L,17:36,2,0,1,2,0,0,1,0,0/0
Islanders,Oilers,home,F,Kyle MacLean C,08:10,0,0,-1,1,0,0,0,0,4/5
Islanders,Oilers,home,F,Matt Martin L,07:00,0,0,-1,1,0,0,0,0,1/1
Islanders,Oilers,home,F,Brock Nelson C,18:43,0,1,2,1,0,0,0,2,12/24
Islanders,Oilers,home,F,Jean-Gabriel Pageau C,17:38,0,2,1,2,1,0,0,2,5/14
Islanders,Oilers,home,F,Kyle Palmieri C,20:36,1,1,2,2,0,0,0,0,0/1
Islanders,Oilers,home,F,Maxim Tsyplakov R,16:23,0,1,1,3,0,0,1,1,0/0
Islanders,Oilers,home,F,Oliver Wahlstrom R,09:21,0,0,-1,0,1,0,0,0,0/0
Islanders,Oilers,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Oilers,home,F,Dennis Cholowski D,12:46,0,0,0,0,0,0,0,1,0/0
Islanders,Oilers,home,F,Noah Dobson D,24:36,0,0,0,2,5,0,1,2,0/0
Islanders,Oilers,home,F,Isaiah George D,18:52,0,0,-1,0,1,0,1,2,0/0
Islanders,Oilers,home,F,Grant Hutton D,12:23,0,0,0,1,2,0,0,0,0/0
Islanders,Oilers,home,F,Scott Mayfield D,22:37,0,0,1,2,0,2,0,0,0/0
Islanders,Oilers,home,F,Ryan Pulock D,27:07,0,1,0,3,4,0,0,3,0/0
Islanders,Oilers,home,F,Casey Cizikas C,13:48,0,0,0,1,3,2,0,1,2/7
Islanders,Oilers,home,F,Pierre Engvall L,15:17,0,0,0,0,0,0,0,1,1/1
Islanders,Oilers,home,F,Simon Holmstrom R,18:57,0,0,-1,0,0,0,0,2,0/1
Islanders,Oilers,home,F,Bo Horvat C,21:16,0,0,0,1,2,0,0,2,3/6
Islanders,Oilers,home,F,Anders Lee L,17:36,2,0,1,2,0,0,1,0,0/0
Islanders,Oilers,home,F,Kyle MacLean C,08:10,0,0,-1,1,0,0,0,0,4/5
Islanders,Oilers,home,F,Matt Martin L,07:00,0,0,-1,1,0,0,0,0,1/1
Islanders,Oilers,home,F,Brock Nelson C,18:43,0,1,2,1,0,0,0,2,12/24
Islanders,Oilers,home,F,Jean-Gabriel Pageau C,17:38,0,2,1,2,1,0,0,2,5/14
Islanders,Oilers,home,F,Kyle Palmieri C,20:36,1,1,2,2,0,0,0,0,0/1
Islanders,Oilers,home,F,Maxim Tsyplakov R,16:23,0,1,1,3,0,0,1,1,0/0
Islanders,Oilers,home,F,Oliver Wahlstrom R,09:21,0,0,-1,0,1,0,0,0,0/0
Islanders,Oilers,home,F,Islanders Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODennis
Islanders,Oilers,home,F,Dennis Cholowski D,12:46,0,0,0,0,0,0,0,1,0/0
Islanders,Oilers,home,F,Noah Dobson D,24:36,0,0,0,2,5,0,1,2,0/0
Islanders,Oilers,home,F,Isaiah George D,18:52,0,0,-1,0,1,0,1,2,0/0
Islanders,Oilers,home,F,Grant Hutton D,12:23,0,0,0,1,2,0,0,0,0/0
Islanders,Oilers,home,F,Scott Mayfield D,22:37,0,0,1,2,0,2,0,0,0/0
Islanders,Oilers,home,F,Ryan Pulock D,27:07,0,1,0,3,4,0,0,3,0/0
