team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Blackhawks,away,D,Dylan DeMelo D,20:31,0,0,0,0,1,2,0,1,0/0
Jets,Blackhawks,away,D,Haydn Fleury D,13:17,0,0,0,1,2,0,1,0,0/0
Jets,Blackhawks,away,D,Colin Miller D,14:14,0,0,0,2,0,0,0,0,0/0
Jets,Blackhawks,away,D,Josh Morrissey D,26:17,0,1,2,2,2,0,0,1,0/0
Jets,Blackhawks,away,D,Neal Pionk D,21:07,0,0,0,0,0,0,0,0,0/0
Jets,Blackhawks,away,D,Dylan Samberg D,21:29,0,0,-1,1,2,0,1,2,0/0
Jets,Blackhawks,away,D,Dylan DeMelo D,20:31,0,0,0,0,1,2,0,1,0/0
Jets,Blackhawks,away,D,Haydn Fleury D,13:17,0,0,0,1,2,0,1,0,0/0
Jets,Blackhawks,away,D,Colin Miller D,14:14,0,0,0,2,0,0,0,0,0/0
Jets,Blackhawks,away,D,Josh Morrissey D,26:17,0,1,2,2,2,0,0,1,0/0
Jets,Blackhawks,away,D,Neal Pionk D,21:07,0,0,0,0,0,0,0,0,0/0
Jets,Blackhawks,away,D,Dylan Samberg D,21:29,0,0,-1,1,2,0,1,2,0/0
Jets,Blackhawks,away,F,Mason Appleton C,14:02,0,0,0,5,2,0,0,0,0/0
Jets,Blackhawks,away,F,Morgan Barron C,10:08,0,0,0,1,0,0,0,0,1/1
Jets,Blackhawks,away,F,Kyle Connor L,20:18,0,1,1,3,0,0,0,0,0/0
Jets,Blackhawks,away,F,Nikolaj Ehlers L,16:48,0,1,1,3,0,0,0,4,0/0
Jets,Blackhawks,away,F,Alex Iafallo L,10:36,0,0,0,1,0,0,1,0,0/0
Jets,Blackhawks,away,F,Rasmus Kupari C,08:13,0,0,0,1,0,0,0,0,1/1
Jets,Blackhawks,away,F,Adam Lowry C,16:22,0,0,0,0,0,0,0,0,12/23
Jets,Blackhawks,away,F,Vladislav Namestnikov C,14:40,0,0,0,1,2,0,0,0,11/17
Jets,Blackhawks,away,F,Nino Niederreiter R,15:50,0,0,0,3,0,0,1,3,0/0
Jets,Blackhawks,away,F,Cole Perfetti C,14:34,0,0,0,2,1,0,0,2,0/0
Jets,Blackhawks,away,F,Mark Scheifele C,21:33,2,0,1,6,1,0,0,1,13/17
Jets,Blackhawks,away,F,Gabriel Vilardi C,20:29,0,0,0,3,0,0,1,0,0/1
Jets,Blackhawks,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Blackhawks,away,F,Dylan DeMelo D,20:31,0,0,0,0,1,2,0,1,0/0
Jets,Blackhawks,away,F,Haydn Fleury D,13:17,0,0,0,1,2,0,1,0,0/0
Jets,Blackhawks,away,F,Colin Miller D,14:14,0,0,0,2,0,0,0,0,0/0
Jets,Blackhawks,away,F,Josh Morrissey D,26:17,0,1,2,2,2,0,0,1,0/0
Jets,Blackhawks,away,F,Neal Pionk D,21:07,0,0,0,0,0,0,0,0,0/0
Jets,Blackhawks,away,F,Dylan Samberg D,21:29,0,0,-1,1,2,0,1,2,0/0
Jets,Blackhawks,away,F,Mason Appleton C,14:02,0,0,0,5,2,0,0,0,0/0
Jets,Blackhawks,away,F,Morgan Barron C,10:08,0,0,0,1,0,0,0,0,1/1
Jets,Blackhawks,away,F,Kyle Connor L,20:18,0,1,1,3,0,0,0,0,0/0
Jets,Blackhawks,away,F,Nikolaj Ehlers L,16:48,0,1,1,3,0,0,0,4,0/0
Jets,Blackhawks,away,F,Alex Iafallo L,10:36,0,0,0,1,0,0,1,0,0/0
Jets,Blackhawks,away,F,Rasmus Kupari C,08:13,0,0,0,1,0,0,0,0,1/1
Jets,Blackhawks,away,F,Adam Lowry C,16:22,0,0,0,0,0,0,0,0,12/23
Jets,Blackhawks,away,F,Vladislav Namestnikov C,14:40,0,0,0,1,2,0,0,0,11/17
Jets,Blackhawks,away,F,Nino Niederreiter R,15:50,0,0,0,3,0,0,1,3,0/0
Jets,Blackhawks,away,F,Cole Perfetti C,14:34,0,0,0,2,1,0,0,2,0/0
Jets,Blackhawks,away,F,Mark Scheifele C,21:33,2,0,1,6,1,0,0,1,13/17
Jets,Blackhawks,away,F,Gabriel Vilardi C,20:29,0,0,0,3,0,0,1,0,0/1
Jets,Blackhawks,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Blackhawks,away,F,Dylan DeMelo D,20:31,0,0,0,0,1,2,0,1,0/0
Jets,Blackhawks,away,F,Haydn Fleury D,13:17,0,0,0,1,2,0,1,0,0/0
Jets,Blackhawks,away,F,Colin Miller D,14:14,0,0,0,2,0,0,0,0,0/0
Jets,Blackhawks,away,F,Josh Morrissey D,26:17,0,1,2,2,2,0,0,1,0/0
Jets,Blackhawks,away,F,Neal Pionk D,21:07,0,0,0,0,0,0,0,0,0/0
Jets,Blackhawks,away,F,Dylan Samberg D,21:29,0,0,-1,1,2,0,1,2,0/0
