team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Penguins,away,D,Dylan DeMelo D,21:51,0,1,2,0,1,0,0,7,0/0
Jets,Penguins,away,D,Colin Miller D,15:24,0,2,1,2,0,2,0,1,0/0
Jets,Penguins,away,D,Josh Morrissey D,22:09,0,2,2,1,5,0,0,1,0/0
Jets,Penguins,away,D,Neal Pionk D,21:20,0,1,1,2,3,0,1,1,0/0
Jets,Penguins,away,D,Dylan Samberg D,21:14,0,0,1,3,0,0,0,2,0/0
Jets,Penguins,away,D,Logan Stanley D,16:52,0,1,1,2,3,0,0,1,0/0
Jets,Penguins,away,D,Dylan DeMelo D,21:51,0,1,2,0,1,0,0,7,0/0
Jets,Penguins,away,D,Colin Miller D,15:24,0,2,1,2,0,2,0,1,0/0
Jets,Penguins,away,D,Josh Morrissey D,22:09,0,2,2,1,5,0,0,1,0/0
Jets,Penguins,away,D,Neal Pionk D,21:20,0,1,1,2,3,0,1,1,0/0
Jets,Penguins,away,D,Dylan Samberg D,21:14,0,0,1,3,0,0,0,2,0/0
Jets,Penguins,away,D,Logan Stanley D,16:52,0,1,1,2,3,0,0,1,0/0
Jets,Penguins,away,F,Mason Appleton C,16:06,1,1,3,3,3,0,0,4,1/1
Jets,Penguins,away,F,Morgan Barron C,11:14,0,0,-1,2,0,0,0,1,0/0
Jets,Penguins,away,F,Kyle Connor L,19:20,1,0,2,4,1,0,2,2,0/0
Jets,Penguins,away,F,Nikolaj Ehlers L,12:57,0,2,1,3,0,0,0,0,0/0
Jets,Penguins,away,F,David Gustafsson C,10:21,0,0,-1,2,0,0,0,0,3/10
Jets,Penguins,away,F,Alex Iafallo L,10:50,0,0,-1,1,2,0,0,0,0/0
Jets,Penguins,away,F,Adam Lowry C,15:22,1,0,3,2,0,2,0,2,7/17
Jets,Penguins,away,F,Vladislav Namestnikov C,14:07,1,0,1,1,1,0,0,0,7/11
Jets,Penguins,away,F,Nino Niederreiter R,16:20,1,0,3,5,3,0,0,0,0/1
Jets,Penguins,away,F,Cole Perfetti C,13:33,0,0,0,1,2,0,0,0,1/1
Jets,Penguins,away,F,Mark Scheifele C,20:36,1,0,1,2,1,0,0,2,9/21
Jets,Penguins,away,F,Gabriel Vilardi C,16:40,0,0,1,1,0,0,1,0,0/0
Jets,Penguins,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Penguins,away,F,Dylan DeMelo D,21:51,0,1,2,0,1,0,0,7,0/0
Jets,Penguins,away,F,Colin Miller D,15:24,0,2,1,2,0,2,0,1,0/0
Jets,Penguins,away,F,Josh Morrissey D,22:09,0,2,2,1,5,0,0,1,0/0
Jets,Penguins,away,F,Neal Pionk D,21:20,0,1,1,2,3,0,1,1,0/0
Jets,Penguins,away,F,Dylan Samberg D,21:14,0,0,1,3,0,0,0,2,0/0
Jets,Penguins,away,F,Logan Stanley D,16:52,0,1,1,2,3,0,0,1,0/0
Jets,Penguins,away,F,Mason Appleton C,16:06,1,1,3,3,3,0,0,4,1/1
Jets,Penguins,away,F,Morgan Barron C,11:14,0,0,-1,2,0,0,0,1,0/0
Jets,Penguins,away,F,Kyle Connor L,19:20,1,0,2,4,1,0,2,2,0/0
Jets,Penguins,away,F,Nikolaj Ehlers L,12:57,0,2,1,3,0,0,0,0,0/0
Jets,Penguins,away,F,David Gustafsson C,10:21,0,0,-1,2,0,0,0,0,3/10
Jets,Penguins,away,F,Alex Iafallo L,10:50,0,0,-1,1,2,0,0,0,0/0
Jets,Penguins,away,F,Adam Lowry C,15:22,1,0,3,2,0,2,0,2,7/17
Jets,Penguins,away,F,Vladislav Namestnikov C,14:07,1,0,1,1,1,0,0,0,7/11
Jets,Penguins,away,F,Nino Niederreiter R,16:20,1,0,3,5,3,0,0,0,0/1
Jets,Penguins,away,F,Cole Perfetti C,13:33,0,0,0,1,2,0,0,0,1/1
Jets,Penguins,away,F,Mark Scheifele C,20:36,1,0,1,2,1,0,0,2,9/21
Jets,Penguins,away,F,Gabriel Vilardi C,16:40,0,0,1,1,0,0,1,0,0/0
Jets,Penguins,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Penguins,away,F,Dylan DeMelo D,21:51,0,1,2,0,1,0,0,7,0/0
Jets,Penguins,away,F,Colin Miller D,15:24,0,2,1,2,0,2,0,1,0/0
Jets,Penguins,away,F,Josh Morrissey D,22:09,0,2,2,1,5,0,0,1,0/0
Jets,Penguins,away,F,Neal Pionk D,21:20,0,1,1,2,3,0,1,1,0/0
Jets,Penguins,away,F,Dylan Samberg D,21:14,0,0,1,3,0,0,0,2,0/0
Jets,Penguins,away,F,Logan Stanley D,16:52,0,1,1,2,3,0,0,1,0/0
