team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Flames,home,D,Dylan DeMelo D,21:58,0,0,-2,0,5,0,0,1,0/0
Jets,Flames,home,D,Colin Miller D,13:24,0,0,-1,1,0,0,0,0,0/0
Jets,Flames,home,D,Josh Morrissey D,23:57,0,1,-2,2,2,0,2,1,0/0
Jets,Flames,home,D,Neal Pionk D,19:58,0,2,2,3,1,2,0,0,0/0
Jets,Flames,home,D,Dylan Samberg D,19:38,1,0,3,2,0,2,0,2,0/0
Jets,Flames,home,D,Logan Stanley D,17:59,0,0,0,1,1,0,0,3,0/0
Jets,Flames,home,D,Dylan DeMelo D,21:58,0,0,-2,0,5,0,0,1,0/0
Jets,Flames,home,D,Colin Miller D,13:24,0,0,-1,1,0,0,0,0,0/0
Jets,Flames,home,D,Josh Morrissey D,23:57,0,1,-2,2,2,0,2,1,0/0
Jets,Flames,home,D,Neal Pionk D,19:58,0,2,2,3,1,2,0,0,0/0
Jets,Flames,home,D,Dylan Samberg D,19:38,1,0,3,2,0,2,0,2,0/0
Jets,Flames,home,D,Logan Stanley D,17:59,0,0,0,1,1,0,0,3,0/0
Jets,Flames,home,F,Mason Appleton C,14:15,1,1,0,3,1,0,0,0,0/0
Jets,Flames,home,F,Morgan Barron C,10:55,0,0,-1,1,1,2,1,0,0/1
Jets,Flames,home,F,Kyle Connor L,20:13,1,1,0,5,0,0,0,1,0/1
Jets,Flames,home,F,Nikolaj Ehlers L,16:01,1,0,0,5,1,2,0,1,0/0
Jets,Flames,home,F,Alex Iafallo L,09:41,0,0,0,1,0,0,0,0,0/0
Jets,Flames,home,F,Rasmus Kupari C,08:29,0,0,-1,1,0,0,1,1,4/8
Jets,Flames,home,F,Adam Lowry C,16:37,0,2,2,2,2,0,0,1,13/26
Jets,Flames,home,F,Vladislav Namestnikov C,12:10,0,1,0,1,0,0,0,0,7/14
Jets,Flames,home,F,Nino Niederreiter R,11:21,0,2,1,3,0,2,2,0,0/0
Jets,Flames,home,F,Cole Perfetti C,13:11,1,0,0,1,1,0,0,1,0/1
Jets,Flames,home,F,Mark Scheifele C,20:18,0,0,-1,1,4,2,0,2,10/22
Jets,Flames,home,F,Gabriel Vilardi C,19:06,0,0,-1,2,0,0,0,1,0/0
Jets,Flames,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Flames,home,F,Dylan DeMelo D,21:58,0,0,-2,0,5,0,0,1,0/0
Jets,Flames,home,F,Colin Miller D,13:24,0,0,-1,1,0,0,0,0,0/0
Jets,Flames,home,F,Josh Morrissey D,23:57,0,1,-2,2,2,0,2,1,0/0
Jets,Flames,home,F,Neal Pionk D,19:58,0,2,2,3,1,2,0,0,0/0
Jets,Flames,home,F,Dylan Samberg D,19:38,1,0,3,2,0,2,0,2,0/0
Jets,Flames,home,F,Logan Stanley D,17:59,0,0,0,1,1,0,0,3,0/0
Jets,Flames,home,F,Mason Appleton C,14:15,1,1,0,3,1,0,0,0,0/0
Jets,Flames,home,F,Morgan Barron C,10:55,0,0,-1,1,1,2,1,0,0/1
Jets,Flames,home,F,Kyle Connor L,20:13,1,1,0,5,0,0,0,1,0/1
Jets,Flames,home,F,Nikolaj Ehlers L,16:01,1,0,0,5,1,2,0,1,0/0
Jets,Flames,home,F,Alex Iafallo L,09:41,0,0,0,1,0,0,0,0,0/0
Jets,Flames,home,F,Rasmus Kupari C,08:29,0,0,-1,1,0,0,1,1,4/8
Jets,Flames,home,F,Adam Lowry C,16:37,0,2,2,2,2,0,0,1,13/26
Jets,Flames,home,F,Vladislav Namestnikov C,12:10,0,1,0,1,0,0,0,0,7/14
Jets,Flames,home,F,Nino Niederreiter R,11:21,0,2,1,3,0,2,2,0,0/0
Jets,Flames,home,F,Cole Perfetti C,13:11,1,0,0,1,1,0,0,1,0/1
Jets,Flames,home,F,Mark Scheifele C,20:18,0,0,-1,1,4,2,0,2,10/22
Jets,Flames,home,F,Gabriel Vilardi C,19:06,0,0,-1,2,0,0,0,1,0/0
Jets,Flames,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Flames,home,F,Dylan DeMelo D,21:58,0,0,-2,0,5,0,0,1,0/0
Jets,Flames,home,F,Colin Miller D,13:24,0,0,-1,1,0,0,0,0,0/0
Jets,Flames,home,F,Josh Morrissey D,23:57,0,1,-2,2,2,0,2,1,0/0
Jets,Flames,home,F,Neal Pionk D,19:58,0,2,2,3,1,2,0,0,0/0
Jets,Flames,home,F,Dylan Samberg D,19:38,1,0,3,2,0,2,0,2,0/0
Jets,Flames,home,F,Logan Stanley D,17:59,0,0,0,1,1,0,0,3,0/0
