team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Red Wings,home,D,Dylan DeMelo D,23:02,0,0,3,0,3,0,0,2,0/0
Jets,Red Wings,home,D,Colin Miller D,12:21,1,0,1,2,1,0,0,0,0/0
Jets,Red Wings,home,D,Josh Morrissey D,24:43,0,0,2,1,3,0,0,3,0/0
Jets,Red Wings,home,D,Neal Pionk D,21:01,2,0,2,3,0,2,0,1,0/0
Jets,Red Wings,home,D,Dylan Samberg D,20:59,0,0,2,1,1,2,0,0,0/0
Jets,Red Wings,home,D,Logan Stanley D,14:33,0,1,0,2,1,0,0,1,0/0
Jets,Red Wings,home,D,Dylan DeMelo D,23:02,0,0,3,0,3,0,0,2,0/0
Jets,Red Wings,home,D,Colin Miller D,12:21,1,0,1,2,1,0,0,0,0/0
Jets,Red Wings,home,D,Josh Morrissey D,24:43,0,0,2,1,3,0,0,3,0/0
Jets,Red Wings,home,D,Neal Pionk D,21:01,2,0,2,3,0,2,0,1,0/0
Jets,Red Wings,home,D,Dylan Samberg D,20:59,0,0,2,1,1,2,0,0,0/0
Jets,Red Wings,home,D,Logan Stanley D,14:33,0,1,0,2,1,0,0,1,0/0
Jets,Red Wings,home,F,Mason Appleton C,13:56,0,0,2,1,1,0,0,2,0/0
Jets,Red Wings,home,F,Morgan Barron C,13:06,0,0,1,0,3,0,0,1,0/0
Jets,Red Wings,home,F,Kyle Connor L,16:18,1,2,3,4,1,0,0,0,0/0
Jets,Red Wings,home,F,Nikolaj Ehlers L,17:05,0,0,0,2,0,0,0,0,0/0
Jets,Red Wings,home,F,Alex Iafallo L,13:03,0,1,0,1,2,0,0,0,0/0
Jets,Red Wings,home,F,Rasmus Kupari C,11:50,0,0,0,2,0,0,0,0,3/5
Jets,Red Wings,home,F,Adam Lowry C,15:09,0,1,2,0,2,0,0,0,13/22
Jets,Red Wings,home,F,Vladislav Namestnikov C,14:14,0,1,0,0,0,0,1,0,5/7
Jets,Red Wings,home,F,Nino Niederreiter R,14:48,1,0,1,4,0,0,1,0,0/0
Jets,Red Wings,home,F,Cole Perfetti C,15:43,0,0,0,1,0,0,0,0,0/1
Jets,Red Wings,home,F,Mark Scheifele C,18:51,0,1,3,2,1,2,1,1,12/19
Jets,Red Wings,home,F,Gabriel Vilardi C,16:17,1,1,3,3,0,0,0,1,0/0
Jets,Red Wings,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Red Wings,home,F,Dylan DeMelo D,23:02,0,0,3,0,3,0,0,2,0/0
Jets,Red Wings,home,F,Colin Miller D,12:21,1,0,1,2,1,0,0,0,0/0
Jets,Red Wings,home,F,Josh Morrissey D,24:43,0,0,2,1,3,0,0,3,0/0
Jets,Red Wings,home,F,Neal Pionk D,21:01,2,0,2,3,0,2,0,1,0/0
Jets,Red Wings,home,F,Dylan Samberg D,20:59,0,0,2,1,1,2,0,0,0/0
Jets,Red Wings,home,F,Logan Stanley D,14:33,0,1,0,2,1,0,0,1,0/0
Jets,Red Wings,home,F,Mason Appleton C,13:56,0,0,2,1,1,0,0,2,0/0
Jets,Red Wings,home,F,Morgan Barron C,13:06,0,0,1,0,3,0,0,1,0/0
Jets,Red Wings,home,F,Kyle Connor L,16:18,1,2,3,4,1,0,0,0,0/0
Jets,Red Wings,home,F,Nikolaj Ehlers L,17:05,0,0,0,2,0,0,0,0,0/0
Jets,Red Wings,home,F,Alex Iafallo L,13:03,0,1,0,1,2,0,0,0,0/0
Jets,Red Wings,home,F,Rasmus Kupari C,11:50,0,0,0,2,0,0,0,0,3/5
Jets,Red Wings,home,F,Adam Lowry C,15:09,0,1,2,0,2,0,0,0,13/22
Jets,Red Wings,home,F,Vladislav Namestnikov C,14:14,0,1,0,0,0,0,1,0,5/7
Jets,Red Wings,home,F,Nino Niederreiter R,14:48,1,0,1,4,0,0,1,0,0/0
Jets,Red Wings,home,F,Cole Perfetti C,15:43,0,0,0,1,0,0,0,0,0/1
Jets,Red Wings,home,F,Mark Scheifele C,18:51,0,1,3,2,1,2,1,1,12/19
Jets,Red Wings,home,F,Gabriel Vilardi C,16:17,1,1,3,3,0,0,0,1,0/0
Jets,Red Wings,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Red Wings,home,F,Dylan DeMelo D,23:02,0,0,3,0,3,0,0,2,0/0
Jets,Red Wings,home,F,Colin Miller D,12:21,1,0,1,2,1,0,0,0,0/0
Jets,Red Wings,home,F,Josh Morrissey D,24:43,0,0,2,1,3,0,0,3,0/0
Jets,Red Wings,home,F,Neal Pionk D,21:01,2,0,2,3,0,2,0,1,0/0
Jets,Red Wings,home,F,Dylan Samberg D,20:59,0,0,2,1,1,2,0,0,0/0
Jets,Red Wings,home,F,Logan Stanley D,14:33,0,1,0,2,1,0,0,1,0/0
