team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Blue Jackets,home,D,Dylan DeMelo D,21:04,0,0,0,4,0,0,1,0,0/0
Jets,Blue Jackets,home,D,Colin Miller D,15:07,0,1,2,0,1,0,0,0,0/0
Jets,Blue Jackets,home,D,Josh Morrissey D,25:02,1,1,0,5,2,0,2,1,0/0
Jets,Blue Jackets,home,D,Neal Pionk D,19:42,0,1,2,2,1,0,0,0,0/0
Jets,Blue Jackets,home,D,Dylan Samberg D,20:04,0,0,2,1,3,0,2,1,0/0
Jets,Blue Jackets,home,D,Logan Stanley D,15:51,0,0,2,2,2,0,1,0,0/0
Jets,Blue Jackets,home,D,Dylan DeMelo D,21:04,0,0,0,4,0,0,1,0,0/0
Jets,Blue Jackets,home,D,Colin Miller D,15:07,0,1,2,0,1,0,0,0,0/0
Jets,Blue Jackets,home,D,Josh Morrissey D,25:02,1,1,0,5,2,0,2,1,0/0
Jets,Blue Jackets,home,D,Neal Pionk D,19:42,0,1,2,2,1,0,0,0,0/0
Jets,Blue Jackets,home,D,Dylan Samberg D,20:04,0,0,2,1,3,0,2,1,0/0
Jets,Blue Jackets,home,D,Logan Stanley D,15:51,0,0,2,2,2,0,1,0,0/0
Jets,Blue Jackets,home,F,Mason Appleton C,14:15,1,0,1,1,0,0,0,0,0/0
Jets,Blue Jackets,home,F,Morgan Barron C,11:04,0,0,0,1,0,2,0,1,0/0
Jets,Blue Jackets,home,F,Kyle Connor L,17:26,0,1,1,4,0,0,1,0,0/0
Jets,Blue Jackets,home,F,Nikolaj Ehlers L,17:19,3,1,3,5,0,0,0,1,0/0
Jets,Blue Jackets,home,F,Alex Iafallo L,12:54,0,0,0,0,0,0,0,0,0/0
Jets,Blue Jackets,home,F,Rasmus Kupari C,10:59,0,0,0,3,1,0,0,1,4/7
Jets,Blue Jackets,home,F,Adam Lowry C,15:38,0,1,1,2,0,0,0,2,6/17
Jets,Blue Jackets,home,F,Vladislav Namestnikov C,15:21,0,0,3,3,1,0,0,0,6/14
Jets,Blue Jackets,home,F,Nino Niederreiter R,14:41,0,0,0,3,0,0,0,1,0/1
Jets,Blue Jackets,home,F,Cole Perfetti C,15:14,0,0,2,0,1,0,1,1,0/0
Jets,Blue Jackets,home,F,Mark Scheifele C,18:26,0,1,0,5,0,2,0,1,12/19
Jets,Blue Jackets,home,F,Gabriel Vilardi C,17:45,1,0,1,3,0,0,0,2,0/0
Jets,Blue Jackets,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Blue Jackets,home,F,Dylan DeMelo D,21:04,0,0,0,4,0,0,1,0,0/0
Jets,Blue Jackets,home,F,Colin Miller D,15:07,0,1,2,0,1,0,0,0,0/0
Jets,Blue Jackets,home,F,Josh Morrissey D,25:02,1,1,0,5,2,0,2,1,0/0
Jets,Blue Jackets,home,F,Neal Pionk D,19:42,0,1,2,2,1,0,0,0,0/0
Jets,Blue Jackets,home,F,Dylan Samberg D,20:04,0,0,2,1,3,0,2,1,0/0
Jets,Blue Jackets,home,F,Logan Stanley D,15:51,0,0,2,2,2,0,1,0,0/0
Jets,Blue Jackets,home,F,Mason Appleton C,14:15,1,0,1,1,0,0,0,0,0/0
Jets,Blue Jackets,home,F,Morgan Barron C,11:04,0,0,0,1,0,2,0,1,0/0
Jets,Blue Jackets,home,F,Kyle Connor L,17:26,0,1,1,4,0,0,1,0,0/0
Jets,Blue Jackets,home,F,Nikolaj Ehlers L,17:19,3,1,3,5,0,0,0,1,0/0
Jets,Blue Jackets,home,F,Alex Iafallo L,12:54,0,0,0,0,0,0,0,0,0/0
Jets,Blue Jackets,home,F,Rasmus Kupari C,10:59,0,0,0,3,1,0,0,1,4/7
Jets,Blue Jackets,home,F,Adam Lowry C,15:38,0,1,1,2,0,0,0,2,6/17
Jets,Blue Jackets,home,F,Vladislav Namestnikov C,15:21,0,0,3,3,1,0,0,0,6/14
Jets,Blue Jackets,home,F,Nino Niederreiter R,14:41,0,0,0,3,0,0,0,1,0/1
Jets,Blue Jackets,home,F,Cole Perfetti C,15:14,0,0,2,0,1,0,1,1,0/0
Jets,Blue Jackets,home,F,Mark Scheifele C,18:26,0,1,0,5,0,2,0,1,12/19
Jets,Blue Jackets,home,F,Gabriel Vilardi C,17:45,1,0,1,3,0,0,0,2,0/0
Jets,Blue Jackets,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Blue Jackets,home,F,Dylan DeMelo D,21:04,0,0,0,4,0,0,1,0,0/0
Jets,Blue Jackets,home,F,Colin Miller D,15:07,0,1,2,0,1,0,0,0,0/0
Jets,Blue Jackets,home,F,Josh Morrissey D,25:02,1,1,0,5,2,0,2,1,0/0
Jets,Blue Jackets,home,F,Neal Pionk D,19:42,0,1,2,2,1,0,0,0,0/0
Jets,Blue Jackets,home,F,Dylan Samberg D,20:04,0,0,2,1,3,0,2,1,0/0
Jets,Blue Jackets,home,F,Logan Stanley D,15:51,0,0,2,2,2,0,1,0,0/0
