team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Hockey Club,away,D,Dylan DeMelo D,22:33,0,0,1,0,1,0,0,0,0/0
Jets,Hockey Club,away,D,Colin Miller D,11:44,0,0,0,3,1,2,0,3,0/0
Jets,Hockey Club,away,D,Josh Morrissey D,22:23,0,1,1,0,0,0,0,2,0/0
Jets,Hockey Club,away,D,Neal Pionk D,21:56,0,0,1,2,1,0,0,2,0/0
Jets,Hockey Club,away,D,Dylan Samberg D,24:19,0,1,1,5,1,0,1,2,0/0
Jets,Hockey Club,away,D,Logan Stanley D,14:32,0,0,0,1,0,2,0,0,0/0
Jets,Hockey Club,away,D,Dylan DeMelo D,22:33,0,0,1,0,1,0,0,0,0/0
Jets,Hockey Club,away,D,Colin Miller D,11:44,0,0,0,3,1,2,0,3,0/0
Jets,Hockey Club,away,D,Josh Morrissey D,22:23,0,1,1,0,0,0,0,2,0/0
Jets,Hockey Club,away,D,Neal Pionk D,21:56,0,0,1,2,1,0,0,2,0/0
Jets,Hockey Club,away,D,Dylan Samberg D,24:19,0,1,1,5,1,0,1,2,0/0
Jets,Hockey Club,away,D,Logan Stanley D,14:32,0,0,0,1,0,2,0,0,0/0
Jets,Hockey Club,away,F,Mason Appleton C,14:09,0,1,2,1,1,0,0,2,0/0
Jets,Hockey Club,away,F,Morgan Barron C,09:49,0,0,0,0,3,0,1,0,0/0
Jets,Hockey Club,away,F,Kyle Connor L,20:04,0,0,0,3,0,2,0,1,0/0
Jets,Hockey Club,away,F,Nikolaj Ehlers L,14:53,0,0,0,2,0,0,0,1,0/0
Jets,Hockey Club,away,F,Alex Iafallo L,10:41,0,0,0,0,2,0,0,0,0/0
Jets,Hockey Club,away,F,Rasmus Kupari C,08:55,0,0,0,1,1,2,0,0,9/13
Jets,Hockey Club,away,F,Adam Lowry C,15:59,0,2,2,1,2,0,1,0,12/19
Jets,Hockey Club,away,F,Vladislav Namestnikov C,14:23,0,0,0,0,3,0,1,0,3/9
Jets,Hockey Club,away,F,Nino Niederreiter R,13:49,2,0,2,3,1,0,1,1,0/1
Jets,Hockey Club,away,F,Cole Perfetti C,14:00,0,0,0,1,0,0,1,2,0/0
Jets,Hockey Club,away,F,Mark Scheifele C,19:16,0,1,0,1,2,0,0,0,7/15
Jets,Hockey Club,away,F,Gabriel Vilardi C,18:35,1,0,0,4,0,0,0,2,0/0
Jets,Hockey Club,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Hockey Club,away,F,Dylan DeMelo D,22:33,0,0,1,0,1,0,0,0,0/0
Jets,Hockey Club,away,F,Colin Miller D,11:44,0,0,0,3,1,2,0,3,0/0
Jets,Hockey Club,away,F,Josh Morrissey D,22:23,0,1,1,0,0,0,0,2,0/0
Jets,Hockey Club,away,F,Neal Pionk D,21:56,0,0,1,2,1,0,0,2,0/0
Jets,Hockey Club,away,F,Dylan Samberg D,24:19,0,1,1,5,1,0,1,2,0/0
Jets,Hockey Club,away,F,Logan Stanley D,14:32,0,0,0,1,0,2,0,0,0/0
Jets,Hockey Club,away,F,Mason Appleton C,14:09,0,1,2,1,1,0,0,2,0/0
Jets,Hockey Club,away,F,Morgan Barron C,09:49,0,0,0,0,3,0,1,0,0/0
Jets,Hockey Club,away,F,Kyle Connor L,20:04,0,0,0,3,0,2,0,1,0/0
Jets,Hockey Club,away,F,Nikolaj Ehlers L,14:53,0,0,0,2,0,0,0,1,0/0
Jets,Hockey Club,away,F,Alex Iafallo L,10:41,0,0,0,0,2,0,0,0,0/0
Jets,Hockey Club,away,F,Rasmus Kupari C,08:55,0,0,0,1,1,2,0,0,9/13
Jets,Hockey Club,away,F,Adam Lowry C,15:59,0,2,2,1,2,0,1,0,12/19
Jets,Hockey Club,away,F,Vladislav Namestnikov C,14:23,0,0,0,0,3,0,1,0,3/9
Jets,Hockey Club,away,F,Nino Niederreiter R,13:49,2,0,2,3,1,0,1,1,0/1
Jets,Hockey Club,away,F,Cole Perfetti C,14:00,0,0,0,1,0,0,1,2,0/0
Jets,Hockey Club,away,F,Mark Scheifele C,19:16,0,1,0,1,2,0,0,0,7/15
Jets,Hockey Club,away,F,Gabriel Vilardi C,18:35,1,0,0,4,0,0,0,2,0/0
Jets,Hockey Club,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Hockey Club,away,F,Dylan DeMelo D,22:33,0,0,1,0,1,0,0,0,0/0
Jets,Hockey Club,away,F,Colin Miller D,11:44,0,0,0,3,1,2,0,3,0/0
Jets,Hockey Club,away,F,Josh Morrissey D,22:23,0,1,1,0,0,0,0,2,0/0
Jets,Hockey Club,away,F,Neal Pionk D,21:56,0,0,1,2,1,0,0,2,0/0
Jets,Hockey Club,away,F,Dylan Samberg D,24:19,0,1,1,5,1,0,1,2,0/0
Jets,Hockey Club,away,F,Logan Stanley D,14:32,0,0,0,1,0,2,0,0,0/0
