team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Avalanche,away,D,Dylan DeMelo D,22:57,0,0,0,1,0,0,0,1,0/0
Jets,Avalanche,away,D,Colin Miller D,12:51,0,0,0,1,0,0,0,2,0/0
Jets,Avalanche,away,D,Josh Morrissey D,25:18,0,0,0,2,2,2,0,0,0/0
Jets,Avalanche,away,D,Neal Pionk D,21:54,0,0,1,1,3,0,0,1,0/0
Jets,Avalanche,away,D,Dylan Samberg D,20:29,0,0,1,0,5,0,2,0,0/0
Jets,Avalanche,away,D,Logan Stanley D,12:52,0,0,0,0,2,0,0,0,0/0
Jets,Avalanche,away,D,Dylan DeMelo D,22:57,0,0,0,1,0,0,0,1,0/0
Jets,Avalanche,away,D,Colin Miller D,12:51,0,0,0,1,0,0,0,2,0/0
Jets,Avalanche,away,D,Josh Morrissey D,25:18,0,0,0,2,2,2,0,0,0/0
Jets,Avalanche,away,D,Neal Pionk D,21:54,0,0,1,1,3,0,0,1,0/0
Jets,Avalanche,away,D,Dylan Samberg D,20:29,0,0,1,0,5,0,2,0,0/0
Jets,Avalanche,away,D,Logan Stanley D,12:52,0,0,0,0,2,0,0,0,0/0
Jets,Avalanche,away,F,Mason Appleton C,18:18,0,0,0,0,0,0,0,1,0/0
Jets,Avalanche,away,F,Morgan Barron C,09:47,0,0,0,1,1,0,0,2,1/1
Jets,Avalanche,away,F,Kyle Connor L,19:37,0,0,1,3,0,0,0,1,0/0
Jets,Avalanche,away,F,Nikolaj Ehlers L,15:29,0,0,0,5,0,0,0,0,0/0
Jets,Avalanche,away,F,Alex Iafallo L,09:16,0,0,0,1,0,0,0,0,0/0
Jets,Avalanche,away,F,Rasmus Kupari C,08:05,0,0,0,2,0,0,1,0,3/7
Jets,Avalanche,away,F,Adam Lowry C,17:15,0,0,0,3,1,0,0,0,9/15
Jets,Avalanche,away,F,Vladislav Namestnikov C,13:31,0,0,0,2,1,0,0,1,7/14
Jets,Avalanche,away,F,Nino Niederreiter R,18:45,0,0,0,2,0,0,0,0,0/0
Jets,Avalanche,away,F,Cole Perfetti C,13:20,0,0,0,0,0,0,0,0,0/0
Jets,Avalanche,away,F,Mark Scheifele C,21:24,0,1,1,0,1,0,1,2,12/21
Jets,Avalanche,away,F,Gabriel Vilardi C,17:57,1,0,1,4,1,0,1,1,1/1
Jets,Avalanche,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Avalanche,away,F,Dylan DeMelo D,22:57,0,0,0,1,0,0,0,1,0/0
Jets,Avalanche,away,F,Colin Miller D,12:51,0,0,0,1,0,0,0,2,0/0
Jets,Avalanche,away,F,Josh Morrissey D,25:18,0,0,0,2,2,2,0,0,0/0
Jets,Avalanche,away,F,Neal Pionk D,21:54,0,0,1,1,3,0,0,1,0/0
Jets,Avalanche,away,F,Dylan Samberg D,20:29,0,0,1,0,5,0,2,0,0/0
Jets,Avalanche,away,F,Logan Stanley D,12:52,0,0,0,0,2,0,0,0,0/0
Jets,Avalanche,away,F,Mason Appleton C,18:18,0,0,0,0,0,0,0,1,0/0
Jets,Avalanche,away,F,Morgan Barron C,09:47,0,0,0,1,1,0,0,2,1/1
Jets,Avalanche,away,F,Kyle Connor L,19:37,0,0,1,3,0,0,0,1,0/0
Jets,Avalanche,away,F,Nikolaj Ehlers L,15:29,0,0,0,5,0,0,0,0,0/0
Jets,Avalanche,away,F,Alex Iafallo L,09:16,0,0,0,1,0,0,0,0,0/0
Jets,Avalanche,away,F,Rasmus Kupari C,08:05,0,0,0,2,0,0,1,0,3/7
Jets,Avalanche,away,F,Adam Lowry C,17:15,0,0,0,3,1,0,0,0,9/15
Jets,Avalanche,away,F,Vladislav Namestnikov C,13:31,0,0,0,2,1,0,0,1,7/14
Jets,Avalanche,away,F,Nino Niederreiter R,18:45,0,0,0,2,0,0,0,0,0/0
Jets,Avalanche,away,F,Cole Perfetti C,13:20,0,0,0,0,0,0,0,0,0/0
Jets,Avalanche,away,F,Mark Scheifele C,21:24,0,1,1,0,1,0,1,2,12/21
Jets,Avalanche,away,F,Gabriel Vilardi C,17:57,1,0,1,4,1,0,1,1,1/1
Jets,Avalanche,away,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Avalanche,away,F,Dylan DeMelo D,22:57,0,0,0,1,0,0,0,1,0/0
Jets,Avalanche,away,F,Colin Miller D,12:51,0,0,0,1,0,0,0,2,0/0
Jets,Avalanche,away,F,Josh Morrissey D,25:18,0,0,0,2,2,2,0,0,0/0
Jets,Avalanche,away,F,Neal Pionk D,21:54,0,0,1,1,3,0,0,1,0/0
Jets,Avalanche,away,F,Dylan Samberg D,20:29,0,0,1,0,5,0,2,0,0/0
Jets,Avalanche,away,F,Logan Stanley D,12:52,0,0,0,0,2,0,0,0,0/0
