team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Rangers,home,D,Dylan DeMelo D,22:57,0,1,1,0,0,0,1,2,0/0
Jets,Rangers,home,D,Haydn Fleury D,13:18,0,0,0,1,0,0,0,0,0/0
Jets,Rangers,home,D,Colin Miller D,12:55,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,D,Josh Morrissey D,21:55,0,1,1,3,2,2,0,2,0/0
Jets,Rangers,home,D,Neal Pionk D,23:25,0,3,2,0,1,0,0,3,0/0
Jets,Rangers,home,D,Dylan Samberg D,22:38,0,1,2,1,2,2,0,2,0/0
Jets,Rangers,home,D,Dylan DeMelo D,22:57,0,1,1,0,0,0,1,2,0/0
Jets,Rangers,home,D,Haydn Fleury D,13:18,0,0,0,1,0,0,0,0,0/0
Jets,Rangers,home,D,Colin Miller D,12:55,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,D,Josh Morrissey D,21:55,0,1,1,3,2,2,0,2,0/0
Jets,Rangers,home,D,Neal Pionk D,23:25,0,3,2,0,1,0,0,3,0/0
Jets,Rangers,home,D,Dylan Samberg D,22:38,0,1,2,1,2,2,0,2,0/0
Jets,Rangers,home,F,Mason Appleton C,14:11,0,0,-1,1,0,0,0,1,0/0
Jets,Rangers,home,F,Morgan Barron C,10:51,0,0,0,2,1,0,0,0,0/0
Jets,Rangers,home,F,Kyle Connor L,20:59,2,1,4,7,1,2,1,2,0/0
Jets,Rangers,home,F,Nikolaj Ehlers L,15:45,0,2,0,1,0,0,0,1,0/0
Jets,Rangers,home,F,Alex Iafallo L,11:46,0,0,2,1,1,0,0,1,0/0
Jets,Rangers,home,F,Rasmus Kupari C,09:41,0,0,1,2,0,0,0,0,5/8
Jets,Rangers,home,F,Adam Lowry C,14:40,0,0,-1,3,2,0,0,1,5/17
Jets,Rangers,home,F,Vladislav Namestnikov C,13:40,1,0,0,4,1,0,0,4,2/7
Jets,Rangers,home,F,Nino Niederreiter R,12:36,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,F,Cole Perfetti C,13:54,0,0,0,1,0,0,0,1,0/3
Jets,Rangers,home,F,Mark Scheifele C,20:02,2,0,3,3,2,0,0,1,6/16
Jets,Rangers,home,F,Gabriel Vilardi C,17:30,1,0,3,3,0,0,1,0,0/0
Jets,Rangers,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Rangers,home,F,Dylan DeMelo D,22:57,0,1,1,0,0,0,1,2,0/0
Jets,Rangers,home,F,Haydn Fleury D,13:18,0,0,0,1,0,0,0,0,0/0
Jets,Rangers,home,F,Colin Miller D,12:55,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,F,Josh Morrissey D,21:55,0,1,1,3,2,2,0,2,0/0
Jets,Rangers,home,F,Neal Pionk D,23:25,0,3,2,0,1,0,0,3,0/0
Jets,Rangers,home,F,Dylan Samberg D,22:38,0,1,2,1,2,2,0,2,0/0
Jets,Rangers,home,F,Mason Appleton C,14:11,0,0,-1,1,0,0,0,1,0/0
Jets,Rangers,home,F,Morgan Barron C,10:51,0,0,0,2,1,0,0,0,0/0
Jets,Rangers,home,F,Kyle Connor L,20:59,2,1,4,7,1,2,1,2,0/0
Jets,Rangers,home,F,Nikolaj Ehlers L,15:45,0,2,0,1,0,0,0,1,0/0
Jets,Rangers,home,F,Alex Iafallo L,11:46,0,0,2,1,1,0,0,1,0/0
Jets,Rangers,home,F,Rasmus Kupari C,09:41,0,0,1,2,0,0,0,0,5/8
Jets,Rangers,home,F,Adam Lowry C,14:40,0,0,-1,3,2,0,0,1,5/17
Jets,Rangers,home,F,Vladislav Namestnikov C,13:40,1,0,0,4,1,0,0,4,2/7
Jets,Rangers,home,F,Nino Niederreiter R,12:36,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,F,Cole Perfetti C,13:54,0,0,0,1,0,0,0,1,0/3
Jets,Rangers,home,F,Mark Scheifele C,20:02,2,0,3,3,2,0,0,1,6/16
Jets,Rangers,home,F,Gabriel Vilardi C,17:30,1,0,3,3,0,0,1,0,0/0
Jets,Rangers,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Rangers,home,F,Dylan DeMelo D,22:57,0,1,1,0,0,0,1,2,0/0
Jets,Rangers,home,F,Haydn Fleury D,13:18,0,0,0,1,0,0,0,0,0/0
Jets,Rangers,home,F,Colin Miller D,12:55,0,0,-1,0,0,0,0,1,0/0
Jets,Rangers,home,F,Josh Morrissey D,21:55,0,1,1,3,2,2,0,2,0/0
Jets,Rangers,home,F,Neal Pionk D,23:25,0,3,2,0,1,0,0,3,0/0
Jets,Rangers,home,F,Dylan Samberg D,22:38,0,1,2,1,2,2,0,2,0/0
