team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Lightning,home,D,Dylan DeMelo D,20:26,0,0,0,2,1,2,1,2,0/0
Jets,Lightning,home,D,Haydn Fleury D,11:31,0,1,-1,2,2,0,0,1,0/0
Jets,Lightning,home,D,Colin Miller D,10:39,0,1,-1,2,0,0,0,0,0/0
Jets,Lightning,home,D,Josh Morrissey D,26:50,0,0,-1,0,0,0,0,3,0/0
Jets,Lightning,home,D,Neal Pionk D,22:42,0,0,-1,0,1,0,2,2,0/0
Jets,Lightning,home,D,Dylan Samberg D,19:56,0,0,0,2,1,0,0,4,0/0
Jets,Lightning,home,D,Dylan DeMelo D,20:26,0,0,0,2,1,2,1,2,0/0
Jets,Lightning,home,D,Haydn Fleury D,11:31,0,1,-1,2,2,0,0,1,0/0
Jets,Lightning,home,D,Colin Miller D,10:39,0,1,-1,2,0,0,0,0,0/0
Jets,Lightning,home,D,Josh Morrissey D,26:50,0,0,-1,0,0,0,0,3,0/0
Jets,Lightning,home,D,Neal Pionk D,22:42,0,0,-1,0,1,0,2,2,0/0
Jets,Lightning,home,D,Dylan Samberg D,19:56,0,0,0,2,1,0,0,4,0/0
Jets,Lightning,home,F,Mason Appleton C,14:10,0,0,1,2,1,0,1,0,0/2
Jets,Lightning,home,F,Morgan Barron C,09:16,0,0,0,0,0,0,1,0,0/0
Jets,Lightning,home,F,Kyle Connor L,22:05,0,0,-2,2,1,0,0,1,0/0
Jets,Lightning,home,F,Nikolaj Ehlers L,18:36,0,0,-2,1,1,0,0,2,0/0
Jets,Lightning,home,F,Alex Iafallo L,10:35,0,0,0,1,0,0,2,0,0/0
Jets,Lightning,home,F,Rasmus Kupari C,06:48,0,0,0,0,0,0,0,1,3/6
Jets,Lightning,home,F,Adam Lowry C,14:15,1,0,1,2,1,0,1,1,6/19
Jets,Lightning,home,F,Vladislav Namestnikov C,15:02,0,0,-1,2,0,0,0,1,5/10
Jets,Lightning,home,F,Nino Niederreiter R,15:26,0,0,1,3,2,2,0,1,0/0
Jets,Lightning,home,F,Cole Perfetti C,15:45,0,0,-1,2,0,2,1,1,1/1
Jets,Lightning,home,F,Mark Scheifele C,22:36,0,0,-2,1,1,0,0,3,10/20
Jets,Lightning,home,F,Gabriel Vilardi C,21:01,0,0,-2,0,1,0,0,0,0/0
Jets,Lightning,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Lightning,home,F,Dylan DeMelo D,20:26,0,0,0,2,1,2,1,2,0/0
Jets,Lightning,home,F,Haydn Fleury D,11:31,0,1,-1,2,2,0,0,1,0/0
Jets,Lightning,home,F,Colin Miller D,10:39,0,1,-1,2,0,0,0,0,0/0
Jets,Lightning,home,F,Josh Morrissey D,26:50,0,0,-1,0,0,0,0,3,0/0
Jets,Lightning,home,F,Neal Pionk D,22:42,0,0,-1,0,1,0,2,2,0/0
Jets,Lightning,home,F,Dylan Samberg D,19:56,0,0,0,2,1,0,0,4,0/0
Jets,Lightning,home,F,Mason Appleton C,14:10,0,0,1,2,1,0,1,0,0/2
Jets,Lightning,home,F,Morgan Barron C,09:16,0,0,0,0,0,0,1,0,0/0
Jets,Lightning,home,F,Kyle Connor L,22:05,0,0,-2,2,1,0,0,1,0/0
Jets,Lightning,home,F,Nikolaj Ehlers L,18:36,0,0,-2,1,1,0,0,2,0/0
Jets,Lightning,home,F,Alex Iafallo L,10:35,0,0,0,1,0,0,2,0,0/0
Jets,Lightning,home,F,Rasmus Kupari C,06:48,0,0,0,0,0,0,0,1,3/6
Jets,Lightning,home,F,Adam Lowry C,14:15,1,0,1,2,1,0,1,1,6/19
Jets,Lightning,home,F,Vladislav Namestnikov C,15:02,0,0,-1,2,0,0,0,1,5/10
Jets,Lightning,home,F,Nino Niederreiter R,15:26,0,0,1,3,2,2,0,1,0/0
Jets,Lightning,home,F,Cole Perfetti C,15:45,0,0,-1,2,0,2,1,1,1/1
Jets,Lightning,home,F,Mark Scheifele C,22:36,0,0,-2,1,1,0,0,3,10/20
Jets,Lightning,home,F,Gabriel Vilardi C,21:01,0,0,-2,0,1,0,0,0,0/0
Jets,Lightning,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Lightning,home,F,Dylan DeMelo D,20:26,0,0,0,2,1,2,1,2,0/0
Jets,Lightning,home,F,Haydn Fleury D,11:31,0,1,-1,2,2,0,0,1,0/0
Jets,Lightning,home,F,Colin Miller D,10:39,0,1,-1,2,0,0,0,0,0/0
Jets,Lightning,home,F,Josh Morrissey D,26:50,0,0,-1,0,0,0,0,3,0/0
Jets,Lightning,home,F,Neal Pionk D,22:42,0,0,-1,0,1,0,2,2,0/0
Jets,Lightning,home,F,Dylan Samberg D,19:56,0,0,0,2,1,0,0,4,0/0
