team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Jets,Panthers,home,D,Dylan DeMelo D,24:09,0,0,-2,2,0,0,0,2,0/0
Jets,Panthers,home,D,Haydn Fleury D,15:28,0,0,0,2,0,0,0,3,0/0
Jets,Panthers,home,D,Colin Miller D,18:14,0,0,0,1,2,10,1,0,0/0
Jets,Panthers,home,D,Josh Morrissey D,22:05,0,0,-3,4,0,2,0,0,0/0
Jets,Panthers,home,D,Neal Pionk D,20:14,0,0,-2,1,1,10,0,1,0/0
Jets,Panthers,home,D,Dylan Samberg D,18:44,0,0,-2,0,1,0,0,1,0/0
Jets,Panthers,home,D,Dylan DeMelo D,24:09,0,0,-2,2,0,0,0,2,0/0
Jets,Panthers,home,D,Haydn Fleury D,15:28,0,0,0,2,0,0,0,3,0/0
Jets,Panthers,home,D,Colin Miller D,18:14,0,0,0,1,2,10,1,0,0/0
Jets,Panthers,home,D,Josh Morrissey D,22:05,0,0,-3,4,0,2,0,0,0/0
Jets,Panthers,home,D,Neal Pionk D,20:14,0,0,-2,1,1,10,0,1,0/0
Jets,Panthers,home,D,Dylan Samberg D,18:44,0,0,-2,0,1,0,0,1,0/0
Jets,Panthers,home,F,Mason Appleton C,16:15,0,0,0,1,0,0,0,0,0/0
Jets,Panthers,home,F,Morgan Barron C,12:26,0,0,-1,1,0,0,1,2,0/2
Jets,Panthers,home,F,Kyle Connor L,16:08,0,0,-3,2,1,0,0,1,0/0
Jets,Panthers,home,F,Nikolaj Ehlers L,16:04,0,0,-2,5,0,0,1,0,0/0
Jets,Panthers,home,F,Alex Iafallo L,12:08,0,0,-1,1,0,0,0,0,0/0
Jets,Panthers,home,F,Rasmus Kupari C,11:04,0,0,-1,1,1,2,1,1,9/12
Jets,Panthers,home,F,Adam Lowry C,16:19,0,0,-1,0,3,0,0,0,7/13
Jets,Panthers,home,F,Vladislav Namestnikov C,17:01,0,0,0,0,2,12,0,0,11/15
Jets,Panthers,home,F,Nino Niederreiter R,13:08,0,0,0,0,0,0,0,0,0/2
Jets,Panthers,home,F,Cole Perfetti C,13:47,0,0,0,3,1,0,1,1,0/0
Jets,Panthers,home,F,Mark Scheifele C,14:43,0,0,-3,2,1,7,2,1,6/11
Jets,Panthers,home,F,Gabriel Vilardi C,14:03,0,0,-3,1,1,0,0,0,2/3
Jets,Panthers,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Panthers,home,F,Dylan DeMelo D,24:09,0,0,-2,2,0,0,0,2,0/0
Jets,Panthers,home,F,Haydn Fleury D,15:28,0,0,0,2,0,0,0,3,0/0
Jets,Panthers,home,F,Colin Miller D,18:14,0,0,0,1,2,10,1,0,0/0
Jets,Panthers,home,F,Josh Morrissey D,22:05,0,0,-3,4,0,2,0,0,0/0
Jets,Panthers,home,F,Neal Pionk D,20:14,0,0,-2,1,1,10,0,1,0/0
Jets,Panthers,home,F,Dylan Samberg D,18:44,0,0,-2,0,1,0,0,1,0/0
Jets,Panthers,home,F,Mason Appleton C,16:15,0,0,0,1,0,0,0,0,0/0
Jets,Panthers,home,F,Morgan Barron C,12:26,0,0,-1,1,0,0,1,2,0/2
Jets,Panthers,home,F,Kyle Connor L,16:08,0,0,-3,2,1,0,0,1,0/0
Jets,Panthers,home,F,Nikolaj Ehlers L,16:04,0,0,-2,5,0,0,1,0,0/0
Jets,Panthers,home,F,Alex Iafallo L,12:08,0,0,-1,1,0,0,0,0,0/0
Jets,Panthers,home,F,Rasmus Kupari C,11:04,0,0,-1,1,1,2,1,1,9/12
Jets,Panthers,home,F,Adam Lowry C,16:19,0,0,-1,0,3,0,0,0,7/13
Jets,Panthers,home,F,Vladislav Namestnikov C,17:01,0,0,0,0,2,12,0,0,11/15
Jets,Panthers,home,F,Nino Niederreiter R,13:08,0,0,0,0,0,0,0,0,0/2
Jets,Panthers,home,F,Cole Perfetti C,13:47,0,0,0,3,1,0,1,1,0/0
Jets,Panthers,home,F,Mark Scheifele C,14:43,0,0,-3,2,1,7,2,1,6/11
Jets,Panthers,home,F,Gabriel Vilardi C,14:03,0,0,-3,1,1,0,0,0,2/3
Jets,Panthers,home,F,Jets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FODylan
Jets,Panthers,home,F,Dylan DeMelo D,24:09,0,0,-2,2,0,0,0,2,0/0
Jets,Panthers,home,F,Haydn Fleury D,15:28,0,0,0,2,0,0,0,3,0/0
Jets,Panthers,home,F,Colin Miller D,18:14,0,0,0,1,2,10,1,0,0/0
Jets,Panthers,home,F,Josh Morrissey D,22:05,0,0,-3,4,0,2,0,0,0/0
Jets,Panthers,home,F,Neal Pionk D,20:14,0,0,-2,1,1,10,0,1,0/0
Jets,Panthers,home,F,Dylan Samberg D,18:44,0,0,-2,0,1,0,0,1,0/0
