team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Sabres,home,D,Mikey Anderson D,20:14,0,0,0,3,0,2,0,1,0/0
Kings,Sabres,home,D,Kyle Burroughs D,09:25,0,0,0,0,1,5,0,0,0/0
Kings,Sabres,home,D,Brandt Clarke D,17:23,0,0,0,1,3,2,0,1,0/0
Kings,Sabres,home,D,Joel Edmundson D,20:36,0,1,2,1,2,2,0,0,0/0
Kings,Sabres,home,D,Vladislav Gavrikov D,22:57,0,0,2,1,2,0,0,0,0/0
Kings,Sabres,home,D,Jordan Spence D,21:37,0,1,-1,0,3,2,0,3,0/0
Kings,Sabres,home,D,Mikey Anderson D,20:14,0,0,0,3,0,2,0,1,0/0
Kings,Sabres,home,D,Kyle Burroughs D,09:25,0,0,0,0,1,5,0,0,0/0
Kings,Sabres,home,D,Brandt Clarke D,17:23,0,0,0,1,3,2,0,1,0/0
Kings,Sabres,home,D,Joel Edmundson D,20:36,0,1,2,1,2,2,0,0,0/0
Kings,Sabres,home,D,Vladislav Gavrikov D,22:57,0,0,2,1,2,0,0,0,0/0
Kings,Sabres,home,D,Jordan Spence D,21:37,0,1,-1,0,3,2,0,3,0/0
Kings,Sabres,home,F,Quinton Byfield R,19:14,0,1,0,4,0,0,0,0,2/8
Kings,Sabres,home,F,Phillip Danault C,19:21,0,0,-1,2,0,0,0,0,11/22
Kings,Sabres,home,F,Kevin Fiala L,17:56,0,1,0,1,1,0,0,0,0/0
Kings,Sabres,home,F,Warren Foegele L,15:26,0,0,0,2,1,0,0,2,0/3
Kings,Sabres,home,F,Tanner Jeannot L,11:23,0,0,0,0,1,0,0,0,0/0
Kings,Sabres,home,F,Adrian Kempe R,18:49,0,1,2,0,1,2,0,3,1/1
Kings,Sabres,home,F,Anze Kopitar C,19:00,3,0,2,4,1,0,0,0,10/24
Kings,Sabres,home,F,Alex Laferriere R,16:43,0,1,1,0,1,0,0,1,0/0
Kings,Sabres,home,F,Andre Lee L,06:26,0,0,0,2,0,0,0,0,0/0
Kings,Sabres,home,F,Trevor Lewis C,07:53,0,0,0,0,2,0,0,0,0/0
Kings,Sabres,home,F,Trevor Moore L,18:01,0,0,-1,2,1,0,1,0,0/0
Kings,Sabres,home,F,Alex Turcotte C,08:00,0,0,-1,0,0,0,1,1,1/2
Kings,Sabres,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Sabres,home,F,Mikey Anderson D,20:14,0,0,0,3,0,2,0,1,0/0
Kings,Sabres,home,F,Kyle Burroughs D,09:25,0,0,0,0,1,5,0,0,0/0
Kings,Sabres,home,F,Brandt Clarke D,17:23,0,0,0,1,3,2,0,1,0/0
Kings,Sabres,home,F,Joel Edmundson D,20:36,0,1,2,1,2,2,0,0,0/0
Kings,Sabres,home,F,Vladislav Gavrikov D,22:57,0,0,2,1,2,0,0,0,0/0
Kings,Sabres,home,F,Jordan Spence D,21:37,0,1,-1,0,3,2,0,3,0/0
Kings,Sabres,home,F,Quinton Byfield R,19:14,0,1,0,4,0,0,0,0,2/8
Kings,Sabres,home,F,Phillip Danault C,19:21,0,0,-1,2,0,0,0,0,11/22
Kings,Sabres,home,F,Kevin Fiala L,17:56,0,1,0,1,1,0,0,0,0/0
Kings,Sabres,home,F,Warren Foegele L,15:26,0,0,0,2,1,0,0,2,0/3
Kings,Sabres,home,F,Tanner Jeannot L,11:23,0,0,0,0,1,0,0,0,0/0
Kings,Sabres,home,F,Adrian Kempe R,18:49,0,1,2,0,1,2,0,3,1/1
Kings,Sabres,home,F,Anze Kopitar C,19:00,3,0,2,4,1,0,0,0,10/24
Kings,Sabres,home,F,Alex Laferriere R,16:43,0,1,1,0,1,0,0,1,0/0
Kings,Sabres,home,F,Andre Lee L,06:26,0,0,0,2,0,0,0,0,0/0
Kings,Sabres,home,F,Trevor Lewis C,07:53,0,0,0,0,2,0,0,0,0/0
Kings,Sabres,home,F,Trevor Moore L,18:01,0,0,-1,2,1,0,1,0,0/0
Kings,Sabres,home,F,Alex Turcotte C,08:00,0,0,-1,0,0,0,1,1,1/2
Kings,Sabres,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Sabres,home,F,Mikey Anderson D,20:14,0,0,0,3,0,2,0,1,0/0
Kings,Sabres,home,F,Kyle Burroughs D,09:25,0,0,0,0,1,5,0,0,0/0
Kings,Sabres,home,F,Brandt Clarke D,17:23,0,0,0,1,3,2,0,1,0/0
Kings,Sabres,home,F,Joel Edmundson D,20:36,0,1,2,1,2,2,0,0,0/0
Kings,Sabres,home,F,Vladislav Gavrikov D,22:57,0,0,2,1,2,0,0,0,0/0
Kings,Sabres,home,F,Jordan Spence D,21:37,0,1,-1,0,3,2,0,3,0/0
