team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Senators,home,D,Mikey Anderson D,19:48,0,1,1,1,2,2,0,1,0/0
Kings,Senators,home,D,Kyle Burroughs D,15:02,0,1,2,0,1,2,0,0,0/0
Kings,Senators,home,D,Brandt Clarke D,17:35,0,3,0,1,2,2,0,0,0/0
Kings,Senators,home,D,Joel Edmundson D,22:52,0,0,-1,2,3,0,0,0,0/0
Kings,Senators,home,D,Vladislav Gavrikov D,25:48,0,0,0,1,5,0,1,1,0/0
Kings,Senators,home,D,Jordan Spence D,13:31,0,0,-1,0,1,0,0,2,0/0
Kings,Senators,home,D,Mikey Anderson D,19:48,0,1,1,1,2,2,0,1,0/0
Kings,Senators,home,D,Kyle Burroughs D,15:02,0,1,2,0,1,2,0,0,0/0
Kings,Senators,home,D,Brandt Clarke D,17:35,0,3,0,1,2,2,0,0,0/0
Kings,Senators,home,D,Joel Edmundson D,22:52,0,0,-1,2,3,0,0,0,0/0
Kings,Senators,home,D,Vladislav Gavrikov D,25:48,0,0,0,1,5,0,1,1,0/0
Kings,Senators,home,D,Jordan Spence D,13:31,0,0,-1,0,1,0,0,2,0/0
Kings,Senators,home,F,Quinton Byfield R,17:35,0,0,-3,0,0,0,1,1,11/15
Kings,Senators,home,F,Phillip Danault C,18:45,0,0,1,2,2,0,0,1,13/24
Kings,Senators,home,F,Kevin Fiala L,18:38,2,0,-2,5,0,2,0,1,1/1
Kings,Senators,home,F,Warren Foegele L,14:33,0,0,0,2,1,2,0,0,0/0
Kings,Senators,home,F,Tanner Jeannot L,10:59,1,0,1,1,1,7,0,1,0/0
Kings,Senators,home,F,Adrian Kempe R,20:18,1,1,3,3,1,0,0,0,1/1
Kings,Senators,home,F,Anze Kopitar C,20:45,0,3,2,0,1,0,0,0,10/21
Kings,Senators,home,F,Alex Laferriere R,17:05,2,0,2,5,2,0,0,1,1/2
Kings,Senators,home,F,Andre Lee L,07:58,0,0,-2,0,1,0,0,0,0/0
Kings,Senators,home,F,Trevor Lewis C,08:07,1,0,-1,1,0,0,0,1,0/0
Kings,Senators,home,F,Trevor Moore L,17:56,0,0,0,2,0,0,1,3,0/0
Kings,Senators,home,F,Alex Turcotte C,06:40,0,1,0,0,0,0,0,0,1/4
Kings,Senators,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Senators,home,F,Mikey Anderson D,19:48,0,1,1,1,2,2,0,1,0/0
Kings,Senators,home,F,Kyle Burroughs D,15:02,0,1,2,0,1,2,0,0,0/0
Kings,Senators,home,F,Brandt Clarke D,17:35,0,3,0,1,2,2,0,0,0/0
Kings,Senators,home,F,Joel Edmundson D,22:52,0,0,-1,2,3,0,0,0,0/0
Kings,Senators,home,F,Vladislav Gavrikov D,25:48,0,0,0,1,5,0,1,1,0/0
Kings,Senators,home,F,Jordan Spence D,13:31,0,0,-1,0,1,0,0,2,0/0
Kings,Senators,home,F,Quinton Byfield R,17:35,0,0,-3,0,0,0,1,1,11/15
Kings,Senators,home,F,Phillip Danault C,18:45,0,0,1,2,2,0,0,1,13/24
Kings,Senators,home,F,Kevin Fiala L,18:38,2,0,-2,5,0,2,0,1,1/1
Kings,Senators,home,F,Warren Foegele L,14:33,0,0,0,2,1,2,0,0,0/0
Kings,Senators,home,F,Tanner Jeannot L,10:59,1,0,1,1,1,7,0,1,0/0
Kings,Senators,home,F,Adrian Kempe R,20:18,1,1,3,3,1,0,0,0,1/1
Kings,Senators,home,F,Anze Kopitar C,20:45,0,3,2,0,1,0,0,0,10/21
Kings,Senators,home,F,Alex Laferriere R,17:05,2,0,2,5,2,0,0,1,1/2
Kings,Senators,home,F,Andre Lee L,07:58,0,0,-2,0,1,0,0,0,0/0
Kings,Senators,home,F,Trevor Lewis C,08:07,1,0,-1,1,0,0,0,1,0/0
Kings,Senators,home,F,Trevor Moore L,17:56,0,0,0,2,0,0,1,3,0/0
Kings,Senators,home,F,Alex Turcotte C,06:40,0,1,0,0,0,0,0,0,1/4
Kings,Senators,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Senators,home,F,Mikey Anderson D,19:48,0,1,1,1,2,2,0,1,0/0
Kings,Senators,home,F,Kyle Burroughs D,15:02,0,1,2,0,1,2,0,0,0/0
Kings,Senators,home,F,Brandt Clarke D,17:35,0,3,0,1,2,2,0,0,0/0
Kings,Senators,home,F,Joel Edmundson D,22:52,0,0,-1,2,3,0,0,0,0/0
Kings,Senators,home,F,Vladislav Gavrikov D,25:48,0,0,0,1,5,0,1,1,0/0
Kings,Senators,home,F,Jordan Spence D,13:31,0,0,-1,0,1,0,0,2,0/0
