team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Ducks,home,D,Mikey Anderson D,23:51,1,1,1,2,0,0,0,0,0/0
Kings,Ducks,home,D,Brandt Clarke D,16:41,0,0,1,6,4,2,0,0,0/0
Kings,Ducks,home,D,Joel Edmundson D,20:13,0,0,2,2,1,0,1,0,0/0
Kings,Ducks,home,D,Andreas Englund D,13:40,0,0,0,0,0,0,0,0,0/0
Kings,Ducks,home,D,Vladislav Gavrikov D,23:22,0,1,3,1,2,0,2,0,0/0
Kings,Ducks,home,D,Jordan Spence D,18:23,0,0,-1,2,2,0,1,4,0/0
Kings,Ducks,home,D,Mikey Anderson D,23:51,1,1,1,2,0,0,0,0,0/0
Kings,Ducks,home,D,Brandt Clarke D,16:41,0,0,1,6,4,2,0,0,0/0
Kings,Ducks,home,D,Joel Edmundson D,20:13,0,0,2,2,1,0,1,0,0/0
Kings,Ducks,home,D,Andreas Englund D,13:40,0,0,0,0,0,0,0,0,0/0
Kings,Ducks,home,D,Vladislav Gavrikov D,23:22,0,1,3,1,2,0,2,0,0/0
Kings,Ducks,home,D,Jordan Spence D,18:23,0,0,-1,2,2,0,1,4,0/0
Kings,Ducks,home,F,Quinton Byfield R,17:47,0,0,0,2,0,0,0,3,0/1
Kings,Ducks,home,F,Phillip Danault C,16:20,0,1,1,1,1,0,0,1,10/16
Kings,Ducks,home,F,Kevin Fiala L,17:01,1,0,1,5,0,2,1,1,0/0
Kings,Ducks,home,F,Warren Foegele L,16:08,0,0,2,2,0,0,1,0,0/0
Kings,Ducks,home,F,Tanner Jeannot L,11:22,0,0,0,4,0,0,0,0,0/0
Kings,Ducks,home,F,Adrian Kempe R,16:31,1,0,0,1,0,0,1,1,0/0
Kings,Ducks,home,F,Anze Kopitar C,17:42,0,1,0,0,0,0,0,0,10/18
Kings,Ducks,home,F,Alex Laferriere R,13:42,1,0,2,3,0,0,0,0,0/0
Kings,Ducks,home,F,Andre Lee L,09:13,0,0,0,1,0,0,0,0,0/0
Kings,Ducks,home,F,Trevor Lewis C,11:52,0,0,0,1,0,2,0,0,5/8
Kings,Ducks,home,F,Trevor Moore L,16:33,0,0,1,3,1,0,0,0,0/0
Kings,Ducks,home,F,Alex Turcotte C,13:39,0,1,2,1,2,0,1,0,8/10
Kings,Ducks,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Ducks,home,F,Mikey Anderson D,23:51,1,1,1,2,0,0,0,0,0/0
Kings,Ducks,home,F,Brandt Clarke D,16:41,0,0,1,6,4,2,0,0,0/0
Kings,Ducks,home,F,Joel Edmundson D,20:13,0,0,2,2,1,0,1,0,0/0
Kings,Ducks,home,F,Andreas Englund D,13:40,0,0,0,0,0,0,0,0,0/0
Kings,Ducks,home,F,Vladislav Gavrikov D,23:22,0,1,3,1,2,0,2,0,0/0
Kings,Ducks,home,F,Jordan Spence D,18:23,0,0,-1,2,2,0,1,4,0/0
Kings,Ducks,home,F,Quinton Byfield R,17:47,0,0,0,2,0,0,0,3,0/1
Kings,Ducks,home,F,Phillip Danault C,16:20,0,1,1,1,1,0,0,1,10/16
Kings,Ducks,home,F,Kevin Fiala L,17:01,1,0,1,5,0,2,1,1,0/0
Kings,Ducks,home,F,Warren Foegele L,16:08,0,0,2,2,0,0,1,0,0/0
Kings,Ducks,home,F,Tanner Jeannot L,11:22,0,0,0,4,0,0,0,0,0/0
Kings,Ducks,home,F,Adrian Kempe R,16:31,1,0,0,1,0,0,1,1,0/0
Kings,Ducks,home,F,Anze Kopitar C,17:42,0,1,0,0,0,0,0,0,10/18
Kings,Ducks,home,F,Alex Laferriere R,13:42,1,0,2,3,0,0,0,0,0/0
Kings,Ducks,home,F,Andre Lee L,09:13,0,0,0,1,0,0,0,0,0/0
Kings,Ducks,home,F,Trevor Lewis C,11:52,0,0,0,1,0,2,0,0,5/8
Kings,Ducks,home,F,Trevor Moore L,16:33,0,0,1,3,1,0,0,0,0/0
Kings,Ducks,home,F,Alex Turcotte C,13:39,0,1,2,1,2,0,1,0,8/10
Kings,Ducks,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Ducks,home,F,Mikey Anderson D,23:51,1,1,1,2,0,0,0,0,0/0
Kings,Ducks,home,F,Brandt Clarke D,16:41,0,0,1,6,4,2,0,0,0/0
Kings,Ducks,home,F,Joel Edmundson D,20:13,0,0,2,2,1,0,1,0,0/0
Kings,Ducks,home,F,Andreas Englund D,13:40,0,0,0,0,0,0,0,0,0/0
Kings,Ducks,home,F,Vladislav Gavrikov D,23:22,0,1,3,1,2,0,2,0,0/0
Kings,Ducks,home,F,Jordan Spence D,18:23,0,0,-1,2,2,0,1,4,0/0
