team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Golden Knights,home,D,Mikey Anderson D,21:49,0,0,0,3,1,0,0,2,0/0
Kings,Golden Knights,home,D,Brandt Clarke D,22:00,0,0,-3,1,2,0,0,3,0/0
Kings,Golden Knights,home,D,Joel Edmundson D,16:22,0,1,-2,3,1,2,0,1,0/0
Kings,Golden Knights,home,D,Andreas Englund D,11:21,0,0,-1,1,1,0,0,2,0/0
Kings,Golden Knights,home,D,Vladislav Gavrikov D,21:18,0,0,0,2,1,0,2,0,0/0
Kings,Golden Knights,home,D,Jordan Spence D,19:10,0,1,0,1,1,0,0,1,0/0
Kings,Golden Knights,home,D,Mikey Anderson D,21:49,0,0,0,3,1,0,0,2,0/0
Kings,Golden Knights,home,D,Brandt Clarke D,22:00,0,0,-3,1,2,0,0,3,0/0
Kings,Golden Knights,home,D,Joel Edmundson D,16:22,0,1,-2,3,1,2,0,1,0/0
Kings,Golden Knights,home,D,Andreas Englund D,11:21,0,0,-1,1,1,0,0,2,0/0
Kings,Golden Knights,home,D,Vladislav Gavrikov D,21:18,0,0,0,2,1,0,2,0,0/0
Kings,Golden Knights,home,D,Jordan Spence D,19:10,0,1,0,1,1,0,0,1,0/0
Kings,Golden Knights,home,F,Quinton Byfield R,15:00,0,0,-1,2,0,0,0,2,1/3
Kings,Golden Knights,home,F,Phillip Danault C,16:36,0,0,-1,0,0,0,0,1,4/8
Kings,Golden Knights,home,F,Kevin Fiala L,18:24,0,0,-2,0,0,0,2,0,0/3
Kings,Golden Knights,home,F,Warren Foegele L,14:40,1,0,0,5,0,0,1,3,1/2
Kings,Golden Knights,home,F,Tanner Jeannot L,12:29,0,0,-1,3,2,0,0,0,0/0
Kings,Golden Knights,home,F,Adrian Kempe R,17:34,0,0,0,2,0,0,0,0,0/0
Kings,Golden Knights,home,F,Anze Kopitar C,18:55,0,0,0,0,0,0,1,0,9/19
Kings,Golden Knights,home,F,Alex Laferriere R,17:39,0,0,0,3,0,0,0,0,0/3
Kings,Golden Knights,home,F,Andre Lee L,12:13,0,0,-1,2,3,2,0,0,0/0
Kings,Golden Knights,home,F,Trevor Lewis C,11:20,0,0,-1,1,0,0,0,0,1/4
Kings,Golden Knights,home,F,Trevor Moore L,17:03,0,0,-2,2,0,0,0,0,0/0
Kings,Golden Knights,home,F,Alex Turcotte C,15:23,0,0,0,2,1,0,0,2,2/8
Kings,Golden Knights,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Golden Knights,home,F,Mikey Anderson D,21:49,0,0,0,3,1,0,0,2,0/0
Kings,Golden Knights,home,F,Brandt Clarke D,22:00,0,0,-3,1,2,0,0,3,0/0
Kings,Golden Knights,home,F,Joel Edmundson D,16:22,0,1,-2,3,1,2,0,1,0/0
Kings,Golden Knights,home,F,Andreas Englund D,11:21,0,0,-1,1,1,0,0,2,0/0
Kings,Golden Knights,home,F,Vladislav Gavrikov D,21:18,0,0,0,2,1,0,2,0,0/0
Kings,Golden Knights,home,F,Jordan Spence D,19:10,0,1,0,1,1,0,0,1,0/0
Kings,Golden Knights,home,F,Quinton Byfield R,15:00,0,0,-1,2,0,0,0,2,1/3
Kings,Golden Knights,home,F,Phillip Danault C,16:36,0,0,-1,0,0,0,0,1,4/8
Kings,Golden Knights,home,F,Kevin Fiala L,18:24,0,0,-2,0,0,0,2,0,0/3
Kings,Golden Knights,home,F,Warren Foegele L,14:40,1,0,0,5,0,0,1,3,1/2
Kings,Golden Knights,home,F,Tanner Jeannot L,12:29,0,0,-1,3,2,0,0,0,0/0
Kings,Golden Knights,home,F,Adrian Kempe R,17:34,0,0,0,2,0,0,0,0,0/0
Kings,Golden Knights,home,F,Anze Kopitar C,18:55,0,0,0,0,0,0,1,0,9/19
Kings,Golden Knights,home,F,Alex Laferriere R,17:39,0,0,0,3,0,0,0,0,0/3
Kings,Golden Knights,home,F,Andre Lee L,12:13,0,0,-1,2,3,2,0,0,0/0
Kings,Golden Knights,home,F,Trevor Lewis C,11:20,0,0,-1,1,0,0,0,0,1/4
Kings,Golden Knights,home,F,Trevor Moore L,17:03,0,0,-2,2,0,0,0,0,0/0
Kings,Golden Knights,home,F,Alex Turcotte C,15:23,0,0,0,2,1,0,0,2,2/8
Kings,Golden Knights,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Golden Knights,home,F,Mikey Anderson D,21:49,0,0,0,3,1,0,0,2,0/0
Kings,Golden Knights,home,F,Brandt Clarke D,22:00,0,0,-3,1,2,0,0,3,0/0
Kings,Golden Knights,home,F,Joel Edmundson D,16:22,0,1,-2,3,1,2,0,1,0/0
Kings,Golden Knights,home,F,Andreas Englund D,11:21,0,0,-1,1,1,0,0,2,0/0
Kings,Golden Knights,home,F,Vladislav Gavrikov D,21:18,0,0,0,2,1,0,2,0,0/0
Kings,Golden Knights,home,F,Jordan Spence D,19:10,0,1,0,1,1,0,0,1,0/0
