team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Hockey Club,away,D,Mikey Anderson D,22:58,0,0,-1,0,2,0,1,0,0/0
Kings,Hockey Club,away,D,Brandt Clarke D,18:24,1,1,1,1,4,0,0,1,0/0
Kings,Hockey Club,away,D,Joel Edmundson D,21:19,2,0,0,3,3,0,1,0,0/0
Kings,Hockey Club,away,D,Vladislav Gavrikov D,21:45,0,0,0,1,0,0,0,2,0/0
Kings,Hockey Club,away,D,Caleb Jones D,14:17,0,0,0,1,1,0,0,0,0/0
Kings,Hockey Club,away,D,Jordan Spence D,18:01,0,0,0,5,1,0,0,1,0/0
Kings,Hockey Club,away,D,Mikey Anderson D,22:58,0,0,-1,0,2,0,1,0,0/0
Kings,Hockey Club,away,D,Brandt Clarke D,18:24,1,1,1,1,4,0,0,1,0/0
Kings,Hockey Club,away,D,Joel Edmundson D,21:19,2,0,0,3,3,0,1,0,0/0
Kings,Hockey Club,away,D,Vladislav Gavrikov D,21:45,0,0,0,1,0,0,0,2,0/0
Kings,Hockey Club,away,D,Caleb Jones D,14:17,0,0,0,1,1,0,0,0,0/0
Kings,Hockey Club,away,D,Jordan Spence D,18:01,0,0,0,5,1,0,0,1,0/0
Kings,Hockey Club,away,F,Quinton Byfield R,19:26,0,1,1,0,0,0,0,2,1/4
Kings,Hockey Club,away,F,Phillip Danault C,18:41,0,0,-1,2,2,0,1,1,11/20
Kings,Hockey Club,away,F,Kevin Fiala L,10:12,0,1,-1,1,0,4,0,1,0/0
Kings,Hockey Club,away,F,Warren Foegele L,14:39,0,0,0,1,0,0,0,1,0/0
Kings,Hockey Club,away,F,Tanner Jeannot L,12:04,0,0,0,1,0,2,0,2,0/0
Kings,Hockey Club,away,F,Adrian Kempe R,17:51,0,2,1,2,0,0,0,1,0/1
Kings,Hockey Club,away,F,Anze Kopitar C,18:06,0,1,1,0,0,0,0,0,8/16
Kings,Hockey Club,away,F,Alex Laferriere R,14:21,0,0,0,0,0,0,0,0,0/1
Kings,Hockey Club,away,F,Andre Lee L,10:28,0,0,0,0,1,0,0,1,0/0
Kings,Hockey Club,away,F,Trevor Lewis C,11:25,0,0,0,1,0,0,0,0,2/8
Kings,Hockey Club,away,F,Trevor Moore L,17:38,0,0,-1,1,1,0,0,0,0/0
Kings,Hockey Club,away,F,Alex Turcotte C,12:25,0,0,0,3,0,0,0,1,2/10
Kings,Hockey Club,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Hockey Club,away,F,Mikey Anderson D,22:58,0,0,-1,0,2,0,1,0,0/0
Kings,Hockey Club,away,F,Brandt Clarke D,18:24,1,1,1,1,4,0,0,1,0/0
Kings,Hockey Club,away,F,Joel Edmundson D,21:19,2,0,0,3,3,0,1,0,0/0
Kings,Hockey Club,away,F,Vladislav Gavrikov D,21:45,0,0,0,1,0,0,0,2,0/0
Kings,Hockey Club,away,F,Caleb Jones D,14:17,0,0,0,1,1,0,0,0,0/0
Kings,Hockey Club,away,F,Jordan Spence D,18:01,0,0,0,5,1,0,0,1,0/0
Kings,Hockey Club,away,F,Quinton Byfield R,19:26,0,1,1,0,0,0,0,2,1/4
Kings,Hockey Club,away,F,Phillip Danault C,18:41,0,0,-1,2,2,0,1,1,11/20
Kings,Hockey Club,away,F,Kevin Fiala L,10:12,0,1,-1,1,0,4,0,1,0/0
Kings,Hockey Club,away,F,Warren Foegele L,14:39,0,0,0,1,0,0,0,1,0/0
Kings,Hockey Club,away,F,Tanner Jeannot L,12:04,0,0,0,1,0,2,0,2,0/0
Kings,Hockey Club,away,F,Adrian Kempe R,17:51,0,2,1,2,0,0,0,1,0/1
Kings,Hockey Club,away,F,Anze Kopitar C,18:06,0,1,1,0,0,0,0,0,8/16
Kings,Hockey Club,away,F,Alex Laferriere R,14:21,0,0,0,0,0,0,0,0,0/1
Kings,Hockey Club,away,F,Andre Lee L,10:28,0,0,0,0,1,0,0,1,0/0
Kings,Hockey Club,away,F,Trevor Lewis C,11:25,0,0,0,1,0,0,0,0,2/8
Kings,Hockey Club,away,F,Trevor Moore L,17:38,0,0,-1,1,1,0,0,0,0/0
Kings,Hockey Club,away,F,Alex Turcotte C,12:25,0,0,0,3,0,0,0,1,2/10
Kings,Hockey Club,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Hockey Club,away,F,Mikey Anderson D,22:58,0,0,-1,0,2,0,1,0,0/0
Kings,Hockey Club,away,F,Brandt Clarke D,18:24,1,1,1,1,4,0,0,1,0/0
Kings,Hockey Club,away,F,Joel Edmundson D,21:19,2,0,0,3,3,0,1,0,0/0
Kings,Hockey Club,away,F,Vladislav Gavrikov D,21:45,0,0,0,1,0,0,0,2,0/0
Kings,Hockey Club,away,F,Caleb Jones D,14:17,0,0,0,1,1,0,0,0,0/0
Kings,Hockey Club,away,F,Jordan Spence D,18:01,0,0,0,5,1,0,0,1,0/0
