team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Sharks,home,D,Mikey Anderson D,20:27,0,0,-1,1,0,0,1,0,0/0
Kings,Sharks,home,D,Brandt Clarke D,22:50,0,1,1,5,1,0,0,0,0/0
Kings,Sharks,home,D,Joel Edmundson D,19:14,0,0,-1,0,1,0,1,0,0/0
Kings,Sharks,home,D,Vladislav Gavrikov D,19:46,0,0,-2,1,3,2,1,1,0/0
Kings,Sharks,home,D,Caleb Jones D,11:27,0,0,0,1,1,0,1,0,0/0
Kings,Sharks,home,D,Jordan Spence D,17:55,0,0,-1,0,0,0,0,1,0/0
Kings,Sharks,home,D,Mikey Anderson D,20:27,0,0,-1,1,0,0,1,0,0/0
Kings,Sharks,home,D,Brandt Clarke D,22:50,0,1,1,5,1,0,0,0,0/0
Kings,Sharks,home,D,Joel Edmundson D,19:14,0,0,-1,0,1,0,1,0,0/0
Kings,Sharks,home,D,Vladislav Gavrikov D,19:46,0,0,-2,1,3,2,1,1,0/0
Kings,Sharks,home,D,Caleb Jones D,11:27,0,0,0,1,1,0,1,0,0/0
Kings,Sharks,home,D,Jordan Spence D,17:55,0,0,-1,0,0,0,0,1,0/0
Kings,Sharks,home,F,Quinton Byfield R,20:14,0,0,1,0,0,2,0,1,3/4
Kings,Sharks,home,F,Phillip Danault C,18:01,0,0,0,2,1,0,0,0,5/12
Kings,Sharks,home,F,Warren Foegele L,15:06,0,1,1,2,0,0,1,2,1/1
Kings,Sharks,home,F,Tanner Jeannot L,10:42,0,0,-2,1,1,0,0,0,1/2
Kings,Sharks,home,F,Adrian Kempe R,18:45,0,0,-3,2,1,0,1,3,1/1
Kings,Sharks,home,F,Anze Kopitar C,18:48,0,0,-3,1,0,0,3,2,13/17
Kings,Sharks,home,F,Alex Laferriere R,15:23,1,0,1,2,1,0,0,1,0/1
Kings,Sharks,home,F,Andre Lee L,10:33,0,0,-2,2,0,2,0,0,0/0
Kings,Sharks,home,F,Trevor Lewis C,09:57,0,0,-1,1,1,0,0,0,4/5
Kings,Sharks,home,F,Trevor Moore L,17:43,0,1,0,4,1,0,0,0,0/0
Kings,Sharks,home,F,Akil Thomas C,13:06,1,0,1,2,2,2,0,0,3/7
Kings,Sharks,home,F,Alex Turcotte C,13:55,0,0,0,1,0,0,1,2,2/7
Kings,Sharks,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Sharks,home,F,Mikey Anderson D,20:27,0,0,-1,1,0,0,1,0,0/0
Kings,Sharks,home,F,Brandt Clarke D,22:50,0,1,1,5,1,0,0,0,0/0
Kings,Sharks,home,F,Joel Edmundson D,19:14,0,0,-1,0,1,0,1,0,0/0
Kings,Sharks,home,F,Vladislav Gavrikov D,19:46,0,0,-2,1,3,2,1,1,0/0
Kings,Sharks,home,F,Caleb Jones D,11:27,0,0,0,1,1,0,1,0,0/0
Kings,Sharks,home,F,Jordan Spence D,17:55,0,0,-1,0,0,0,0,1,0/0
Kings,Sharks,home,F,Quinton Byfield R,20:14,0,0,1,0,0,2,0,1,3/4
Kings,Sharks,home,F,Phillip Danault C,18:01,0,0,0,2,1,0,0,0,5/12
Kings,Sharks,home,F,Warren Foegele L,15:06,0,1,1,2,0,0,1,2,1/1
Kings,Sharks,home,F,Tanner Jeannot L,10:42,0,0,-2,1,1,0,0,0,1/2
Kings,Sharks,home,F,Adrian Kempe R,18:45,0,0,-3,2,1,0,1,3,1/1
Kings,Sharks,home,F,Anze Kopitar C,18:48,0,0,-3,1,0,0,3,2,13/17
Kings,Sharks,home,F,Alex Laferriere R,15:23,1,0,1,2,1,0,0,1,0/1
Kings,Sharks,home,F,Andre Lee L,10:33,0,0,-2,2,0,2,0,0,0/0
Kings,Sharks,home,F,Trevor Lewis C,09:57,0,0,-1,1,1,0,0,0,4/5
Kings,Sharks,home,F,Trevor Moore L,17:43,0,1,0,4,1,0,0,0,0/0
Kings,Sharks,home,F,Akil Thomas C,13:06,1,0,1,2,2,2,0,0,3/7
Kings,Sharks,home,F,Alex Turcotte C,13:55,0,0,0,1,0,0,1,2,2/7
Kings,Sharks,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Sharks,home,F,Mikey Anderson D,20:27,0,0,-1,1,0,0,1,0,0/0
Kings,Sharks,home,F,Brandt Clarke D,22:50,0,1,1,5,1,0,0,0,0/0
Kings,Sharks,home,F,Joel Edmundson D,19:14,0,0,-1,0,1,0,1,0,0/0
Kings,Sharks,home,F,Vladislav Gavrikov D,19:46,0,0,-2,1,3,2,1,1,0/0
Kings,Sharks,home,F,Caleb Jones D,11:27,0,0,0,1,1,0,1,0,0/0
Kings,Sharks,home,F,Jordan Spence D,17:55,0,0,-1,0,0,0,0,1,0/0
