team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Golden Knights,away,D,Mikey Anderson D,21:17,0,2,2,1,2,2,0,0,0/0
Kings,Golden Knights,away,D,Brandt Clarke D,18:19,0,3,1,2,0,0,1,1,0/0
Kings,Golden Knights,away,D,Joel Edmundson D,20:23,1,0,2,1,0,4,0,1,0/0
Kings,Golden Knights,away,D,Andreas Englund D,14:51,0,0,-1,1,2,5,0,1,0/0
Kings,Golden Knights,away,D,Vladislav Gavrikov D,24:38,0,0,2,0,2,0,0,1,0/0
Kings,Golden Knights,away,D,Jordan Spence D,20:16,0,0,0,2,1,0,0,0,0/0
Kings,Golden Knights,away,D,Mikey Anderson D,21:17,0,2,2,1,2,2,0,0,0/0
Kings,Golden Knights,away,D,Brandt Clarke D,18:19,0,3,1,2,0,0,1,1,0/0
Kings,Golden Knights,away,D,Joel Edmundson D,20:23,1,0,2,1,0,4,0,1,0/0
Kings,Golden Knights,away,D,Andreas Englund D,14:51,0,0,-1,1,2,5,0,1,0/0
Kings,Golden Knights,away,D,Vladislav Gavrikov D,24:38,0,0,2,0,2,0,0,1,0/0
Kings,Golden Knights,away,D,Jordan Spence D,20:16,0,0,0,2,1,0,0,0,0/0
Kings,Golden Knights,away,F,Quinton Byfield R,15:03,0,1,1,0,0,0,1,0,6/13
Kings,Golden Knights,away,F,Phillip Danault C,16:49,0,0,0,2,0,0,1,2,7/12
Kings,Golden Knights,away,F,Kevin Fiala L,15:07,1,1,0,2,0,0,1,1,0/0
Kings,Golden Knights,away,F,Warren Foegele L,15:08,1,0,2,2,1,0,0,0,0/0
Kings,Golden Knights,away,F,Tanner Jeannot L,11:17,0,0,0,1,0,0,0,0,0/0
Kings,Golden Knights,away,F,Adrian Kempe R,16:21,1,1,2,3,0,2,0,0,0/0
Kings,Golden Knights,away,F,Anze Kopitar C,16:38,1,2,2,1,1,0,0,1,11/25
Kings,Golden Knights,away,F,Alex Laferriere R,13:55,1,0,1,3,0,0,1,0,0/0
Kings,Golden Knights,away,F,Trevor Lewis C,12:01,0,0,0,1,0,0,1,0,4/6
Kings,Golden Knights,away,F,Trevor Moore L,17:02,0,0,0,0,1,0,0,0,0/0
Kings,Golden Knights,away,F,Akil Thomas C,10:14,0,0,0,5,0,0,0,0,0/0
Kings,Golden Knights,away,F,Alex Turcotte C,13:21,0,0,1,0,1,0,0,0,0/0
Kings,Golden Knights,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Golden Knights,away,F,Mikey Anderson D,21:17,0,2,2,1,2,2,0,0,0/0
Kings,Golden Knights,away,F,Brandt Clarke D,18:19,0,3,1,2,0,0,1,1,0/0
Kings,Golden Knights,away,F,Joel Edmundson D,20:23,1,0,2,1,0,4,0,1,0/0
Kings,Golden Knights,away,F,Andreas Englund D,14:51,0,0,-1,1,2,5,0,1,0/0
Kings,Golden Knights,away,F,Vladislav Gavrikov D,24:38,0,0,2,0,2,0,0,1,0/0
Kings,Golden Knights,away,F,Jordan Spence D,20:16,0,0,0,2,1,0,0,0,0/0
Kings,Golden Knights,away,F,Quinton Byfield R,15:03,0,1,1,0,0,0,1,0,6/13
Kings,Golden Knights,away,F,Phillip Danault C,16:49,0,0,0,2,0,0,1,2,7/12
Kings,Golden Knights,away,F,Kevin Fiala L,15:07,1,1,0,2,0,0,1,1,0/0
Kings,Golden Knights,away,F,Warren Foegele L,15:08,1,0,2,2,1,0,0,0,0/0
Kings,Golden Knights,away,F,Tanner Jeannot L,11:17,0,0,0,1,0,0,0,0,0/0
Kings,Golden Knights,away,F,Adrian Kempe R,16:21,1,1,2,3,0,2,0,0,0/0
Kings,Golden Knights,away,F,Anze Kopitar C,16:38,1,2,2,1,1,0,0,1,11/25
Kings,Golden Knights,away,F,Alex Laferriere R,13:55,1,0,1,3,0,0,1,0,0/0
Kings,Golden Knights,away,F,Trevor Lewis C,12:01,0,0,0,1,0,0,1,0,4/6
Kings,Golden Knights,away,F,Trevor Moore L,17:02,0,0,0,0,1,0,0,0,0/0
Kings,Golden Knights,away,F,Akil Thomas C,10:14,0,0,0,5,0,0,0,0,0/0
Kings,Golden Knights,away,F,Alex Turcotte C,13:21,0,0,1,0,1,0,0,0,0/0
Kings,Golden Knights,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Golden Knights,away,F,Mikey Anderson D,21:17,0,2,2,1,2,2,0,0,0/0
Kings,Golden Knights,away,F,Brandt Clarke D,18:19,0,3,1,2,0,0,1,1,0/0
Kings,Golden Knights,away,F,Joel Edmundson D,20:23,1,0,2,1,0,4,0,1,0/0
Kings,Golden Knights,away,F,Andreas Englund D,14:51,0,0,-1,1,2,5,0,1,0/0
Kings,Golden Knights,away,F,Vladislav Gavrikov D,24:38,0,0,2,0,2,0,0,1,0/0
Kings,Golden Knights,away,F,Jordan Spence D,20:16,0,0,0,2,1,0,0,0,0/0
