team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Blackhawks,away,D,Mikey Anderson D,23:23,0,0,1,2,3,2,2,1,0/0
Kings,Blackhawks,away,D,Brandt Clarke D,21:53,0,0,-1,6,3,2,0,2,0/0
Kings,Blackhawks,away,D,Joel Edmundson D,24:10,0,0,-2,1,2,0,0,0,0/0
Kings,Blackhawks,away,D,Andreas Englund D,07:30,0,0,0,0,1,0,0,1,0/0
Kings,Blackhawks,away,D,Vladislav Gavrikov D,24:29,0,0,1,1,2,0,0,0,0/0
Kings,Blackhawks,away,D,Jordan Spence D,16:50,0,0,-1,3,0,0,0,0,0/0
Kings,Blackhawks,away,D,Mikey Anderson D,23:23,0,0,1,2,3,2,2,1,0/0
Kings,Blackhawks,away,D,Brandt Clarke D,21:53,0,0,-1,6,3,2,0,2,0/0
Kings,Blackhawks,away,D,Joel Edmundson D,24:10,0,0,-2,1,2,0,0,0,0/0
Kings,Blackhawks,away,D,Andreas Englund D,07:30,0,0,0,0,1,0,0,1,0/0
Kings,Blackhawks,away,D,Vladislav Gavrikov D,24:29,0,0,1,1,2,0,0,0,0/0
Kings,Blackhawks,away,D,Jordan Spence D,16:50,0,0,-1,3,0,0,0,0,0/0
Kings,Blackhawks,away,F,Quinton Byfield R,15:45,0,0,-1,3,0,0,1,1,6/10
Kings,Blackhawks,away,F,Phillip Danault C,20:33,1,1,2,5,1,0,0,0,9/17
Kings,Blackhawks,away,F,Kevin Fiala L,20:49,0,2,1,4,1,0,0,2,1/1
Kings,Blackhawks,away,F,Warren Foegele L,14:16,0,0,-1,1,0,0,1,0,1/1
Kings,Blackhawks,away,F,Tanner Jeannot L,10:23,0,0,0,1,0,5,0,0,0/0
Kings,Blackhawks,away,F,Adrian Kempe R,20:27,0,0,-2,6,0,0,0,1,0/0
Kings,Blackhawks,away,F,Anze Kopitar C,20:37,0,1,-2,0,0,0,0,1,15/18
Kings,Blackhawks,away,F,Alex Laferriere R,18:23,2,0,0,3,1,0,0,2,1/1
Kings,Blackhawks,away,F,Trevor Lewis C,12:40,0,0,-1,1,0,0,0,1,3/7
Kings,Blackhawks,away,F,Trevor Moore L,16:32,0,1,1,1,0,0,2,1,0/0
Kings,Blackhawks,away,F,Akil Thomas C,10:36,0,0,0,1,1,0,0,0,0/0
Kings,Blackhawks,away,F,Alex Turcotte C,13:14,0,1,0,1,0,0,0,0,0/0
Kings,Blackhawks,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Blackhawks,away,F,Mikey Anderson D,23:23,0,0,1,2,3,2,2,1,0/0
Kings,Blackhawks,away,F,Brandt Clarke D,21:53,0,0,-1,6,3,2,0,2,0/0
Kings,Blackhawks,away,F,Joel Edmundson D,24:10,0,0,-2,1,2,0,0,0,0/0
Kings,Blackhawks,away,F,Andreas Englund D,07:30,0,0,0,0,1,0,0,1,0/0
Kings,Blackhawks,away,F,Vladislav Gavrikov D,24:29,0,0,1,1,2,0,0,0,0/0
Kings,Blackhawks,away,F,Jordan Spence D,16:50,0,0,-1,3,0,0,0,0,0/0
Kings,Blackhawks,away,F,Quinton Byfield R,15:45,0,0,-1,3,0,0,1,1,6/10
Kings,Blackhawks,away,F,Phillip Danault C,20:33,1,1,2,5,1,0,0,0,9/17
Kings,Blackhawks,away,F,Kevin Fiala L,20:49,0,2,1,4,1,0,0,2,1/1
Kings,Blackhawks,away,F,Warren Foegele L,14:16,0,0,-1,1,0,0,1,0,1/1
Kings,Blackhawks,away,F,Tanner Jeannot L,10:23,0,0,0,1,0,5,0,0,0/0
Kings,Blackhawks,away,F,Adrian Kempe R,20:27,0,0,-2,6,0,0,0,1,0/0
Kings,Blackhawks,away,F,Anze Kopitar C,20:37,0,1,-2,0,0,0,0,1,15/18
Kings,Blackhawks,away,F,Alex Laferriere R,18:23,2,0,0,3,1,0,0,2,1/1
Kings,Blackhawks,away,F,Trevor Lewis C,12:40,0,0,-1,1,0,0,0,1,3/7
Kings,Blackhawks,away,F,Trevor Moore L,16:32,0,1,1,1,0,0,2,1,0/0
Kings,Blackhawks,away,F,Akil Thomas C,10:36,0,0,0,1,1,0,0,0,0/0
Kings,Blackhawks,away,F,Alex Turcotte C,13:14,0,1,0,1,0,0,0,0,0/0
Kings,Blackhawks,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Blackhawks,away,F,Mikey Anderson D,23:23,0,0,1,2,3,2,2,1,0/0
Kings,Blackhawks,away,F,Brandt Clarke D,21:53,0,0,-1,6,3,2,0,2,0/0
Kings,Blackhawks,away,F,Joel Edmundson D,24:10,0,0,-2,1,2,0,0,0,0/0
Kings,Blackhawks,away,F,Andreas Englund D,07:30,0,0,0,0,1,0,0,1,0/0
Kings,Blackhawks,away,F,Vladislav Gavrikov D,24:29,0,0,1,1,2,0,0,0,0/0
Kings,Blackhawks,away,F,Jordan Spence D,16:50,0,0,-1,3,0,0,0,0,0/0
