team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Predators,home,D,Mikey Anderson D,24:05,0,0,1,0,0,0,1,0,0/0
Kings,Predators,home,D,Kyle Burroughs D,10:56,0,0,0,0,0,7,0,0,0/0
Kings,Predators,home,D,Brandt Clarke D,18:38,0,1,2,1,3,0,1,1,0/0
Kings,Predators,home,D,Joel Edmundson D,20:05,0,0,2,0,3,2,1,1,0/0
Kings,Predators,home,D,Vladislav Gavrikov D,23:10,0,1,1,1,2,2,0,0,0/0
Kings,Predators,home,D,Jordan Spence D,18:05,0,0,0,0,0,0,0,1,0/0
Kings,Predators,home,D,Mikey Anderson D,24:05,0,0,1,0,0,0,1,0,0/0
Kings,Predators,home,D,Kyle Burroughs D,10:56,0,0,0,0,0,7,0,0,0/0
Kings,Predators,home,D,Brandt Clarke D,18:38,0,1,2,1,3,0,1,1,0/0
Kings,Predators,home,D,Joel Edmundson D,20:05,0,0,2,0,3,2,1,1,0/0
Kings,Predators,home,D,Vladislav Gavrikov D,23:10,0,1,1,1,2,2,0,0,0/0
Kings,Predators,home,D,Jordan Spence D,18:05,0,0,0,0,0,0,0,1,0/0
Kings,Predators,home,F,Quinton Byfield R,19:05,0,0,0,2,0,0,1,1,4/10
Kings,Predators,home,F,Phillip Danault C,16:13,0,1,1,2,1,2,0,1,12/19
Kings,Predators,home,F,Kevin Fiala L,16:13,1,0,1,3,0,0,0,0,0/0
Kings,Predators,home,F,Warren Foegele L,15:45,0,0,0,5,0,0,2,1,0/0
Kings,Predators,home,F,Tanner Jeannot L,10:20,0,0,0,0,0,5,0,0,0/0
Kings,Predators,home,F,Adrian Kempe R,17:09,1,1,2,3,0,0,0,1,0/0
Kings,Predators,home,F,Anze Kopitar C,17:13,1,0,2,1,0,0,1,0,8/14
Kings,Predators,home,F,Alex Laferriere R,17:35,0,0,0,2,1,0,1,2,0/1
Kings,Predators,home,F,Trevor Lewis C,11:27,0,1,1,1,0,0,0,0,5/8
Kings,Predators,home,F,Trevor Moore L,15:37,0,1,1,4,0,0,0,0,0/0
Kings,Predators,home,F,Akil Thomas C,11:57,0,0,0,2,2,0,0,0,1/2
Kings,Predators,home,F,Alex Turcotte C,08:27,0,0,1,0,0,0,0,1,0/1
Kings,Predators,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Predators,home,F,Mikey Anderson D,24:05,0,0,1,0,0,0,1,0,0/0
Kings,Predators,home,F,Kyle Burroughs D,10:56,0,0,0,0,0,7,0,0,0/0
Kings,Predators,home,F,Brandt Clarke D,18:38,0,1,2,1,3,0,1,1,0/0
Kings,Predators,home,F,Joel Edmundson D,20:05,0,0,2,0,3,2,1,1,0/0
Kings,Predators,home,F,Vladislav Gavrikov D,23:10,0,1,1,1,2,2,0,0,0/0
Kings,Predators,home,F,Jordan Spence D,18:05,0,0,0,0,0,0,0,1,0/0
Kings,Predators,home,F,Quinton Byfield R,19:05,0,0,0,2,0,0,1,1,4/10
Kings,Predators,home,F,Phillip Danault C,16:13,0,1,1,2,1,2,0,1,12/19
Kings,Predators,home,F,Kevin Fiala L,16:13,1,0,1,3,0,0,0,0,0/0
Kings,Predators,home,F,Warren Foegele L,15:45,0,0,0,5,0,0,2,1,0/0
Kings,Predators,home,F,Tanner Jeannot L,10:20,0,0,0,0,0,5,0,0,0/0
Kings,Predators,home,F,Adrian Kempe R,17:09,1,1,2,3,0,0,0,1,0/0
Kings,Predators,home,F,Anze Kopitar C,17:13,1,0,2,1,0,0,1,0,8/14
Kings,Predators,home,F,Alex Laferriere R,17:35,0,0,0,2,1,0,1,2,0/1
Kings,Predators,home,F,Trevor Lewis C,11:27,0,1,1,1,0,0,0,0,5/8
Kings,Predators,home,F,Trevor Moore L,15:37,0,1,1,4,0,0,0,0,0/0
Kings,Predators,home,F,Akil Thomas C,11:57,0,0,0,2,2,0,0,0,1/2
Kings,Predators,home,F,Alex Turcotte C,08:27,0,0,1,0,0,0,0,1,0/1
Kings,Predators,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Predators,home,F,Mikey Anderson D,24:05,0,0,1,0,0,0,1,0,0/0
Kings,Predators,home,F,Kyle Burroughs D,10:56,0,0,0,0,0,7,0,0,0/0
Kings,Predators,home,F,Brandt Clarke D,18:38,0,1,2,1,3,0,1,1,0/0
Kings,Predators,home,F,Joel Edmundson D,20:05,0,0,2,0,3,2,1,1,0/0
Kings,Predators,home,F,Vladislav Gavrikov D,23:10,0,1,1,1,2,2,0,0,0/0
Kings,Predators,home,F,Jordan Spence D,18:05,0,0,0,0,0,0,0,1,0/0
