team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Flames,home,D,Mikey Anderson D,21:11,0,0,-1,3,1,0,0,2,0/0
Kings,Flames,home,D,Brandt Clarke D,24:18,0,0,-1,4,4,0,0,1,0/0
Kings,Flames,home,D,Joel Edmundson D,20:53,0,0,0,1,3,0,0,1,0/0
Kings,Flames,home,D,Andreas Englund D,09:01,0,0,-1,0,0,0,0,1,0/0
Kings,Flames,home,D,Vladislav Gavrikov D,20:18,0,0,-1,0,2,0,0,0,0/0
Kings,Flames,home,D,Jordan Spence D,19:29,0,0,0,0,3,0,0,1,0/0
Kings,Flames,home,D,Mikey Anderson D,21:11,0,0,-1,3,1,0,0,2,0/0
Kings,Flames,home,D,Brandt Clarke D,24:18,0,0,-1,4,4,0,0,1,0/0
Kings,Flames,home,D,Joel Edmundson D,20:53,0,0,0,1,3,0,0,1,0/0
Kings,Flames,home,D,Andreas Englund D,09:01,0,0,-1,0,0,0,0,1,0/0
Kings,Flames,home,D,Vladislav Gavrikov D,20:18,0,0,-1,0,2,0,0,0,0/0
Kings,Flames,home,D,Jordan Spence D,19:29,0,0,0,0,3,0,0,1,0/0
Kings,Flames,home,F,Quinton Byfield R,16:55,0,1,-1,1,0,2,1,0,2/5
Kings,Flames,home,F,Phillip Danault C,14:26,0,0,-1,0,0,0,0,2,6/10
Kings,Flames,home,F,Kevin Fiala L,16:27,0,0,-1,3,1,0,0,1,0/1
Kings,Flames,home,F,Warren Foegele L,15:05,0,0,-1,1,1,0,0,1,0/0
Kings,Flames,home,F,Samuel Helenius C,10:49,0,0,0,1,0,5,0,1,3/9
Kings,Flames,home,F,Adrian Kempe R,20:10,0,0,-1,3,0,0,0,1,1/2
Kings,Flames,home,F,Anze Kopitar C,18:40,0,1,0,2,1,0,3,2,7/16
Kings,Flames,home,F,Alex Laferriere R,15:37,0,0,0,2,1,2,0,1,0/0
Kings,Flames,home,F,Andre Lee L,12:31,0,0,0,1,0,0,0,0,0/0
Kings,Flames,home,F,Trevor Lewis C,13:42,0,0,0,3,1,0,0,0,1/1
Kings,Flames,home,F,Trevor Moore L,17:31,1,0,-1,2,0,0,0,3,0/0
Kings,Flames,home,F,Akil Thomas C,10:58,0,0,0,2,1,0,0,0,1/2
Kings,Flames,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Flames,home,F,Mikey Anderson D,21:11,0,0,-1,3,1,0,0,2,0/0
Kings,Flames,home,F,Brandt Clarke D,24:18,0,0,-1,4,4,0,0,1,0/0
Kings,Flames,home,F,Joel Edmundson D,20:53,0,0,0,1,3,0,0,1,0/0
Kings,Flames,home,F,Andreas Englund D,09:01,0,0,-1,0,0,0,0,1,0/0
Kings,Flames,home,F,Vladislav Gavrikov D,20:18,0,0,-1,0,2,0,0,0,0/0
Kings,Flames,home,F,Jordan Spence D,19:29,0,0,0,0,3,0,0,1,0/0
Kings,Flames,home,F,Quinton Byfield R,16:55,0,1,-1,1,0,2,1,0,2/5
Kings,Flames,home,F,Phillip Danault C,14:26,0,0,-1,0,0,0,0,2,6/10
Kings,Flames,home,F,Kevin Fiala L,16:27,0,0,-1,3,1,0,0,1,0/1
Kings,Flames,home,F,Warren Foegele L,15:05,0,0,-1,1,1,0,0,1,0/0
Kings,Flames,home,F,Samuel Helenius C,10:49,0,0,0,1,0,5,0,1,3/9
Kings,Flames,home,F,Adrian Kempe R,20:10,0,0,-1,3,0,0,0,1,1/2
Kings,Flames,home,F,Anze Kopitar C,18:40,0,1,0,2,1,0,3,2,7/16
Kings,Flames,home,F,Alex Laferriere R,15:37,0,0,0,2,1,2,0,1,0/0
Kings,Flames,home,F,Andre Lee L,12:31,0,0,0,1,0,0,0,0,0/0
Kings,Flames,home,F,Trevor Lewis C,13:42,0,0,0,3,1,0,0,0,1/1
Kings,Flames,home,F,Trevor Moore L,17:31,1,0,-1,2,0,0,0,3,0/0
Kings,Flames,home,F,Akil Thomas C,10:58,0,0,0,2,1,0,0,0,1/2
Kings,Flames,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Flames,home,F,Mikey Anderson D,21:11,0,0,-1,3,1,0,0,2,0/0
Kings,Flames,home,F,Brandt Clarke D,24:18,0,0,-1,4,4,0,0,1,0/0
Kings,Flames,home,F,Joel Edmundson D,20:53,0,0,0,1,3,0,0,1,0/0
Kings,Flames,home,F,Andreas Englund D,09:01,0,0,-1,0,0,0,0,1,0/0
Kings,Flames,home,F,Vladislav Gavrikov D,20:18,0,0,-1,0,2,0,0,0,0/0
Kings,Flames,home,F,Jordan Spence D,19:29,0,0,0,0,3,0,0,1,0/0
