team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Avalanche,home,D,Mikey Anderson D,24:08,0,0,0,0,5,0,0,0,0/0
Kings,Avalanche,home,D,Brandt Clarke D,20:12,0,0,0,1,0,0,0,1,0/0
Kings,Avalanche,home,D,Joel Edmundson D,22:05,0,0,1,1,1,2,1,1,0/0
Kings,Avalanche,home,D,Vladislav Gavrikov D,25:52,0,0,0,1,1,0,0,1,0/0
Kings,Avalanche,home,D,Caleb Jones D,05:56,0,0,-1,0,0,0,0,0,0/0
Kings,Avalanche,home,D,Jordan Spence D,17:59,0,0,-3,1,1,0,0,1,0/0
Kings,Avalanche,home,D,Mikey Anderson D,24:08,0,0,0,0,5,0,0,0,0/0
Kings,Avalanche,home,D,Brandt Clarke D,20:12,0,0,0,1,0,0,0,1,0/0
Kings,Avalanche,home,D,Joel Edmundson D,22:05,0,0,1,1,1,2,1,1,0/0
Kings,Avalanche,home,D,Vladislav Gavrikov D,25:52,0,0,0,1,1,0,0,1,0/0
Kings,Avalanche,home,D,Caleb Jones D,05:56,0,0,-1,0,0,0,0,0,0/0
Kings,Avalanche,home,D,Jordan Spence D,17:59,0,0,-3,1,1,0,0,1,0/0
Kings,Avalanche,home,F,Quinton Byfield R,13:46,0,0,-1,1,0,0,0,2,8/16
Kings,Avalanche,home,F,Phillip Danault C,18:11,0,0,-1,0,1,2,1,1,7/11
Kings,Avalanche,home,F,Kevin Fiala L,18:00,0,0,-1,1,2,2,0,2,0/0
Kings,Avalanche,home,F,Warren Foegele L,15:37,0,0,-1,1,1,0,0,2,0/1
Kings,Avalanche,home,F,Samuel Helenius C,08:09,0,0,0,0,0,0,0,0,3/3
Kings,Avalanche,home,F,Adrian Kempe R,19:11,2,0,0,4,1,0,0,0,0/0
Kings,Avalanche,home,F,Anze Kopitar C,19:29,0,2,0,1,0,0,0,0,20/26
Kings,Avalanche,home,F,Alex Laferriere R,15:46,0,0,-3,1,0,0,1,0,0/0
Kings,Avalanche,home,F,Andre Lee L,10:43,0,0,-1,2,2,0,1,0,0/0
Kings,Avalanche,home,F,Trevor Lewis C,09:42,0,0,0,0,1,0,0,0,1/1
Kings,Avalanche,home,F,Trevor Moore L,18:52,0,2,0,0,1,0,0,0,0/0
Kings,Avalanche,home,F,Akil Thomas C,11:09,0,0,0,0,1,0,0,0,0/0
Kings,Avalanche,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Avalanche,home,F,Mikey Anderson D,24:08,0,0,0,0,5,0,0,0,0/0
Kings,Avalanche,home,F,Brandt Clarke D,20:12,0,0,0,1,0,0,0,1,0/0
Kings,Avalanche,home,F,Joel Edmundson D,22:05,0,0,1,1,1,2,1,1,0/0
Kings,Avalanche,home,F,Vladislav Gavrikov D,25:52,0,0,0,1,1,0,0,1,0/0
Kings,Avalanche,home,F,Caleb Jones D,05:56,0,0,-1,0,0,0,0,0,0/0
Kings,Avalanche,home,F,Jordan Spence D,17:59,0,0,-3,1,1,0,0,1,0/0
Kings,Avalanche,home,F,Quinton Byfield R,13:46,0,0,-1,1,0,0,0,2,8/16
Kings,Avalanche,home,F,Phillip Danault C,18:11,0,0,-1,0,1,2,1,1,7/11
Kings,Avalanche,home,F,Kevin Fiala L,18:00,0,0,-1,1,2,2,0,2,0/0
Kings,Avalanche,home,F,Warren Foegele L,15:37,0,0,-1,1,1,0,0,2,0/1
Kings,Avalanche,home,F,Samuel Helenius C,08:09,0,0,0,0,0,0,0,0,3/3
Kings,Avalanche,home,F,Adrian Kempe R,19:11,2,0,0,4,1,0,0,0,0/0
Kings,Avalanche,home,F,Anze Kopitar C,19:29,0,2,0,1,0,0,0,0,20/26
Kings,Avalanche,home,F,Alex Laferriere R,15:46,0,0,-3,1,0,0,1,0,0/0
Kings,Avalanche,home,F,Andre Lee L,10:43,0,0,-1,2,2,0,1,0,0/0
Kings,Avalanche,home,F,Trevor Lewis C,09:42,0,0,0,0,1,0,0,0,1/1
Kings,Avalanche,home,F,Trevor Moore L,18:52,0,2,0,0,1,0,0,0,0/0
Kings,Avalanche,home,F,Akil Thomas C,11:09,0,0,0,0,1,0,0,0,0/0
Kings,Avalanche,home,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Avalanche,home,F,Mikey Anderson D,24:08,0,0,0,0,5,0,0,0,0/0
Kings,Avalanche,home,F,Brandt Clarke D,20:12,0,0,0,1,0,0,0,1,0/0
Kings,Avalanche,home,F,Joel Edmundson D,22:05,0,0,1,1,1,2,1,1,0/0
Kings,Avalanche,home,F,Vladislav Gavrikov D,25:52,0,0,0,1,1,0,0,1,0/0
Kings,Avalanche,home,F,Caleb Jones D,05:56,0,0,-1,0,0,0,0,0,0/0
Kings,Avalanche,home,F,Jordan Spence D,17:59,0,0,-3,1,1,0,0,1,0/0
