team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kings,Red Wings,away,D,Mikey Anderson D,22:14,1,0,1,4,8,0,0,1,0/0
Kings,Red Wings,away,D,Brandt Clarke D,18:09,0,0,0,5,3,0,0,2,0/0
Kings,Red Wings,away,D,Joel Edmundson D,20:28,0,0,1,3,2,0,0,2,0/0
Kings,Red Wings,away,D,Vladislav Gavrikov D,22:19,0,1,1,2,1,0,0,0,0/0
Kings,Red Wings,away,D,Jacob Moverare D,14:50,0,0,1,1,4,0,0,0,0/0
Kings,Red Wings,away,D,Jordan Spence D,19:49,0,0,2,4,1,0,1,2,0/0
Kings,Red Wings,away,D,Mikey Anderson D,22:14,1,0,1,4,8,0,0,1,0/0
Kings,Red Wings,away,D,Brandt Clarke D,18:09,0,0,0,5,3,0,0,2,0/0
Kings,Red Wings,away,D,Joel Edmundson D,20:28,0,0,1,3,2,0,0,2,0/0
Kings,Red Wings,away,D,Vladislav Gavrikov D,22:19,0,1,1,2,1,0,0,0,0/0
Kings,Red Wings,away,D,Jacob Moverare D,14:50,0,0,1,1,4,0,0,0,0/0
Kings,Red Wings,away,D,Jordan Spence D,19:49,0,0,2,4,1,0,1,2,0/0
Kings,Red Wings,away,F,Quinton Byfield R,17:13,0,0,0,1,0,0,0,1,4/7
Kings,Red Wings,away,F,Phillip Danault C,16:33,0,1,1,3,1,0,0,3,9/15
Kings,Red Wings,away,F,Kevin Fiala L,17:15,0,0,1,2,2,0,0,2,0/1
Kings,Red Wings,away,F,Warren Foegele L,17:14,0,1,1,1,1,0,0,0,0/0
Kings,Red Wings,away,F,Samuel Helenius C,12:15,0,1,0,0,4,0,0,0,4/11
Kings,Red Wings,away,F,Tanner Jeannot L,12:35,1,0,0,1,1,0,0,0,0/0
Kings,Red Wings,away,F,Adrian Kempe R,15:35,2,0,2,3,1,0,0,1,0/1
Kings,Red Wings,away,F,Anze Kopitar C,16:42,0,1,2,2,1,0,0,1,16/26
Kings,Red Wings,away,F,Alex Laferriere R,17:01,0,0,0,5,0,0,1,1,0/0
Kings,Red Wings,away,F,Trevor Lewis C,12:37,0,2,2,0,0,0,0,2,5/7
Kings,Red Wings,away,F,Trevor Moore L,17:47,0,1,0,4,0,0,0,0,0/0
Kings,Red Wings,away,F,Alex Turcotte C,09:24,0,0,0,0,3,0,0,1,0/0
Kings,Red Wings,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Red Wings,away,F,Mikey Anderson D,22:14,1,0,1,4,8,0,0,1,0/0
Kings,Red Wings,away,F,Brandt Clarke D,18:09,0,0,0,5,3,0,0,2,0/0
Kings,Red Wings,away,F,Joel Edmundson D,20:28,0,0,1,3,2,0,0,2,0/0
Kings,Red Wings,away,F,Vladislav Gavrikov D,22:19,0,1,1,2,1,0,0,0,0/0
Kings,Red Wings,away,F,Jacob Moverare D,14:50,0,0,1,1,4,0,0,0,0/0
Kings,Red Wings,away,F,Jordan Spence D,19:49,0,0,2,4,1,0,1,2,0/0
Kings,Red Wings,away,F,Quinton Byfield R,17:13,0,0,0,1,0,0,0,1,4/7
Kings,Red Wings,away,F,Phillip Danault C,16:33,0,1,1,3,1,0,0,3,9/15
Kings,Red Wings,away,F,Kevin Fiala L,17:15,0,0,1,2,2,0,0,2,0/1
Kings,Red Wings,away,F,Warren Foegele L,17:14,0,1,1,1,1,0,0,0,0/0
Kings,Red Wings,away,F,Samuel Helenius C,12:15,0,1,0,0,4,0,0,0,4/11
Kings,Red Wings,away,F,Tanner Jeannot L,12:35,1,0,0,1,1,0,0,0,0/0
Kings,Red Wings,away,F,Adrian Kempe R,15:35,2,0,2,3,1,0,0,1,0/1
Kings,Red Wings,away,F,Anze Kopitar C,16:42,0,1,2,2,1,0,0,1,16/26
Kings,Red Wings,away,F,Alex Laferriere R,17:01,0,0,0,5,0,0,1,1,0/0
Kings,Red Wings,away,F,Trevor Lewis C,12:37,0,2,2,0,0,0,0,2,5/7
Kings,Red Wings,away,F,Trevor Moore L,17:47,0,1,0,4,0,0,0,0,0/0
Kings,Red Wings,away,F,Alex Turcotte C,09:24,0,0,0,0,3,0,0,1,0/0
Kings,Red Wings,away,F,Kings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMikey
Kings,Red Wings,away,F,Mikey Anderson D,22:14,1,0,1,4,8,0,0,1,0/0
Kings,Red Wings,away,F,Brandt Clarke D,18:09,0,0,0,5,3,0,0,2,0/0
Kings,Red Wings,away,F,Joel Edmundson D,20:28,0,0,1,3,2,0,0,2,0/0
Kings,Red Wings,away,F,Vladislav Gavrikov D,22:19,0,1,1,2,1,0,0,0,0/0
Kings,Red Wings,away,F,Jacob Moverare D,14:50,0,0,1,1,4,0,0,0,0/0
Kings,Red Wings,away,F,Jordan Spence D,19:49,0,0,2,4,1,0,1,2,0/0
